sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,2458085281735,530.447,,1786607824916461,1,1,4,4,0
2,2458179214970,624.380,93.933,1786607825010402,1,1,4,4,0
3,2458264677395,709.842,85.462,1786607825095853,1,1,4,4,0
4,2458368384370,813.549,103.707,1786607825199570,1,1,4,4,0
5,2458483052397,928.217,114.668,1786607825314232,1,1,4,4,0
6,2458566406195,1011.571,83.354,1786607825397627,1,1,4,4,0
7,2458664527421,1109.692,98.121,1786607825495963,1,1,4,4,0
8,2458769577518,1214.743,105.050,1786607825600791,1,1,4,4,0
9,2458883232189,1328.397,113.655,1786607825714419,1,1,4,4,0
10,2458966441934,1411.607,83.210,1786607825797630,1,1,4,4,0
11,2459085132736,1530.298,118.691,1786607825916323,1,1,4,4,0
12,2459168501540,1613.667,83.369,1786607825999691,1,1,4,4,0
13,2459284434122,1729.599,115.933,1786607826115620,1,1,4,4,0
14,2459368090501,1813.256,83.656,1786607826199285,1,1,4,4,0
15,2459484468102,1929.633,116.378,1786607826315656,1,1,4,4,0
16,2459567731009,2012.896,83.263,1786607826398920,1,1,4,4,0
17,2459685039447,2130.204,117.308,1786607826516227,1,1,4,4,0
18,2459768246710,2213.412,83.207,1786607826599440,1,1,4,4,0
19,2459864650236,2309.815,96.404,1786607826695829,1,1,4,4,0
20,2459968363340,2413.528,103.713,1786607826799544,1,1,4,4,0
21,2460084341358,2529.506,115.978,1786607826915530,1,1,4,4,0
22,2460167417912,2612.583,83.077,1786607826998610,1,1,4,4,0
23,2460264995117,2710.160,97.577,1786607827096222,1,1,4,4,0
24,2460368835618,2814.001,103.841,1786607827200023,1,1,4,4,0
25,2460483272341,2928.437,114.437,1786607827314460,1,1,4,4,0
26,2460566718286,3011.883,83.446,1786607827397905,1,1,4,4,0
27,2460683193083,3128.358,116.475,1786607827514377,1,1,4,4,0
28,2460766393224,3211.558,83.200,1786607827597580,1,1,4,4,0
