sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,4477832081661,296.508,,1786609844663261,reliable,1,1,4,4,0
2,4477917147233,381.573,85.066,1786609844748363,reliable,1,1,4,4,0
3,4478031324204,495.750,114.177,1786609844862508,reliable,1,1,4,4,0
4,4478114800712,579.227,83.477,1786609844945989,reliable,1,1,4,4,0
5,4478211743879,676.170,96.943,1786609845042926,reliable,1,1,4,4,0
6,4478316794322,781.220,105.050,1786609845147983,reliable,1,1,4,4,0
7,4478431595036,896.021,114.801,1786609845262776,reliable,1,1,4,4,0
8,4478514634336,979.060,83.039,1786609845345813,reliable,1,1,4,4,0
9,4478611628982,1076.055,96.995,1786609845442841,reliable,1,1,4,4,0
10,4478715656004,1180.082,104.027,1786609845546837,reliable,1,1,4,4,0
11,4478831604388,1296.030,115.948,1786609845662792,reliable,1,1,4,4,0
12,4478916219064,1380.645,84.615,1786609845747409,reliable,1,1,4,4,0
13,4479031104199,1495.530,114.885,1786609845862285,reliable,1,1,4,4,0
14,4479115344817,1579.771,84.241,1786609845946532,reliable,1,1,4,4,0
15,4479231548455,1695.974,116.204,1786609846062734,reliable,1,1,4,4,0
16,4479314385510,1778.811,82.837,1786609846145578,reliable,1,1,4,4,0
17,4479431394208,1895.820,117.009,1786609846262586,reliable,1,1,4,4,0
18,4479515427625,1979.854,84.033,1786609846346613,reliable,1,1,4,4,0
19,4479630899620,2095.326,115.472,1786609846462089,reliable,1,1,4,4,0
20,4479713913804,2178.340,83.014,1786609846545099,reliable,1,1,4,4,0
21,4479811289542,2275.715,97.376,1786609846642471,reliable,1,1,4,4,0
22,4479914945970,2379.372,103.656,1786609846746132,reliable,1,1,4,4,0
23,4480011615369,2476.041,96.669,1786609846842802,reliable,1,1,4,4,0
24,4480116854118,2581.280,105.239,1786609846948032,reliable,1,1,4,4,0
25,4480215682107,2680.108,98.828,1786609847046867,reliable,1,1,4,4,0
26,4480319956016,2784.382,104.274,1786609847151137,reliable,1,1,4,4,0
27,4480430784241,2895.210,110.828,1786609847261965,reliable,1,1,4,4,0
28,4480513446752,2977.873,82.663,1786609847344634,reliable,1,1,4,4,0
29,4480630941865,3095.368,117.495,1786609847462136,reliable,1,1,4,4,0
30,4480713940528,3178.366,82.999,1786609847545126,reliable,1,1,4,4,0
31,4480830895553,3295.321,116.955,1786609847662083,reliable,1,1,4,4,0
32,4480914110277,3378.536,83.215,1786609847745296,reliable,1,1,4,4,0
33,4481011439303,3475.865,97.329,1786609847842624,reliable,1,1,4,4,0
34,4481116072428,3580.498,104.633,1786609847947267,reliable,1,1,4,4,0
35,4481222779038,3687.205,106.707,1786609848053960,reliable,1,1,4,4,0
36,4481326229401,3790.655,103.450,1786609848157407,reliable,1,1,4,4,0
37,4481431774030,3896.200,105.545,1786609848262957,reliable,1,1,4,4,0
38,4481515880216,3980.306,84.106,1786609848347059,reliable,1,1,4,4,0
39,4481631502792,4095.929,115.623,1786609848462684,reliable,1,1,4,4,0
40,4481714762774,4179.189,83.260,1786609848546053,reliable,1,1,4,4,0
41,4481811507557,4275.933,96.745,1786609848642687,reliable,1,1,4,4,0
42,4481915612566,4380.039,104.105,1786609848746797,reliable,1,1,4,4,0
43,4482019778516,4484.204,104.166,1786609848850965,reliable,1,1,4,4,0
44,4482123525972,4587.952,103.747,1786609848954712,reliable,1,1,4,4,0
45,4482220356211,4684.782,96.830,1786609849051551,reliable,1,1,4,4,0
46,4482324332945,4788.759,103.977,1786609849155523,reliable,1,1,4,4,0
