sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,4948842405627,2709.298,,1786610315673596,reliable,1,1,4,4,0
2,4948927964990,2794.858,85.559,1786610315759195,reliable,1,1,4,4,0
3,4949042281426,2909.174,114.316,1786610315873467,reliable,1,1,4,4,0
4,4949125860265,2992.753,83.579,1786610315957042,reliable,1,1,4,4,0
5,4949222327807,3089.220,96.468,1786610316053509,reliable,1,1,4,4,0
6,4949326452064,3193.345,104.124,1786610316157640,reliable,1,1,4,4,0
7,4949430575458,3297.468,104.123,1786610316261759,reliable,1,1,4,4,0
8,4949532419971,3399.312,101.845,1786610316363607,reliable,1,1,4,4,0
9,4949641454431,3508.347,109.034,1786610316472632,reliable,1,1,4,4,0
10,4949725115008,3592.008,83.661,1786610316556297,reliable,1,1,4,4,0
11,4949822848384,3689.741,97.733,1786610316654060,reliable,1,1,4,4,0
12,4949927367261,3794.260,104.519,1786610316758595,reliable,1,1,4,4,0
13,4950042223282,3909.116,114.856,1786610316873413,reliable,1,1,4,4,0
14,4950125363343,3992.256,83.140,1786610316956545,reliable,1,1,4,4,0
15,4950241994795,4108.887,116.631,1786610317073171,reliable,1,1,4,4,0
16,4950325493670,4192.386,83.499,1786610317156676,reliable,1,1,4,4,0
17,4950422005329,4288.898,96.512,1786610317253197,reliable,1,1,4,4,0
18,4950525847837,4392.740,103.843,1786610317357035,reliable,1,1,4,4,0
19,4950629337777,4496.230,103.490,1786610317460524,reliable,1,1,4,4,0
20,4950733569656,4600.462,104.232,1786610317564761,reliable,1,1,4,4,0
21,4950842222038,4709.115,108.652,1786610317673406,reliable,1,1,4,4,0
22,4950925990115,4792.883,83.768,1786610317757169,reliable,1,1,4,4,0
23,4951024501370,4891.394,98.511,1786610317855689,reliable,1,1,4,4,0
24,4951129367342,4996.260,104.866,1786610317960556,reliable,1,1,4,4,0
25,4951242709215,5109.602,113.342,1786610318073896,reliable,1,1,4,4,0
26,4951326080822,5192.973,83.372,1786610318157259,reliable,1,1,4,4,0
27,4951442231771,5309.124,116.151,1786610318273422,reliable,1,1,4,4,0
28,4951526703807,5393.596,84.472,1786610318357890,reliable,1,1,4,4,0
29,4951622035704,5488.928,95.332,1786610318453214,reliable,1,1,4,4,0
30,4951726303808,5593.196,104.268,1786610318557483,reliable,1,1,4,4,0
31,4951840773169,5707.666,114.469,1786610318671958,reliable,1,1,4,4,0
32,4951924614216,5791.507,83.841,1786610318755803,reliable,1,1,4,4,0
33,4952022220032,5889.113,97.606,1786610318853423,reliable,1,1,4,4,0
34,4952126053130,5992.946,103.833,1786610318957246,reliable,1,1,4,4,0
35,4952222279762,6089.172,96.227,1786610319053464,reliable,1,1,4,4,0
36,4952327342096,6194.235,105.062,1786610319158521,reliable,1,1,4,4,0
37,4952422118148,6289.011,94.776,1786610319253309,reliable,1,1,4,4,0
38,4952525885449,6392.778,103.767,1786610319357068,reliable,1,1,4,4,0
39,4952629769333,6496.662,103.884,1786610319460957,reliable,1,1,4,4,0
40,4952734281421,6601.174,104.512,1786610319565470,reliable,1,1,4,4,0
41,4952821869038,6688.762,87.588,1786610319653055,reliable,1,1,4,4,0
42,4952925670933,6792.563,103.802,1786610319756858,reliable,1,1,4,4,0
43,4953029426712,6896.319,103.756,1786610319860614,reliable,1,1,4,4,0
44,4953133649340,7000.542,104.223,1786610319964837,reliable,1,1,4,4,0
45,4953237524692,7104.417,103.875,1786610320068709,reliable,1,1,4,4,0
46,4953340721168,7207.614,103.196,1786610320171934,reliable,1,1,4,4,0
47,4953423925766,7290.818,83.205,1786610320255111,reliable,1,1,4,4,0
48,4953527870262,7394.763,103.944,1786610320359051,reliable,1,1,4,4,0
49,4953631609719,7498.502,103.739,1786610320462797,reliable,1,1,4,4,0
50,4953735989892,7602.882,104.380,1786610320567240,reliable,1,1,4,4,0
51,4953837937066,7704.830,101.947,1786610320669148,reliable,1,1,4,4,0
52,4953938291681,7805.184,100.355,1786610320769481,reliable,1,1,4,4,0
53,4954038679514,7905.572,100.388,1786610320869867,reliable,1,1,4,4,0
54,4954122191046,7989.084,83.512,1786610320953378,reliable,1,1,4,4,0
55,4954239138179,8106.031,116.947,1786610321070327,reliable,1,1,4,4,0
56,4954322959017,8189.852,83.821,1786610321154190,reliable,1,1,4,4,0
57,4954428657424,8295.550,105.698,1786610321259836,reliable,1,1,4,4,0
58,4954532124189,8399.017,103.467,1786610321363311,reliable,1,1,4,4,0
59,4954635972357,8502.865,103.848,1786610321467235,reliable,1,1,4,4,0
60,4954734405240,8601.298,98.433,1786610321565599,reliable,1,1,4,4,0
61,4954835320086,8702.213,100.915,1786610321666507,reliable,1,1,4,4,0
62,4954940612961,8807.505,105.293,1786610321771799,reliable,1,1,4,4,0
63,4955040552348,8907.445,99.939,1786610321871730,reliable,1,1,4,4,0
64,4955123395294,8990.288,82.843,1786610321954580,reliable,1,1,4,4,0
65,4955238626209,9105.519,115.231,1786610322069826,reliable,1,1,4,4,0
66,4955342162515,9209.055,103.536,1786610322173351,reliable,1,1,4,4,0
67,4955438786059,9305.679,96.624,1786610322269975,reliable,1,1,4,4,0
68,4955521671446,9388.564,82.885,1786610322352854,reliable,1,1,4,4,0
69,4955638993175,9505.886,117.322,1786610322470182,reliable,1,1,4,4,0
70,4955722382245,9589.275,83.389,1786610322553570,reliable,1,1,4,4,0
71,4955838439120,9705.332,116.057,1786610322669622,reliable,1,1,4,4,0
72,4955941922206,9808.815,103.483,1786610322773126,reliable,1,1,4,4,0
73,4956029452967,9896.345,87.531,1786610322860636,reliable,1,1,4,4,0
74,4956133747084,10000.640,104.294,1786610322964948,reliable,1,1,4,4,0
75,4956229882674,10096.775,96.136,1786610323061064,reliable,1,1,4,4,0
76,4956334052910,10200.945,104.170,1786610323165241,reliable,1,1,4,4,0
77,4956437638754,10304.531,103.586,1786610323268828,reliable,1,1,4,4,0
78,4956541206357,10408.099,103.568,1786610323372398,reliable,1,1,4,4,0
79,4956624154730,10491.047,82.948,1786610323455345,reliable,1,1,4,4,0
80,4956733732214,10600.625,109.577,1786610323564921,reliable,1,1,4,4,0
81,4956829316041,10696.209,95.584,1786610323660505,reliable,1,1,4,4,0
82,4956934670070,10801.563,105.354,1786610323765858,reliable,1,1,4,4,0
83,4957038473176,10905.366,103.803,1786610323869664,reliable,1,1,4,4,0
84,4957133921474,11000.814,95.448,1786610323965114,reliable,1,1,4,4,0
85,4957237359544,11104.252,103.438,1786610324068540,reliable,1,1,4,4,0
86,4957334091418,11200.984,96.732,1786610324165278,reliable,1,1,4,4,0
87,4957437644844,11304.537,103.553,1786610324268834,reliable,1,1,4,4,0
88,4957534351116,11401.244,96.706,1786610324365580,reliable,1,1,4,4,0
89,4957637975618,11504.868,103.625,1786610324469163,reliable,1,1,4,4,0
90,4957733394284,11600.287,95.419,1786610324564586,reliable,1,1,4,4,0
91,4957837038915,11703.931,103.645,1786610324668217,reliable,1,1,4,4,0
92,4957940667610,11807.560,103.629,1786610324771853,reliable,1,1,4,4,0
93,4958023716604,11890.609,83.049,1786610324854904,reliable,1,1,4,4,0
94,4958127689545,11994.582,103.973,1786610324958878,reliable,1,1,4,4,0
95,4958234453988,12101.347,106.764,1786610325065645,reliable,1,1,4,4,0
96,4958328212767,12195.105,93.759,1786610325159400,reliable,1,1,4,4,0
97,4958431805362,12298.698,103.593,1786610325263021,reliable,1,1,4,4,0
98,4958521778734,12388.671,89.973,1786610325352968,reliable,1,1,4,4,0
99,4958623485218,12490.378,101.706,1786610325454673,reliable,1,1,4,4,0
100,4958724238646,12591.131,100.753,1786610325555428,reliable,1,1,4,4,0
101,4958829575807,12696.468,105.337,1786610325660760,reliable,1,1,4,4,0
102,4958923679346,12790.572,94.104,1786610325754865,reliable,1,1,4,4,0
103,4959027573146,12894.466,103.894,1786610325858754,reliable,1,1,4,4,0
104,4959124216248,12991.109,96.643,1786610325955407,reliable,1,1,4,4,0
105,4959227841309,13094.734,103.625,1786610326059031,reliable,1,1,4,4,0
106,4959324374806,13191.267,96.533,1786610326155566,reliable,1,1,4,4,0
107,4959430380267,13297.273,106.005,1786610326261564,reliable,1,1,4,4,0
108,4959524903229,13391.796,94.523,1786610326356093,reliable,1,1,4,4,0
109,4959628252159,13495.145,103.349,1786610326459486,reliable,1,1,4,4,0
110,4959723985442,13590.878,95.733,1786610326555245,reliable,1,1,4,4,0
111,4959827496688,13694.389,103.511,1786610326658684,reliable,1,1,4,4,0
112,4959924896931,13791.789,97.400,1786610326756084,reliable,1,1,4,4,0
113,4960028653601,13895.546,103.757,1786610326859844,reliable,1,1,4,4,0
114,4960124770397,13991.663,96.117,1786610326955956,reliable,1,1,4,4,0
115,4960229714106,14096.607,104.944,1786610327060907,reliable,1,1,4,4,0
116,4960324975488,14191.868,95.261,1786610327156161,reliable,1,1,4,4,0
117,4960428417833,14295.310,103.442,1786610327259606,reliable,1,1,4,4,0
118,4960525150321,14392.043,96.732,1786610327356336,reliable,1,1,4,4,0
119,4960629066329,14495.959,103.916,1786610327460255,reliable,1,1,4,4,0
120,4960724885796,14591.778,95.819,1786610327556075,reliable,1,1,4,4,0
121,4960828884114,14695.777,103.998,1786610327660073,reliable,1,1,4,4,0
122,4960925160059,14792.053,96.276,1786610327756345,reliable,1,1,4,4,0
123,4961029028577,14895.921,103.869,1786610327860215,reliable,1,1,4,4,0
124,4961124222978,14991.116,95.194,1786610327955412,reliable,1,1,4,4,0
125,4961228063413,15094.956,103.840,1786610328059256,reliable,1,1,4,4,0
126,4961324577264,15191.470,96.514,1786610328155768,reliable,1,1,4,4,0
127,4961429799344,15296.692,105.222,1786610328260985,reliable,1,1,4,4,0
128,4961524657277,15391.550,94.858,1786610328355850,reliable,1,1,4,4,0
129,4961630078569,15496.971,105.421,1786610328461265,reliable,1,1,4,4,0
130,4961723931059,15590.824,93.852,1786610328555111,reliable,1,1,4,4,0
131,4961827097322,15693.990,103.166,1786610328658281,reliable,1,1,4,4,0
