sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,1019859538678,1379.608,,1786675975171268,reliable,1,1,4,4,0
2,1019943937222,1464.006,84.399,1786675975255665,reliable,1,1,4,4,0
3,1020058341684,1578.411,114.404,1786675975370072,reliable,1,1,4,4,0
4,1020146902269,1666.971,88.561,1786675975458650,reliable,1,1,4,4,0
5,1020239661848,1759.731,92.760,1786675975551401,reliable,1,1,4,4,0
6,1020344928698,1864.998,105.267,1786675975656661,reliable,1,1,4,4,0
7,1020439248375,1959.318,94.320,1786675975750986,reliable,1,1,4,4,0
8,1020543805197,2063.874,104.557,1786675975855560,reliable,1,1,4,4,0
9,1020639156257,2159.225,95.351,1786675975950883,reliable,1,1,4,4,0
10,1020743251240,2263.320,104.095,1786675976054994,reliable,1,1,4,4,0
11,1020839796580,2359.866,96.545,1786675976151525,reliable,1,1,4,4,0
12,1020945217272,2465.286,105.421,1786675976256973,reliable,1,1,4,4,0
13,1021045570343,2565.640,100.353,1786675976357309,reliable,1,1,4,4,0
14,1021149592511,2669.662,104.022,1786675976461320,reliable,1,1,4,4,0
15,1021239052159,2759.121,89.460,1786675976550783,reliable,1,1,4,4,0
16,1021343937611,2864.007,104.885,1786675976655673,reliable,1,1,4,4,0
17,1021459031541,2979.101,115.094,1786675976770765,reliable,1,1,4,4,0
18,1021542403254,3062.472,83.372,1786675976854147,reliable,1,1,4,4,0
19,1021639365870,3159.435,96.963,1786675976951107,reliable,1,1,4,4,0
20,1021744347120,3264.416,104.981,1786675977056085,reliable,1,1,4,4,0
21,1021839319894,3359.389,94.973,1786675977151050,reliable,1,1,4,4,0
22,1021943748408,3463.818,104.429,1786675977255485,reliable,1,1,4,4,0
23,1022039049673,3559.119,95.301,1786675977350776,reliable,1,1,4,4,0
24,1022142870478,3662.940,103.821,1786675977454606,reliable,1,1,4,4,0
25,1022239432849,3759.502,96.562,1786675977551173,reliable,1,1,4,4,0
26,1022345129732,3865.199,105.697,1786675977656861,reliable,1,1,4,4,0
27,1022438786274,3958.855,93.657,1786675977750518,reliable,1,1,4,4,0
28,1022542649503,4062.719,103.863,1786675977854386,reliable,1,1,4,4,0
29,1022639656218,4159.725,97.007,1786675977951387,reliable,1,1,4,4,0
30,1022743884898,4263.954,104.229,1786675978055616,reliable,1,1,4,4,0
31,1022859397409,4379.467,115.513,1786675978171133,reliable,1,1,4,4,0
32,1022942826858,4462.896,83.429,1786675978254563,reliable,1,1,4,4,0
33,1023038970109,4559.039,96.143,1786675978350702,reliable,1,1,4,4,0
34,1023142979566,4663.049,104.009,1786675978454710,reliable,1,1,4,4,0
35,1023258978045,4779.047,115.998,1786675978570714,reliable,1,1,4,4,0
36,1023342203880,4862.273,83.226,1786675978653939,reliable,1,1,4,4,0
37,1023438877764,4958.947,96.674,1786675978750609,reliable,1,1,4,4,0
38,1023544245144,5064.314,105.367,1786675978855983,reliable,1,1,4,4,0
39,1023639115129,5159.184,94.870,1786675978950843,reliable,1,1,4,4,0
40,1023742757643,5262.827,103.643,1786675979054494,reliable,1,1,4,4,0
41,1023838789562,5358.859,96.032,1786675979150528,reliable,1,1,4,4,0
42,1023943819311,5463.888,105.030,1786675979255559,reliable,1,1,4,4,0
43,1024039000648,5559.070,95.181,1786675979350729,reliable,1,1,4,4,0
44,1024142784041,5662.853,103.783,1786675979454526,reliable,1,1,4,4,0
45,1024239563326,5759.632,96.779,1786675979551288,reliable,1,1,4,4,0
46,1024343171739,5863.241,103.608,1786675979654906,reliable,1,1,4,4,0
47,1024459032525,5979.102,115.861,1786675979770768,reliable,1,1,4,4,0
48,1024542353137,6062.422,83.321,1786675979854098,reliable,1,1,4,4,0
49,1024645107258,6165.176,102.754,1786675979956845,reliable,1,1,4,4,0
50,1024749162868,6269.232,104.056,1786675980060889,reliable,1,1,4,4,0
51,1024858945423,6379.015,109.783,1786675980170716,reliable,1,1,4,4,0
