sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,1846520089812,264.529,,1786678972341493,reliable,1,1,4,4,0
2,1846605209570,349.649,85.120,1786678972426623,reliable,1,1,4,4,0
3,1846717310726,461.750,112.101,1786678972538725,reliable,1,1,4,4,0
4,1846801257995,545.698,83.947,1786678972622669,reliable,1,1,4,4,0
5,1846919614325,664.054,118.356,1786678972741026,reliable,1,1,4,4,0
6,1847002923943,747.363,83.310,1786678972824333,reliable,1,1,4,4,0
7,1847117576089,862.016,114.652,1786678972938995,reliable,1,1,4,4,0
8,1847201127579,945.567,83.551,1786678973022533,reliable,1,1,4,4,0
9,1847318083151,1062.523,116.956,1786678973139496,reliable,1,1,4,4,0
10,1847401586722,1146.026,83.504,1786678973223009,reliable,1,1,4,4,0
11,1847518625268,1263.065,117.039,1786678973340043,reliable,1,1,4,4,0
12,1847601968266,1346.408,83.343,1786678973423377,reliable,1,1,4,4,0
13,1847718952349,1463.392,116.984,1786678973540361,reliable,1,1,4,4,0
14,1847802274099,1546.714,83.322,1786678973623706,reliable,1,1,4,4,0
15,1847918501012,1662.941,116.227,1786678973739920,reliable,1,1,4,4,0
16,1848002486687,1746.926,83.986,1786678973823918,reliable,1,1,4,4,0
17,1848118367942,1862.807,115.881,1786678973939788,reliable,1,1,4,4,0
18,1848202260104,1946.700,83.892,1786678974023673,reliable,1,1,4,4,0
19,1848317715296,2062.155,115.455,1786678974139135,reliable,1,1,4,4,0
20,1848401290806,2145.730,83.576,1786678974222700,reliable,1,1,4,4,0
21,1848517410115,2261.850,116.119,1786678974338827,reliable,1,1,4,4,0
22,1848601472305,2345.912,84.062,1786678974422881,reliable,1,1,4,4,0
23,1848718495087,2462.935,117.023,1786678974539912,reliable,1,1,4,4,0
24,1848801464495,2545.904,82.969,1786678974622873,reliable,1,1,4,4,0
25,1848917829912,2662.269,116.365,1786678974739247,reliable,1,1,4,4,0
26,1849001699593,2746.139,83.870,1786678974823133,reliable,1,1,4,4,0
27,1849118357069,2862.797,116.657,1786678974939778,reliable,1,1,4,4,0
28,1849201244611,2945.684,82.888,1786678975022668,reliable,1,1,4,4,0
29,1849318149453,3062.589,116.905,1786678975139593,reliable,1,1,4,4,0
30,1849401582951,3146.022,83.433,1786678975222996,reliable,1,1,4,4,0
31,1849519005960,3263.445,117.423,1786678975340423,reliable,1,1,4,4,0
32,1849603024089,3347.464,84.018,1786678975424439,reliable,1,1,4,4,0
33,1849717703846,3462.143,114.680,1786678975539119,reliable,1,1,4,4,0
34,1849801483931,3545.923,83.780,1786678975622897,reliable,1,1,4,4,0
35,1849919130617,3663.570,117.647,1786678975740542,reliable,1,1,4,4,0
36,1850002342519,3746.782,83.212,1786678975823791,reliable,1,1,4,4,0
37,1850099287131,3843.727,96.945,1786678975920695,reliable,1,1,4,4,0
38,1850203157257,3947.597,103.870,1786678976024572,reliable,1,1,4,4,0
39,1850318910187,4063.350,115.753,1786678976140321,reliable,1,1,4,4,0
40,1850401907564,4146.347,82.997,1786678976223322,reliable,1,1,4,4,0
41,1850519182551,4263.622,117.275,1786678976340602,reliable,1,1,4,4,0
