logical_index,event,event_name,t_ns,relative_ms,delta_ms,tid,session_id,stream_id,seq_num,first_unacked,nack_bitmap,object_id,callback_id,client_key,len,result,aux
0,3,SEQ_ASSIGNED,4885052684256,0.000000,,10704,0,128,0,0,0x0000,0,0,0x00000000,14,1,0
1,4,QUEUE_NEW,4885052703200,0.018944,0.018944,10704,0,128,0,0,0x0000,0,0,0x00000000,14,1,0
2,5,SEND_BEGIN,4885052831424,0.147168,0.128224,10703,129,128,0,0,0x0000,0,0,0x00000001,14,0,0
3,6,UART_WRITE_BEGIN,4885052841568,0.157312,0.010144,10703,129,128,0,0,0x0000,0,0,0x00000001,21,0,0
4,7,UART_WRITE_END,4885052869600,0.185344,0.028032,10703,129,128,0,0,0x0000,0,0,0x00000001,0,21,0
5,8,SEND_END,4885052877568,0.193312,0.007968,10703,129,128,0,0,0x0000,0,0,0x00000001,0,1,0
6,9,ACKNACK_RX,4885072615872,19.931616,19.738304,10704,129,128,,1,0x0000,0,0,0x00000001,0,1,0
7,11,ACK_UPDATE,4885072633472,19.949216,0.017600,10704,129,128,,1,0x0000,0,0,0x00000001,0,1,0
8,3,SEQ_ASSIGNED,4885073023136,20.338880,0.389664,10704,0,128,1,0,0x0000,0,0,0x00000000,14,1,0
9,4,QUEUE_NEW,4885073032000,20.347744,0.008864,10704,0,128,1,0,0x0000,0,0,0x00000000,14,1,0
10,5,SEND_BEGIN,4885073077536,20.393280,0.045536,10703,129,128,1,0,0x0000,0,0,0x00000001,14,0,0
11,6,UART_WRITE_BEGIN,4885073085088,20.400832,0.007552,10703,129,128,1,0,0x0000,0,0,0x00000001,21,0,0
12,7,UART_WRITE_END,4885073150624,20.466368,0.065536,10703,129,128,1,0,0x0000,0,0,0x00000001,0,21,0
13,8,SEND_END,4885073157248,20.472992,0.006624,10703,129,128,1,0,0x0000,0,0,0x00000001,0,1,0
14,3,SEQ_ASSIGNED,4885073189824,20.505568,0.032576,10704,0,128,2,0,0x0000,0,0,0x00000000,14,1,0
15,4,QUEUE_NEW,4885073198560,20.514304,0.008736,10704,0,128,2,0,0x0000,0,0,0x00000000,14,1,0
16,5,SEND_BEGIN,4885073228448,20.544192,0.029888,10703,129,128,2,0,0x0000,0,0,0x00000001,14,0,0
17,6,UART_WRITE_BEGIN,4885073233600,20.549344,0.005152,10703,129,128,2,0,0x0000,0,0,0x00000001,21,0,0
18,7,UART_WRITE_END,4885073261152,20.576896,0.027552,10703,129,128,2,0,0x0000,0,0,0x00000001,0,21,0
19,8,SEND_END,4885073266912,20.582656,0.005760,10703,129,128,2,0,0x0000,0,0,0x00000001,0,1,0
20,3,SEQ_ASSIGNED,4885081558080,28.873824,8.291168,10704,0,128,3,0,0x0000,0,0,0x00000000,14,1,0
21,4,QUEUE_NEW,4885081579488,28.895232,0.021408,10704,0,128,3,0,0x0000,0,0,0x00000000,14,1,0
22,5,SEND_BEGIN,4885081651264,28.967008,0.071776,10703,129,128,3,0,0x0000,0,0,0x00000001,14,0,0
23,6,UART_WRITE_BEGIN,4885081659424,28.975168,0.008160,10703,129,128,3,0,0x0000,0,0,0x00000001,21,0,0
24,7,UART_WRITE_END,4885081691328,29.007072,0.031904,10703,129,128,3,0,0x0000,0,0,0x00000001,0,21,0
25,8,SEND_END,4885081698432,29.014176,0.007104,10703,129,128,3,0,0x0000,0,0,0x00000001,0,1,0
26,9,ACKNACK_RX,4885081804832,29.120576,0.106400,10704,129,128,,2,0x0000,0,0,0x00000001,0,1,0
27,11,ACK_UPDATE,4885081818368,29.134112,0.013536,10704,129,128,,2,0x0000,0,0,0x00000001,0,1,0
28,9,ACKNACK_RX,4885081826176,29.141920,0.007808,10704,129,128,,3,0x0000,0,0,0x00000001,0,1,0
29,11,ACK_UPDATE,4885081832480,29.148224,0.006304,10704,129,128,,3,0x0000,0,0,0x00000001,0,1,0
30,9,ACKNACK_RX,4885103138624,50.454368,21.306144,10704,129,128,,4,0x0000,0,0,0x00000001,0,1,0
31,11,ACK_UPDATE,4885103150848,50.466592,0.012224,10704,129,128,,4,0x0000,0,0,0x00000001,0,1,0
32,3,SEQ_ASSIGNED,4885103604832,50.920576,0.453984,10704,0,128,4,0,0x0000,0,0,0x00000000,14,1,0
33,4,QUEUE_NEW,4885103614048,50.929792,0.009216,10704,0,128,4,0,0x0000,0,0,0x00000000,14,1,0
34,5,SEND_BEGIN,4885103674592,50.990336,0.060544,10703,129,128,4,0,0x0000,0,0,0x00000001,14,0,0
35,6,UART_WRITE_BEGIN,4885103681696,50.997440,0.007104,10703,129,128,4,0,0x0000,0,0,0x00000001,21,0,0
36,7,UART_WRITE_END,4885103703264,51.019008,0.021568,10703,129,128,4,0,0x0000,0,0,0x00000001,0,21,0
37,8,SEND_END,4885103733600,51.049344,0.030336,10703,129,128,4,0,0x0000,0,0,0x00000001,0,1,0
38,3,SEQ_ASSIGNED,4885103830848,51.146592,0.097248,10704,0,128,5,0,0x0000,0,0,0x00000000,14,1,0
39,4,QUEUE_NEW,4885103839168,51.154912,0.008320,10704,0,128,5,0,0x0000,0,0,0x00000000,14,1,0
40,5,SEND_BEGIN,4885103886336,51.202080,0.047168,10703,129,128,5,0,0x0000,0,0,0x00000001,14,0,0
41,6,UART_WRITE_BEGIN,4885103891936,51.207680,0.005600,10703,129,128,5,0,0x0000,0,0,0x00000001,21,0,0
42,7,UART_WRITE_END,4885103908032,51.223776,0.016096,10703,129,128,5,0,0x0000,0,0,0x00000001,0,21,0
43,8,SEND_END,4885103913632,51.229376,0.005600,10703,129,128,5,0,0x0000,0,0,0x00000001,0,1,0
44,3,SEQ_ASSIGNED,4885105383136,52.698880,1.469504,10704,0,128,6,0,0x0000,0,0,0x00000000,14,1,0
45,4,QUEUE_NEW,4885105392352,52.708096,0.009216,10704,0,128,6,0,0x0000,0,0,0x00000000,14,1,0
46,5,SEND_BEGIN,4885105442624,52.758368,0.050272,10703,129,128,6,0,0x0000,0,0,0x00000001,14,0,0
47,6,UART_WRITE_BEGIN,4885105450304,52.766048,0.007680,10703,129,128,6,0,0x0000,0,0,0x00000001,21,0,0
48,7,UART_WRITE_END,4885105472256,52.788000,0.021952,10703,129,128,6,0,0x0000,0,0,0x00000001,0,21,0
49,8,SEND_END,4885105479040,52.794784,0.006784,10703,129,128,6,0,0x0000,0,0,0x00000001,0,1,0
50,9,ACKNACK_RX,4885128396416,75.712160,22.917376,10704,129,128,,5,0x0000,0,0,0x00000001,0,1,0
51,11,ACK_UPDATE,4885128412640,75.728384,0.016224,10704,129,128,,5,0x0000,0,0,0x00000001,0,1,0
52,9,ACKNACK_RX,4885128426368,75.742112,0.013728,10704,129,128,,6,0x0000,0,0,0x00000001,0,1,0
53,11,ACK_UPDATE,4885128436160,75.751904,0.009792,10704,129,128,,6,0x0000,0,0,0x00000001,0,1,0
54,9,ACKNACK_RX,4885128446400,75.762144,0.010240,10704,129,128,,7,0x0000,0,0,0x00000001,0,1,0
55,11,ACK_UPDATE,4885128456576,75.772320,0.010176,10704,129,128,,7,0x0000,0,0,0x00000001,0,1,0
