sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,276354613732,93.585,,1786692555681835,reliable,1,1,4,4,0
2,276443935853,182.907,89.322,1786692555771147,reliable,1,1,4,4,0
3,276549361586,288.333,105.426,1786692555876568,reliable,1,1,4,4,0
4,276634092517,373.064,84.731,1786692555961299,reliable,1,1,4,4,0
5,276738751626,477.723,104.659,1786692556065959,reliable,1,1,4,4,0
6,276833704915,572.676,94.953,1786692556160913,reliable,1,1,4,4,0
7,276939219668,678.191,105.515,1786692556266428,reliable,1,1,4,4,0
8,277038149994,777.121,98.930,1786692556365367,reliable,1,1,4,4,0
9,277143256581,882.228,105.107,1786692556470465,reliable,1,1,4,4,0
10,277233625109,972.596,90.369,1786692556560865,reliable,1,1,4,4,0
11,277338095314,1077.067,104.470,1786692556665305,reliable,1,1,4,4,0
12,277442417681,1181.389,104.322,1786692556769622,reliable,1,1,4,4,0
13,277537873877,1276.845,95.456,1786692556865080,reliable,1,1,4,4,0
14,277642591809,1381.563,104.718,1786692556969820,reliable,1,1,4,4,0
15,277747907039,1486.878,105.315,1786692557075115,reliable,1,1,4,4,0
16,277853906951,1592.878,106.000,1786692557181115,reliable,1,1,4,4,0
17,277937432645,1676.404,83.526,1786692557264633,reliable,1,1,4,4,0
18,278053535126,1792.506,116.102,1786692557380771,reliable,1,1,4,4,0
19,278137206289,1876.178,83.671,1786692557464418,reliable,1,1,4,4,0
20,278253566542,1992.538,116.360,1786692557580798,reliable,1,1,4,4,0
21,278337123901,2076.095,83.557,1786692557664330,reliable,1,1,4,4,0
22,278435609505,2174.581,98.486,1786692557762815,reliable,1,1,4,4,0
23,278540056428,2279.028,104.447,1786692557867265,reliable,1,1,4,4,0
24,278651643428,2390.615,111.587,1786692557978849,reliable,1,1,4,4,0
25,278735214223,2474.186,83.571,1786692558062446,reliable,1,1,4,4,0
26,278853997760,2592.969,118.784,1786692558181205,reliable,1,1,4,4,0
27,278937960377,2676.932,83.963,1786692558265201,reliable,1,1,4,4,0
28,279036442466,2775.414,98.482,1786692558363655,reliable,1,1,4,4,0
29,279140746641,2879.718,104.304,1786692558467966,reliable,1,1,4,4,0
30,279253597774,2992.569,112.851,1786692558580813,reliable,1,1,4,4,0
31,279347615463,3086.587,94.018,1786692558674822,reliable,1,1,4,4,0
32,279452271574,3191.243,104.656,1786692558779481,reliable,1,1,4,4,0
33,279535868438,3274.840,83.597,1786692558863076,reliable,1,1,4,4,0
34,279653965887,3392.937,118.097,1786692558981174,reliable,1,1,4,4,0
35,279738377326,3477.349,84.411,1786692559065640,reliable,1,1,4,4,0
36,279852607259,3591.579,114.230,1786692559179841,reliable,1,1,4,4,0
37,279935977156,3674.948,83.370,1786692559263294,reliable,1,1,4,4,0
38,280045702036,3784.673,109.725,1786692559372908,reliable,1,1,4,4,0
39,280152533320,3891.505,106.831,1786692559479735,reliable,1,1,4,4,0
40,280235756308,3974.728,83.223,1786692559562961,reliable,1,1,4,4,0
41,280340520053,4079.491,104.764,1786692559667726,reliable,1,1,4,4,0
42,280452146595,4191.118,111.627,1786692559779350,reliable,1,1,4,4,0
43,280535340988,4274.312,83.194,1786692559862546,reliable,1,1,4,4,0
44,280655776673,4394.748,120.436,1786692559982983,reliable,1,1,4,4,0
45,280739633871,4478.605,83.857,1786692560066833,reliable,1,1,4,4,0
46,280851595527,4590.567,111.962,1786692560178795,reliable,1,1,4,4,0
47,280935697606,4674.669,84.102,1786692560262904,reliable,1,1,4,4,0
48,281051208143,4790.179,115.511,1786692560378419,reliable,1,1,4,4,0
49,281134221565,4873.193,83.013,1786692560461452,reliable,1,1,4,4,0
50,281251552362,4990.524,117.331,1786692560578756,reliable,1,1,4,4,0
51,281334788755,5073.760,83.236,1786692560662022,reliable,1,1,4,4,0
52,281452432273,5191.404,117.644,1786692560779653,reliable,1,1,4,4,0
53,281536175731,5275.147,83.743,1786692560863396,reliable,1,1,4,4,0
54,281651668453,5390.640,115.493,1786692560978874,reliable,1,1,4,4,0
55,281737029224,5476.001,85.361,1786692561064233,reliable,1,1,4,4,0
56,281850076949,5589.048,113.048,1786692561177522,reliable,1,1,4,4,0
57,281934917222,5673.889,84.840,1786692561262130,reliable,1,1,4,4,0
58,282052899726,5791.871,117.983,1786692561380106,reliable,1,1,4,4,0
59,282136341947,5875.313,83.442,1786692561463549,reliable,1,1,4,4,0
60,282252817137,5991.788,116.475,1786692561580043,reliable,1,1,4,4,0
61,282335941614,6074.913,83.124,1786692561663161,reliable,1,1,4,4,0
62,282449518571,6188.490,113.577,1786692561776743,reliable,1,1,4,4,0
63,282546761552,6285.733,97.243,1786692561873977,reliable,1,1,4,4,0
64,282653279288,6392.251,106.518,1786692561980496,reliable,1,1,4,4,0
65,282736462013,6475.433,83.183,1786692562063668,reliable,1,1,4,4,0
66,282851425637,6590.397,114.964,1786692562178648,reliable,1,1,4,4,0
67,282935658765,6674.630,84.233,1786692562262870,reliable,1,1,4,4,0
68,283051861089,6790.832,116.202,1786692562379062,reliable,1,1,4,4,0
69,283150153579,6889.125,98.292,1786692562477358,reliable,1,1,4,4,0
70,283233617328,6972.589,83.464,1786692562560830,reliable,1,1,4,4,0
71,283338266798,7077.238,104.649,1786692562665475,reliable,1,1,4,4,0
72,283450789709,7189.761,112.523,1786692562777993,reliable,1,1,4,4,0
73,283534587962,7273.559,83.798,1786692562861793,reliable,1,1,4,4,0
74,283650957954,7389.929,116.370,1786692562978164,reliable,1,1,4,4,0
75,283735125640,7474.097,84.168,1786692563062327,reliable,1,1,4,4,0
76,283850634395,7589.606,115.509,1786692563177859,reliable,1,1,4,4,0
77,283933793869,7672.765,83.159,1786692563261019,reliable,1,1,4,4,0
78,284051828035,7790.799,118.034,1786692563379029,reliable,1,1,4,4,0
79,284135852075,7874.823,84.024,1786692563463060,reliable,1,1,4,4,0
80,284252460586,7991.432,116.609,1786692563579667,reliable,1,1,4,4,0
81,284335794636,8074.766,83.334,1786692563663002,reliable,1,1,4,4,0
82,284449735976,8188.707,113.941,1786692563776938,reliable,1,1,4,4,0
83,284534018011,8272.989,84.282,1786692563861218,reliable,1,1,4,4,0
84,284634149411,8373.121,100.131,1786692563961360,reliable,1,1,4,4,0
85,284738632431,8477.604,104.483,1786692564065832,reliable,1,1,4,4,0
86,284849571332,8588.543,110.939,1786692564176777,reliable,1,1,4,4,0
87,284945266800,8684.238,95.695,1786692564272470,reliable,1,1,4,4,0
88,285049458626,8788.430,104.192,1786692564376663,reliable,1,1,4,4,0
89,285144201024,8883.172,94.742,1786692564471404,reliable,1,1,4,4,0
90,285249885323,8988.857,105.684,1786692564577088,reliable,1,1,4,4,0
91,285334245564,9073.217,84.360,1786692564661451,reliable,1,1,4,4,0
92,285452504015,9191.475,118.258,1786692564779936,reliable,1,1,4,4,0
93,285536274956,9275.246,83.771,1786692564863474,reliable,1,1,4,4,0
94,285650123189,9389.095,113.848,1786692564977329,reliable,1,1,4,4,0
95,285733439138,9472.410,83.316,1786692565060664,reliable,1,1,4,4,0
96,285849443545,9588.415,116.004,1786692565176645,reliable,1,1,4,4,0
97,285933589101,9672.560,84.146,1786692565260790,reliable,1,1,4,4,0
98,286050043799,9789.015,116.455,1786692565377250,reliable,1,1,4,4,0
99,286133376541,9872.348,83.333,1786692565460575,reliable,1,1,4,4,0
100,286251825243,9990.797,118.449,1786692565579050,reliable,1,1,4,4,0
101,286335233791,10074.205,83.409,1786692565662437,reliable,1,1,4,4,0
102,286450289221,10189.261,115.055,1786692565777503,reliable,1,1,4,4,0
103,286533505121,10272.476,83.216,1786692565860704,reliable,1,1,4,4,0
104,286647648613,10386.620,114.143,1786692565974850,reliable,1,1,4,4,0
105,286750756744,10489.728,103.108,1786692566077959,reliable,1,1,4,4,0
106,286834316297,10573.288,83.560,1786692566161525,reliable,1,1,4,4,0
107,286939096564,10678.068,104.780,1786692566266304,reliable,1,1,4,4,0
108,287051043362,10790.015,111.947,1786692566378278,reliable,1,1,4,4,0
109,287135214797,10874.186,84.171,1786692566462416,reliable,1,1,4,4,0
110,287249700696,10988.672,114.486,1786692566576907,reliable,1,1,4,4,0
111,287343925861,11082.897,94.225,1786692566671129,reliable,1,1,4,4,0
112,287448424783,11187.396,104.499,1786692566775625,reliable,1,1,4,4,0
113,287543982558,11282.954,95.558,1786692566871266,reliable,1,1,4,4,0
114,287648119565,11387.091,104.137,1786692566975339,reliable,1,1,4,4,0
115,287749782467,11488.754,101.663,1786692567076988,reliable,1,1,4,4,0
116,287853757119,11592.728,103.975,1786692567180957,reliable,1,1,4,4,0
117,287936655278,11675.627,82.898,1786692567263861,reliable,1,1,4,4,0
118,288046088054,11785.059,109.433,1786692567373286,reliable,1,1,4,4,0
119,288143150617,11882.122,97.063,1786692567470357,reliable,1,1,4,4,0
120,288248062698,11987.034,104.912,1786692567575294,reliable,1,1,4,4,0
121,288343938697,12082.910,95.876,1786692567671138,reliable,1,1,4,4,0
122,288450126006,12189.097,106.187,1786692567777330,reliable,1,1,4,4,0
123,288541995572,12280.967,91.870,1786692567869203,reliable,1,1,4,4,0
124,288648728040,12387.699,106.732,1786692567975930,reliable,1,1,4,4,0
125,288744068508,12483.040,95.340,1786692568071271,reliable,1,1,4,4,0
126,288850201284,12589.173,106.133,1786692568177406,reliable,1,1,4,4,0
127,288942921920,12681.893,92.721,1786692568270126,reliable,1,1,4,4,0
128,289048460181,12787.431,105.538,1786692568375663,reliable,1,1,4,4,0
129,289142882028,12881.853,94.422,1786692568470081,reliable,1,1,4,4,0
130,289247320918,12986.292,104.439,1786692568574537,reliable,1,1,4,4,0
131,289342432466,13081.404,95.112,1786692568669638,reliable,1,1,4,4,0
132,289446928194,13185.900,104.496,1786692568774132,reliable,1,1,4,4,0
133,289542535517,13281.507,95.607,1786692568869740,reliable,1,1,4,4,0
134,289647390026,13386.361,104.855,1786692568974594,reliable,1,1,4,4,0
135,289742793475,13481.765,95.403,1786692569069994,reliable,1,1,4,4,0
136,289847523466,13586.495,104.730,1786692569174726,reliable,1,1,4,4,0
137,289942099036,13681.070,94.576,1786692569269300,reliable,1,1,4,4,0
138,290046458507,13785.430,104.359,1786692569373656,reliable,1,1,4,4,0
139,290141053268,13880.025,94.595,1786692569468252,reliable,1,1,4,4,0
140,290245601454,13984.573,104.548,1786692569572803,reliable,1,1,4,4,0
141,290342444377,14081.416,96.843,1786692569669649,reliable,1,1,4,4,0
142,290446714992,14185.686,104.271,1786692569773941,reliable,1,1,4,4,0
143,290542769730,14281.741,96.055,1786692569869970,reliable,1,1,4,4,0
144,290646468350,14385.440,103.699,1786692569973683,reliable,1,1,4,4,0
145,290741645215,14480.617,95.177,1786692570068844,reliable,1,1,4,4,0
