sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107413134333408,123.613,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4074,9.8723,0.1846,-0.0208,-0.0182,0.0077
2,107413140198523,129.478,5.865,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4071,9.8722,0.1857,-0.0208,-0.0183,0.0080
3,107413212466576,201.746,72.268,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4074,9.8702,0.1934,-0.0196,-0.0196,0.0101
4,107413314301609,303.581,101.835,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4111,9.8669,0.1994,-0.0171,-0.0215,0.0111
5,107413413251734,402.531,98.950,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4195,9.8658,0.1984,-0.0135,-0.0228,0.0103
6,107413516175478,505.455,102.924,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4217,9.8629,0.1958,-0.0129,-0.0244,0.0090
7,107413612818557,602.098,96.643,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4211,9.8607,0.1988,-0.0134,-0.0257,0.0097
8,107413712680869,701.960,99.862,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4167,9.8600,0.2056,-0.0151,-0.0262,0.0121
9,107413815016059,804.295,102.335,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.4063,9.8613,0.2086,-0.0189,-0.0257,0.0134
10,107413911935425,901.215,96.919,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3908,9.8632,0.2189,-0.0238,-0.0245,0.0161
11,107414010920269,1000.199,98.985,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3837,9.8647,0.2257,-0.0255,-0.0227,0.0177
12,107414113194929,1102.474,102.275,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3782,9.8663,0.2279,-0.0263,-0.0210,0.0180
13,107414212917983,1202.197,99.723,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3705,9.8686,0.2295,-0.0272,-0.0193,0.0179
14,107414314365495,1303.645,101.448,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3649,9.8705,0.2366,-0.0277,-0.0187,0.0196
15,107414411080103,1400.359,96.715,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3599,9.8749,0.2345,-0.0284,-0.0165,0.0183
16,107414515507013,1504.786,104.427,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3545,9.8789,0.2343,-0.0293,-0.0148,0.0173
17,107414612805908,1602.085,97.299,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3502,9.8831,0.2323,-0.0301,-0.0131,0.0153
18,107414711629837,1700.909,98.824,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3480,9.8895,0.2278,-0.0299,-0.0104,0.0121
19,107414812648256,1801.927,101.018,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3525,9.8999,0.2295,-0.0275,-0.0058,0.0117
20,107414912996768,1902.276,100.349,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3627,9.9055,0.2327,-0.0231,-0.0033,0.0113
21,107415015428070,2004.707,102.431,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3695,9.9097,0.2389,-0.0201,-0.0012,0.0124
22,107415112899526,2102.179,97.471,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3739,9.9123,0.2415,-0.0180,0.0003,0.0123
23,107415211871488,2201.151,98.972,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3782,9.9134,0.2367,-0.0159,0.0011,0.0098
24,107415313490924,2302.770,101.619,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3867,9.9163,0.2329,-0.0124,0.0029,0.0078
