monotonic_ns,elapsed_ms,state,event,detail
107413013439331,2.719,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_FI_AGENT
107413018664957,7.944,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107413131940370,121.220,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107413133158301,122.437,PRECHECK,ARMING_STATE,1
107413133217221,122.496,PRECHECK,NAV_STATE,4
107413133234122,122.513,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107413133477301,122.756,PRECHECK,ROUTE,"start=(0.40767988562583923, 9.872511863708496, 0.18343274295330048, 1.504485011100769) takeoff=(0.40767988562583923, 9.872511863708496, -0.3165672570466995) goal=(0.7389935312692922, 14.861522914829795, -0.3165672570466995) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107413133506198,122.785,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107413133533932,122.813,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107413133556201,122.835,STREAM_PREROLL,TRANSITION,
107415136622180,2125.901,REQUEST_OFFBOARD,TRANSITION,
107415139831814,2129.111,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107415140370201,2129.649,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107415167470817,2156.750,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107415168792054,2158.071,REQUEST_OFFBOARD,NAV_STATE,14
107415169064040,2158.343,REQUEST_ARM,TRANSITION,
107415171707373,2160.987,REQUEST_ARM,COMMAND_BEGIN,command=400
107415172059065,2161.338,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107415180440294,2169.719,REQUEST_ARM,ARMING_STATE,2
107415180647989,2169.927,TAKEOFF,TRANSITION,
107425825720573,12815.000,HOLD_AFTER_TAKEOFF,TRANSITION,
107427825779187,14815.058,HOLD_AFTER_TAKEOFF,ROUTE_REFRESH,"origin=(0.41378211975097656,9.928404808044434,-0.1850813776254654) heading=1.503994107246399 goal=(0.7475448501294797, 14.917252614884234, -0.3165672570466995)"
107427825842002,14815.121,MOVE_FORWARD,TRANSITION,
107433940772564,20930.052,MOVE_FORWARD,ABORT,VehicleControlMode stale for more than 2 s
107433940842133,20930.121,REQUEST_LAND_ABORT,TRANSITION,VehicleControlMode stale for more than 2 s
107448406396741,35395.676,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
107448406967154,35396.246,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
107448407071261,35396.350,REQUEST_LAND_ABORT,LAND_NOT_CONFIRMED,operator must take over with RC mode switch or Kill
107448407140948,35396.420,FAILED,TRANSITION,Land command not confirmed
107448407424628,35396.704,FAILED,HEARTBEAT_SUMMARY,publishes=354 max_gap_ms=105.213 over_150ms=0 over_250ms=0 over_500ms=0
