sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107598670953492,458.444,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.5905,14.9398,0.0968,-0.0136,-0.0101,-0.0232
2,107598772471787,559.962,101.518,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.5900,14.9334,0.0970,-0.0136,-0.0117,-0.0225
3,107598872517337,660.008,100.046,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.5929,14.9321,0.0962,-0.0120,-0.0101,-0.0216
4,107598974958844,762.449,102.442,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.5970,14.9350,0.0916,-0.0100,-0.0080,-0.0223
5,107599071387317,858.878,96.428,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6080,14.9376,0.0930,-0.0055,-0.0064,-0.0216
6,107599171980754,959.471,100.593,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6133,14.9383,0.0954,-0.0034,-0.0055,-0.0208
7,107599273538055,1061.028,101.557,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6076,14.9366,0.0965,-0.0056,-0.0053,-0.0205
8,107599373396135,1160.887,99.858,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6060,14.9300,0.1037,-0.0062,-0.0073,-0.0183
9,107599474941601,1262.432,101.545,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6152,14.9285,0.1004,-0.0025,-0.0067,-0.0202
10,107599573734047,1361.224,98.792,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6292,14.9281,0.0932,0.0025,-0.0060,-0.0226
11,107599671275267,1458.766,97.541,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6422,14.9279,0.0876,0.0069,-0.0051,-0.0238
12,107599773632096,1561.122,102.357,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6518,14.9277,0.0846,0.0100,-0.0039,-0.0236
13,107599873035377,1660.526,99.403,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6517,14.9265,0.0835,0.0091,-0.0040,-0.0225
14,107599975057518,1762.548,102.022,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6592,14.9242,0.0826,0.0111,-0.0044,-0.0219
15,107600072044236,1859.535,96.987,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6662,14.9200,0.0807,0.0127,-0.0061,-0.0218
16,107600171418083,1958.908,99.374,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6698,14.9154,0.0805,0.0133,-0.0084,-0.0214
17,107600273179045,2060.669,101.761,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6686,14.9130,0.0839,0.0125,-0.0096,-0.0202
18,107600371127241,2158.618,97.948,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6693,14.9100,0.0775,0.0126,-0.0104,-0.0217
19,107600475274644,2262.765,104.147,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6641,14.9034,0.0704,0.0104,-0.0130,-0.0224
20,107600572184737,2359.675,96.910,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6597,14.8983,0.0684,0.0086,-0.0149,-0.0214
21,107600672076663,2459.567,99.892,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6572,14.8942,0.0703,0.0074,-0.0162,-0.0194
22,107600773844597,2561.335,101.768,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6563,14.8906,0.0724,0.0069,-0.0173,-0.0183
23,107600873309811,2660.800,99.465,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6592,14.8919,0.0823,0.0083,-0.0159,-0.0147
24,107600975461418,2762.952,102.152,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6627,14.8915,0.0878,0.0099,-0.0154,-0.0125
25,107601072299732,2859.790,96.838,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6669,14.8910,0.0912,0.0116,-0.0150,-0.0109
