monotonic_ns,elapsed_ms,state,event,detail
107598215245039,2.735,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_FI_AGENT_R2
107598267798485,55.289,PRECHECK,ARMING_STATE,1
107598267854805,55.345,PRECHECK,NAV_STATE,4
107598267867632,55.358,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107598268067286,55.558,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107598268313108,55.804,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107598666947733,454.438,PRECHECK,ROUTE,"start=(0.5906150341033936, 14.940439224243164, 0.09672306478023529, 1.5120199918746948) takeoff=(0.5906150341033936, 14.940439224243164, -0.4032769352197647) goal=(0.8843275278393139, 19.931805066477473, -0.4032769352197647) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107598667055414,454.546,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107598667089442,454.580,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107598667111868,454.602,STREAM_PREROLL,TRANSITION,
107600669070257,2456.561,REQUEST_OFFBOARD,TRANSITION,
107600671596486,2459.087,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107600672023253,2459.514,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107600696073536,2483.564,REQUEST_OFFBOARD,NAV_STATE,14
107600699560277,2487.051,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107600699696087,2487.186,REQUEST_ARM,TRANSITION,
107600703787157,2491.278,REQUEST_ARM,COMMAND_BEGIN,command=400
107600704096368,2491.587,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107600724808460,2512.299,REQUEST_ARM,ARMING_STATE,2
107600724980319,2512.471,TAKEOFF,TRANSITION,
107610985058473,12772.549,HOLD_AFTER_TAKEOFF,TRANSITION,
107612712608667,14500.099,HOLD_AFTER_TAKEOFF,ABORT,FailsafeFlags stale for more than 2 s
107612712694293,14500.185,REQUEST_LAND_ABORT,TRANSITION,FailsafeFlags stale for more than 2 s
107614023037557,15810.528,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
107614023529481,15811.020,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
107614527988127,16315.479,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=2
107615030958224,16818.449,REQUEST_LAND_ABORT,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107615031401047,16818.891,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=3
107615036013355,16823.504,REQUEST_LAND_ABORT,NAV_STATE,2
107615036147194,16823.638,REQUEST_LAND_ABORT,CONTROL_RELINQUISHED,"PX4/RC selected another mode before AUTO_LAND confirmation nav_state=2; no further Offboard, setpoint, Land, Arm, or Disarm publication"
107615036178652,16823.669,FAILED,TRANSITION,PX4/RC selected another mode before AUTO_LAND confirmation nav_state=2
107615036285998,16823.776,FAILED,HEARTBEAT_SUMMARY,publishes=164 max_gap_ms=105.296 over_150ms=0 over_250ms=0 over_500ms=0
