sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107142968046902,430.880,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1811,4.7414,0.1275,0.0065,0.0123,-0.0373
2,107143068302990,531.136,100.256,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1747,4.7472,0.1283,0.0057,0.0146,-0.0377
3,107143170698576,633.532,102.396,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1749,4.7539,0.1226,0.0069,0.0171,-0.0397
4,107143268302765,731.136,97.604,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1775,4.7590,0.1116,0.0084,0.0185,-0.0430
5,107143371629497,834.462,103.327,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1765,4.7643,0.1028,0.0085,0.0196,-0.0453
6,107143469404136,932.237,97.775,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1742,4.7689,0.1033,0.0082,0.0206,-0.0447
7,107143569218348,1032.051,99.814,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1741,4.7692,0.1079,0.0086,0.0203,-0.0431
8,107143671292123,1134.125,102.074,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1743,4.7664,0.1115,0.0089,0.0187,-0.0420
9,107143769950772,1232.784,98.659,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1655,4.7653,0.1127,0.0062,0.0167,-0.0413
10,107143872422989,1335.256,102.472,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1604,4.7647,0.1124,0.0035,0.0150,-0.0414
11,107143968363596,1431.197,95.941,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1545,4.7649,0.1194,0.0009,0.0140,-0.0383
12,107144068348905,1531.182,99.985,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1504,4.7652,0.1273,-0.0010,0.0131,-0.0346
13,107144169967399,1632.800,101.618,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1502,4.7654,0.1310,-0.0015,0.0125,-0.0324
14,107144269304985,1732.138,99.338,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1525,4.7665,0.1328,-0.0015,0.0122,-0.0309
15,107144371448155,1834.281,102.143,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1556,4.7659,0.1294,-0.0015,0.0114,-0.0305
16,107144468088162,1930.921,96.640,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1596,4.7645,0.1330,-0.0012,0.0103,-0.0279
17,107144568257250,2031.090,100.169,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1688,4.7603,0.1399,0.0009,0.0082,-0.0243
18,107144670204429,2133.037,101.947,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1810,4.7546,0.1453,0.0042,0.0059,-0.0215
19,107144769237209,2232.070,99.033,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1881,4.7566,0.1633,0.0063,0.0067,-0.0145
20,107144871284036,2334.117,102.047,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1912,4.7587,0.1748,0.0076,0.0080,-0.0094
21,107144971872613,2434.706,100.589,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1903,4.7607,0.1845,0.0072,0.0089,-0.0050
22,107145645590328,3108.423,673.718,REQUEST_LAND_ABORT,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1888,4.7617,0.1892,0.0065,0.0092,-0.0028
