monotonic_ns,elapsed_ms,state,event,detail
107142539907945,2.741,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_FI_HEARTBEAT
107142543338904,6.172,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107142964050657,426.884,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107142965677753,428.511,PRECHECK,ARMING_STATE,1
107142965776781,428.610,PRECHECK,NAV_STATE,4
107142965824783,428.658,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107142966313023,429.146,PRECHECK,ROUTE,"start=(0.18207617104053497, 4.741128444671631, 0.1270691156387329, 1.5390722751617432) takeoff=(0.18207617104053497, 4.741128444671631, -0.3729308843612671) goal=(0.18207617104053497, 4.741128444671631, -0.3729308843612671) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107142966394898,429.228,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107142966479629,429.313,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107142966534601,429.368,STREAM_PREROLL,TRANSITION,
107144967776931,2430.610,REQUEST_OFFBOARD,TRANSITION,
107144971219939,2434.053,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107144971796572,2434.630,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107144995888107,2458.721,REQUEST_OFFBOARD,NAV_STATE,14
107144998810184,2461.643,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107144999108576,2461.942,REQUEST_ARM,TRANSITION,
107145003411631,2466.245,REQUEST_ARM,COMMAND_BEGIN,command=400
107145003723431,2466.556,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107145019237416,2482.070,REQUEST_ARM,ARMING_STATE,2
107145022991791,2485.825,TAKEOFF,TRANSITION,
107145645488270,3108.321,TAKEOFF,ABORT,local heartbeat gap 673.596 ms exceeded 250 ms
107145645566106,3108.399,REQUEST_LAND_ABORT,TRANSITION,local heartbeat gap 673.596 ms exceeded 250 ms
107145646980918,3109.814,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
107145647206094,3110.039,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
107145675800883,3138.634,REQUEST_LAND_ABORT,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107145676633362,3139.466,REQUEST_LAND_ABORT,NAV_STATE,18
107145676758678,3139.592,REQUEST_LAND_ABORT,LAND_MODE_CONFIRMED,nav_state=18 ack=None
107145676781878,3139.615,REQUEST_LAND_ABORT,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
107145676805495,3139.638,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
107155123948481,12586.781,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
107155124141872,12586.975,WAIT_AUTO_DISARM_FALLBACK,UNEXPECTED_DISARM_REASON,reason=7 expected=6
107155124182241,12587.015,FAILED,TRANSITION,disarm was not PX4 auto-disarm-land
107155124246954,12587.080,FAILED,HEARTBEAT_SUMMARY,publishes=22 max_gap_ms=673.718 over_150ms=1 over_250ms=1 over_500ms=1
