sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107187807760821,491.912,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2362,4.7581,0.0949,0.0106,-0.0163,0.0055
2,107187908807015,592.958,101.046,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2305,4.7488,0.1002,0.0081,-0.0199,0.0077
3,107188011509712,695.661,102.703,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2250,4.7382,0.1051,0.0055,-0.0236,0.0098
4,107188108766131,792.917,97.256,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2211,4.7282,0.1074,0.0033,-0.0268,0.0114
5,107188208403421,892.555,99.637,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2113,4.7223,0.1008,-0.0013,-0.0286,0.0105
6,107188310450867,994.602,102.047,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2083,4.7207,0.0962,-0.0028,-0.0285,0.0098
7,107188410065371,1094.217,99.615,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2034,4.7225,0.0903,-0.0049,-0.0269,0.0083
8,107188512308964,1196.460,102.244,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1974,4.7275,0.0873,-0.0068,-0.0240,0.0075
9,107188608986300,1293.138,96.677,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1922,4.7344,0.0897,-0.0079,-0.0200,0.0082
10,107188708363611,1392.515,99.377,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1917,4.7381,0.1107,-0.0076,-0.0172,0.0148
11,107188810855987,1495.007,102.492,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1897,4.7448,0.1231,-0.0074,-0.0139,0.0187
12,107188907784384,1591.936,96.928,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1859,4.7506,0.1318,-0.0079,-0.0108,0.0212
13,107189012368371,1696.520,104.584,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1813,4.7540,0.1389,-0.0090,-0.0086,0.0228
14,107189109538751,1793.690,97.170,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1788,4.7541,0.1438,-0.0100,-0.0080,0.0238
15,107189209420154,1893.571,99.881,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1822,4.7490,0.1504,-0.0085,-0.0096,0.0245
16,107189311411641,1995.563,101.991,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1864,4.7440,0.1578,-0.0071,-0.0119,0.0253
17,107189408184772,2092.336,96.773,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1917,4.7398,0.1616,-0.0053,-0.0136,0.0256
18,107189508084632,2192.236,99.900,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1989,4.7378,0.1614,-0.0027,-0.0140,0.0252
19,107189609868268,2294.020,101.784,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2064,4.7387,0.1609,-0.0001,-0.0132,0.0248
20,107189708793959,2392.945,98.926,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2158,4.7451,0.1547,0.0032,-0.0115,0.0222
21,107189811280770,2495.432,102.487,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2254,4.7501,0.1581,0.0067,-0.0108,0.0228
22,107189908032715,2592.184,96.752,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2342,4.7523,0.1637,0.0096,-0.0111,0.0242
23,107190007899845,2692.051,99.867,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2408,4.7528,0.1670,0.0113,-0.0120,0.0249
24,107190110507914,2794.659,102.608,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2409,4.7563,0.1673,0.0108,-0.0109,0.0253
25,107190210486342,2894.638,99.978,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2434,4.7556,0.1591,0.0110,-0.0109,0.0225
26,107190311832386,2995.984,101.346,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2428,4.7561,0.1574,0.0105,-0.0103,0.0221
27,107190408180514,3092.332,96.348,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2396,4.7558,0.1575,0.0093,-0.0103,0.0225
28,107190512999544,3197.151,104.819,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2343,4.7530,0.1560,0.0074,-0.0114,0.0224
29,107190609586197,3293.738,96.587,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2322,4.7504,0.1543,0.0063,-0.0125,0.0213
30,107190708482243,3392.634,98.896,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2229,4.7434,0.1592,0.0019,-0.0149,0.0227
31,107190811062349,3495.214,102.580,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2127,4.7417,0.1608,-0.0025,-0.0149,0.0230
32,107190909633724,3593.785,98.571,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2043,4.7437,0.1627,-0.0059,-0.0138,0.0234
33,107191012288718,3696.440,102.655,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2003,4.7454,0.1665,-0.0074,-0.0131,0.0243
34,107191108715551,3792.867,96.427,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1943,4.7434,0.1649,-0.0092,-0.0140,0.0235
35,107191207974650,3892.126,99.259,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1859,4.7484,0.1615,-0.0117,-0.0127,0.0222
36,107191310508590,3994.660,102.534,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1769,4.7540,0.1636,-0.0145,-0.0113,0.0221
37,107191409550898,4093.702,99.042,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1703,4.7584,0.1688,-0.0163,-0.0101,0.0230
38,107191508286823,4192.438,98.736,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1694,4.7607,0.1755,-0.0155,-0.0093,0.0248
39,107191610569408,4294.721,102.283,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1660,4.7643,0.1860,-0.0157,-0.0080,0.0282
40,107191709829635,4393.981,99.260,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1679,4.7708,0.1939,-0.0138,-0.0057,0.0303
41,107191812440862,4496.592,102.611,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1711,4.7754,0.1978,-0.0121,-0.0047,0.0305
42,107191912402249,4596.554,99.961,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1735,4.7792,0.1993,-0.0109,-0.0041,0.0292
43,107192008724175,4692.876,96.322,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1738,4.7832,0.1997,-0.0102,-0.0031,0.0278
44,107192111787076,4795.938,103.063,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1795,4.7871,0.1880,-0.0073,-0.0020,0.0222
45,107192207765415,4891.917,95.978,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1869,4.7902,0.1807,-0.0039,-0.0008,0.0187
46,107192312857230,4997.009,105.092,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1914,4.7952,0.1808,-0.0018,0.0013,0.0180
47,107192409840363,5093.992,96.983,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1919,4.8001,0.1850,-0.0012,0.0035,0.0192
48,107192509136941,5193.288,99.297,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1904,4.7993,0.1831,-0.0010,0.0033,0.0195
49,107192611266305,5295.418,102.129,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1930,4.7948,0.1823,0.0003,0.0024,0.0195
50,107192708279229,5392.431,97.013,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1977,4.7888,0.1894,0.0024,0.0011,0.0214
51,107192812226658,5496.378,103.947,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2044,4.7809,0.1977,0.0050,-0.0006,0.0230
52,107192908450782,5592.602,96.224,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2101,4.7724,0.2000,0.0072,-0.0028,0.0224
53,107193009421701,5693.573,100.971,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2107,4.7622,0.1904,0.0074,-0.0059,0.0181
54,107193111337915,5795.489,101.916,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2066,4.7568,0.1844,0.0057,-0.0079,0.0150
55,107193209249859,5893.401,97.912,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2012,4.7544,0.1812,0.0039,-0.0084,0.0129
56,107193308379944,5992.531,99.130,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1939,4.7534,0.1823,0.0015,-0.0082,0.0123
57,107193409617194,6093.769,101.237,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1860,4.7532,0.1867,-0.0012,-0.0079,0.0130
58,107193509398591,6193.550,99.781,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1752,4.7584,0.1873,-0.0050,-0.0046,0.0130
59,107193611938427,6296.090,102.540,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1636,4.7665,0.1879,-0.0092,-0.0002,0.0139
60,107193708461429,6392.613,96.523,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1532,4.7755,0.1879,-0.0126,0.0047,0.0137
61,107193807791682,6491.943,99.330,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1469,4.7851,0.1886,-0.0138,0.0093,0.0132
62,107193910439047,6594.590,102.647,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1487,4.7929,0.1896,-0.0116,0.0124,0.0133
63,107194009165080,6693.316,98.726,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1564,4.8023,0.1787,-0.0071,0.0165,0.0098
64,107194111102792,6795.254,101.938,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1603,4.8059,0.1681,-0.0041,0.0173,0.0067
65,107194208668792,6892.820,97.566,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1648,4.8067,0.1635,-0.0015,0.0169,0.0058
66,107194307864563,6992.016,99.196,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1702,4.8051,0.1659,0.0006,0.0155,0.0066
67,107194410217091,7094.368,102.353,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1747,4.8015,0.1738,0.0019,0.0135,0.0084
68,107194508567026,7192.718,98.350,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1690,4.7941,0.1819,-0.0019,0.0087,0.0099
69,107194610443517,7294.595,101.876,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1623,4.7884,0.1832,-0.0042,0.0021,0.0070
70,107194710244697,7394.396,99.801,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1590,4.7840,0.1826,-0.0002,-0.0051,-0.0000
71,107194813201116,7497.352,102.956,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1598,4.7813,0.1826,0.0075,-0.0117,-0.0074
72,107194909627836,7593.779,96.427,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1634,4.7797,0.1857,0.0183,-0.0179,-0.0138
73,107195008661637,7692.813,99.034,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1649,4.7772,0.1903,0.0401,-0.0325,-0.0125
74,107195110651198,7794.803,101.990,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1770,4.7763,0.1891,0.0769,-0.0513,-0.0205
75,107195207801966,7891.953,97.151,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1908,4.7751,0.1840,0.1112,-0.0666,-0.0383
76,107195312263765,7996.415,104.462,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2080,4.7716,0.1750,0.1355,-0.0780,-0.0602
77,107195409107419,8093.259,96.844,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2316,4.7643,0.1646,0.1472,-0.0851,-0.0791
78,107195508311480,8192.463,99.204,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2575,4.7534,0.1574,0.1493,-0.0891,-0.0962
79,107195610245927,8294.397,101.934,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2753,4.7444,0.1477,0.1423,-0.0876,-0.1125
80,107195709717225,8393.869,99.471,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2916,4.7340,0.1313,0.1285,-0.0827,-0.1288
81,107195811933486,8496.085,102.216,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3048,4.7243,0.1115,0.1127,-0.0766,-0.1394
82,107195907720373,8591.872,95.787,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3151,4.7161,0.0895,0.0947,-0.0688,-0.1443
83,107196008078810,8692.230,100.358,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3258,4.7084,0.0658,0.0757,-0.0580,-0.1432
84,107196110464555,8794.616,102.386,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3302,4.7046,0.0429,0.0574,-0.0462,-0.1398
85,107196209415475,8893.567,98.951,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3329,4.7002,0.0251,0.0380,-0.0342,-0.1323
86,107196311892634,8996.044,102.477,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3358,4.6938,0.0156,0.0222,-0.0251,-0.1272
87,107196409012268,9093.164,97.120,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3400,4.6831,0.0077,0.0090,-0.0179,-0.1265
88,107196513032231,9197.184,104.020,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3419,4.6743,-0.0044,-0.0053,-0.0092,-0.1301
89,107196608980823,9293.132,95.949,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3435,4.6691,-0.0231,-0.0170,-0.0000,-0.1346
90,107196709444694,9393.596,100.464,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3452,4.6657,-0.0473,-0.0281,0.0108,-0.1347
91,107196811135674,9495.287,101.691,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3460,4.6640,-0.0700,-0.0372,0.0209,-0.1291
92,107196908141208,9592.293,97.006,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3440,4.6619,-0.0895,-0.0469,0.0300,-0.1204
93,107197008371910,9692.523,100.231,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3394,4.6611,-0.1125,-0.0575,0.0394,-0.1113
94,107197110169489,9794.321,101.798,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3346,4.6655,-0.1268,-0.0655,0.0488,-0.0996
95,107197209864928,9894.016,99.695,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3289,4.6727,-0.1336,-0.0720,0.0582,-0.0881
96,107197312278459,9996.430,102.414,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3230,4.6798,-0.1342,-0.0763,0.0646,-0.0833
97,107197408712889,10092.864,96.434,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3176,4.6951,-0.1304,-0.0789,0.0712,-0.0834
98,107197508796031,10192.947,100.083,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3050,4.7042,-0.1419,-0.0827,0.0727,-0.0927
99,107197611014010,10295.165,102.218,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2943,4.7114,-0.1573,-0.0844,0.0707,-0.0974
100,107197710247508,10394.399,99.233,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2830,4.7192,-0.1714,-0.0837,0.0676,-0.0949
101,107197812726588,10496.878,102.479,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2708,4.7262,-0.1792,-0.0817,0.0647,-0.0899
102,107197909664893,10593.816,96.938,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2526,4.7363,-0.1883,-0.0813,0.0619,-0.0872
103,107198009429657,10693.581,99.765,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2372,4.7480,-0.1938,-0.0779,0.0591,-0.0835
104,107198110999128,10795.150,101.569,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2197,4.7554,-0.1992,-0.0735,0.0545,-0.0828
105,107198207911721,10892.063,96.913,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2002,4.7585,-0.2032,-0.0677,0.0474,-0.0823
106,107198308337457,10992.489,100.426,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1828,4.7580,-0.2021,-0.0576,0.0383,-0.0819
107,107198410086272,11094.238,101.749,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1700,4.7550,-0.2060,-0.0452,0.0302,-0.0851
108,107198509147611,11193.299,99.061,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1587,4.7523,-0.2117,-0.0322,0.0244,-0.0871
109,107198611613453,11295.765,102.466,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1499,4.7514,-0.2186,-0.0175,0.0207,-0.0880
110,107198708452371,11392.604,96.839,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1447,4.7529,-0.2262,-0.0038,0.0191,-0.0886
111,107198812378361,11496.530,103.926,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1388,4.7580,-0.2388,0.0084,0.0196,-0.0879
112,107198910078765,11594.230,97.700,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1351,4.7555,-0.2494,0.0190,0.0164,-0.0841
113,107199009836519,11693.988,99.758,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1311,4.7530,-0.2514,0.0289,0.0130,-0.0758
114,107199112423533,11796.575,102.587,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1287,4.7509,-0.2498,0.0374,0.0107,-0.0728
115,107199209770237,11893.922,97.347,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1278,4.7480,-0.2488,0.0457,0.0087,-0.0744
116,107199308705697,11992.857,98.935,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1281,4.7419,-0.2517,0.0539,0.0067,-0.0782
117,107199411251770,12095.403,102.546,HOLD_AFTER_TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1281,4.7391,-0.2579,0.0599,0.0070,-0.0808
118,107200047612321,12731.764,636.361,REQUEST_LAND_ABORT,1,1,1,2,14,1,0,0,0,0,2,6,1,0.1286,4.7385,-0.2602,0.0618,0.0074,-0.0812
