monotonic_ns,elapsed_ms,state,event,detail
107187318616666,2.768,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_FI_HEARTBEAT_R1
107187321086306,5.238,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107187803937449,488.089,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107187805518475,489.670,PRECHECK,ARMING_STATE,1
107187805601752,489.753,PRECHECK,NAV_STATE,4
107187805648635,489.800,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107187806120115,490.271,PRECHECK,ROUTE,"start=(0.23636427521705627, 4.758480548858643, 0.09468228369951248, 1.5406711101531982) takeoff=(0.23636427521705627, 4.758480548858643, -0.4053177163004875) goal=(0.23636427521705627, 4.758480548858643, -0.4053177163004875) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107187806196912,490.348,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107187806269884,490.421,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107187806320866,490.472,STREAM_PREROLL,TRANSITION,
107189811199509,2495.351,REQUEST_OFFBOARD,TRANSITION,
107189814064512,2498.216,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107189814392067,2498.543,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107189849632779,2533.784,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107189850294197,2534.446,REQUEST_OFFBOARD,NAV_STATE,14
107189850397116,2534.548,REQUEST_ARM,TRANSITION,
107189853890116,2538.041,REQUEST_ARM,COMMAND_BEGIN,command=400
107189854160275,2538.312,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107189870437090,2554.588,REQUEST_ARM,ARMING_STATE,2
107189874295924,2558.447,TAKEOFF,TRANSITION,
107199397593145,12081.744,HOLD_AFTER_TAKEOFF,TRANSITION,
107200047540085,12731.691,HOLD_AFTER_TAKEOFF,ABORT,local heartbeat gap 636.263 ms exceeded 250 ms
107200047597205,12731.749,REQUEST_LAND_ABORT,TRANSITION,local heartbeat gap 636.263 ms exceeded 250 ms
107200048523222,12732.675,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
107200048655714,12732.807,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
107200083739266,12767.891,REQUEST_LAND_ABORT,NAV_STATE,18
107200083845032,12767.996,REQUEST_LAND_ABORT,LAND_MODE_CONFIRMED,nav_state=18 ack=None
107200083863637,12768.015,REQUEST_LAND_ABORT,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
107200083880230,12768.032,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
107200087423934,12771.575,WAIT_AUTO_DISARM_FALLBACK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107205185263958,17869.415,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
107205185411571,17869.563,FAILED,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
107205185501033,17869.652,FAILED,HEARTBEAT_SUMMARY,publishes=118 max_gap_ms=636.361 over_150ms=1 over_250ms=1 over_500ms=1
