sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107238428466351,389.099,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1456,4.7657,0.1224,-0.0226,0.0025,-0.0205
2,107238529829809,490.462,101.363,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1462,4.7676,0.1165,-0.0219,0.0035,-0.0211
3,107238629886347,590.519,100.057,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1490,4.7677,0.1135,-0.0206,0.0039,-0.0206
4,107238731983078,692.616,102.097,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1536,4.7656,0.1157,-0.0186,0.0033,-0.0186
5,107238828638589,789.271,96.656,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1524,4.7652,0.1075,-0.0189,0.0040,-0.0201
6,107238933409509,894.042,104.771,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1474,4.7627,0.1023,-0.0205,0.0034,-0.0208
7,107239030178063,990.811,96.769,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1490,4.7619,0.1025,-0.0198,0.0033,-0.0194
8,107239129859140,1090.492,99.681,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1589,4.7616,0.1056,-0.0162,0.0031,-0.0171
9,107239231634838,1192.268,101.776,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1739,4.7589,0.1069,-0.0108,0.0017,-0.0159
10,107239328657426,1289.290,97.023,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.1936,4.7503,0.1073,-0.0045,-0.0023,-0.0148
11,107239433460145,1394.093,104.803,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2123,4.7460,0.1140,0.0018,-0.0047,-0.0121
12,107239530247265,1490.880,96.787,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2264,4.7436,0.1241,0.0062,-0.0060,-0.0083
13,107239629737376,1590.370,99.490,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2369,4.7404,0.1317,0.0092,-0.0070,-0.0047
14,107239731651166,1692.284,101.914,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2410,4.7360,0.1281,0.0102,-0.0080,-0.0043
15,107239831153970,1791.787,99.503,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2384,4.7358,0.1212,0.0088,-0.0070,-0.0053
16,107239933508570,1894.141,102.355,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2335,4.7349,0.1167,0.0069,-0.0067,-0.0053
17,107240030597443,1991.230,97.089,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2272,4.7354,0.1105,0.0048,-0.0062,-0.0058
18,107240130283672,2090.916,99.686,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2205,4.7374,0.1011,0.0029,-0.0054,-0.0074
19,107240232645732,2193.278,102.362,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2193,4.7371,0.0918,0.0029,-0.0060,-0.0094
20,107240329781473,2290.414,97.136,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2270,4.7371,0.0878,0.0056,-0.0066,-0.0096
21,107240430091784,2390.724,100.310,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,0.2352,4.7335,0.0815,0.0082,-0.0083,-0.0110
22,107240531657332,2492.290,101.566,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2391,4.7282,0.0714,0.0092,-0.0101,-0.0137
23,107240630983688,2591.616,99.326,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2384,4.7229,0.0599,0.0087,-0.0116,-0.0168
24,107240733172181,2693.805,102.188,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2346,4.7204,0.0590,0.0074,-0.0119,-0.0166
25,107240829600241,2790.233,96.428,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2358,4.7175,0.0587,0.0083,-0.0122,-0.0161
26,107240929334931,2889.968,99.735,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2389,4.7179,0.0656,0.0095,-0.0112,-0.0137
27,107241031957475,2992.590,102.623,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2393,4.7191,0.0753,0.0096,-0.0101,-0.0104
28,107241128566253,3089.199,96.609,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2357,4.7193,0.0854,0.0079,-0.0096,-0.0070
29,107241233297404,3193.930,104.731,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2338,4.7229,0.0884,0.0064,-0.0075,-0.0061
