monotonic_ns,elapsed_ms,state,event,detail
107238042142905,2.776,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_FI_MODE
107238049333169,9.966,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107238420498808,381.131,PRECHECK,ARMING_STATE,1
107238420590386,381.223,PRECHECK,NAV_STATE,4
107238420609397,381.242,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107238424255921,384.889,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107238424538627,385.171,PRECHECK,ROUTE,"start=(0.145705908536911, 4.765475273132324, 0.12293237447738647, 1.5388095378875732) takeoff=(0.145705908536911, 4.765475273132324, -0.3770676255226135) goal=(0.3056125816084815, 9.762917604556188, -0.3770676255226135) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107238424571542,385.204,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107238424599708,385.232,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107238424624210,385.257,STREAM_PREROLL,TRANSITION,
107240426926011,2387.559,REQUEST_OFFBOARD,TRANSITION,
107240429500532,2390.133,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107240429997968,2390.631,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107240454683043,2415.316,REQUEST_OFFBOARD,NAV_STATE,14
107240457544173,2418.177,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107240457712171,2418.345,REQUEST_ARM,TRANSITION,
107240461649295,2422.282,REQUEST_ARM,COMMAND_BEGIN,command=400
107240461895213,2422.528,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107240482537691,2443.170,REQUEST_ARM,ARMING_STATE,2
107240482682826,2443.315,TAKEOFF,TRANSITION,
107249961512877,11922.146,HOLD_AFTER_TAKEOFF,TRANSITION,
107251961654679,13922.287,HOLD_AFTER_TAKEOFF,ROUTE_REFRESH,"origin=(0.10164706408977509,4.807143688201904,-0.2638280391693115) heading=1.538994550704956 goal=(0.2606291435443933, 9.804615518879121, -0.3770676255226135)"
107251961733737,13922.366,MOVE_FORWARD,TRANSITION,
107258188911109,20149.544,REQUEST_LAND,TRANSITION,
107258194370856,20155.004,REQUEST_LAND,COMMAND_BEGIN,command=21
107258194675193,20155.308,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
107258224494866,20185.128,REQUEST_LAND,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107258224987837,20185.621,REQUEST_LAND,NAV_STATE,18
107258225074713,20185.707,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
107258225094124,20185.727,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
107258225114997,20185.748,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
107259063410998,21024.044,WAIT_AUTO_DISARM_FALLBACK,NAV_STATE,4
107280463370254,42424.003,WAIT_AUTO_DISARM_FALLBACK,NAV_STATE,18
107285049426576,47010.059,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
107285049588243,47010.221,COMPLETE,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
107285049732078,47010.365,COMPLETE,HEARTBEAT_SUMMARY,publishes=198 max_gap_ms=105.010 over_150ms=0 over_250ms=0 over_500ms=0
