sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107344268883264,354.620,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3487,9.7936,0.1389,0.0049,-0.0113,-0.0101
2,107344370543063,456.279,101.660,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3551,9.7924,0.1334,0.0075,-0.0114,-0.0112
3,107344470596001,556.332,100.053,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3580,9.7916,0.1272,0.0087,-0.0116,-0.0121
4,107344572199891,657.936,101.604,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3595,9.7926,0.1228,0.0091,-0.0111,-0.0122
5,107344671147452,756.884,98.948,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3595,9.7938,0.1202,0.0085,-0.0105,-0.0120
6,107344773178780,858.915,102.031,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3601,9.7999,0.1270,0.0084,-0.0081,-0.0088
7,107344870608265,956.345,97.429,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3607,9.8044,0.1278,0.0085,-0.0064,-0.0078
8,107344969571294,1055.308,98.963,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3609,9.8058,0.1241,0.0082,-0.0059,-0.0081
9,107345071766502,1157.503,102.195,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3601,9.8032,0.1194,0.0075,-0.0068,-0.0088
10,107345168877138,1254.613,97.111,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3616,9.7993,0.1146,0.0082,-0.0087,-0.0099
11,107345273660085,1359.396,104.783,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3626,9.7977,0.1184,0.0086,-0.0095,-0.0080
12,107345372476716,1458.213,98.817,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3646,9.7991,0.1221,0.0096,-0.0086,-0.0063
13,107345469552324,1555.289,97.076,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3642,9.8016,0.1263,0.0098,-0.0072,-0.0045
14,107345572039062,1657.775,102.487,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3596,9.8040,0.1331,0.0086,-0.0058,-0.0021
15,107345669189393,1754.926,97.150,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3550,9.8078,0.1354,0.0068,-0.0031,-0.0017
16,107345769052426,1854.789,99.863,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3484,9.8148,0.1453,0.0053,-0.0002,0.0011
17,107345870983252,1956.720,101.931,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3467,9.8213,0.1475,0.0052,0.0023,0.0017
18,107345970614429,2056.351,99.631,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3464,9.8259,0.1444,0.0052,0.0040,0.0004
19,107346072499151,2158.235,101.885,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3405,9.8256,0.1444,0.0031,0.0038,-0.0005
20,107346169077260,2254.814,96.578,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3361,9.8243,0.1377,0.0014,0.0036,-0.0031
21,107346273907909,2359.644,104.831,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,0.3325,9.8230,0.1306,-0.0001,0.0031,-0.0063
22,107346371126441,2456.863,97.219,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3310,9.8224,0.1262,-0.0006,0.0028,-0.0086
23,107346470866241,2556.603,99.740,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3287,9.8212,0.1223,-0.0012,0.0024,-0.0105
24,107346573377882,2659.114,102.512,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3216,9.8181,0.1169,-0.0035,0.0012,-0.0123
25,107346670195485,2755.932,96.818,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3257,9.8182,0.1182,-0.0015,0.0016,-0.0115
26,107346769359012,2855.095,99.164,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3308,9.8225,0.1217,0.0009,0.0042,-0.0096
27,107346872152128,2957.888,102.793,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3404,9.8263,0.1236,0.0043,0.0064,-0.0085
28,107346970717187,3056.454,98.565,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3555,9.8294,0.1251,0.0090,0.0078,-0.0078
29,107347073239177,3158.975,102.522,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3654,9.8340,0.1326,0.0119,0.0098,-0.0047
30,107347169408370,3255.145,96.169,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3763,9.8374,0.1494,0.0141,0.0108,0.0004
31,107347273652719,3359.389,104.244,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3836,9.8400,0.1618,0.0148,0.0115,0.0043
32,107347371100187,3456.837,97.447,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3876,9.8397,0.1676,0.0148,0.0110,0.0063
33,107347470866850,3556.603,99.767,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3916,9.8363,0.1703,0.0149,0.0089,0.0074
34,107347573853620,3659.590,102.987,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3969,9.8326,0.1733,0.0149,0.0064,0.0085
35,107347669291749,3755.028,95.438,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4069,9.8250,0.1759,0.0170,0.0023,0.0087
36,107347769237297,3854.974,99.946,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4201,9.8201,0.1777,0.0203,-0.0005,0.0083
37,107347871164345,3956.901,101.927,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4305,9.8175,0.1785,0.0228,-0.0019,0.0079
38,107347969632742,4055.369,98.468,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4375,9.8149,0.1791,0.0240,-0.0029,0.0076
39,107348072666502,4158.403,103.034,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4410,9.8119,0.1794,0.0242,-0.0043,0.0074
40,107348168848985,4254.585,96.182,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4413,9.8106,0.1695,0.0231,-0.0050,0.0032
41,107348269237952,4354.974,100.389,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4389,9.8090,0.1591,0.0207,-0.0052,-0.0011
42,107348370739466,4456.476,101.502,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4313,9.8076,0.1529,0.0163,-0.0050,-0.0034
43,107348470614405,4556.351,99.875,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4172,9.8069,0.1513,0.0095,-0.0048,-0.0034
44,107348573099446,4658.836,102.485,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4081,9.8067,0.1582,0.0055,-0.0050,-0.0002
45,107348670454323,4756.191,97.355,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4019,9.8075,0.1597,0.0032,-0.0052,0.0003
46,107348770028402,4855.765,99.574,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3970,9.8126,0.1484,0.0016,-0.0038,-0.0028
47,107348872486282,4958.223,102.458,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3936,9.8206,0.1329,0.0006,-0.0012,-0.0070
48,107348971124457,5056.861,98.638,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3914,9.8317,0.1201,0.0003,0.0025,-0.0100
49,107349073665336,5159.402,102.541,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3979,9.8360,0.1273,0.0031,0.0041,-0.0076
50,107349170715030,5256.451,97.050,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4020,9.8370,0.1331,0.0047,0.0051,-0.0050
51,107349268863960,5354.600,98.149,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.4011,9.8384,0.1424,0.0045,0.0062,-0.0013
52,107349373820493,5459.557,104.957,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3938,9.8420,0.1557,0.0021,0.0078,0.0033
53,107349469244388,5554.981,95.424,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3835,9.8463,0.1639,-0.0011,0.0093,0.0057
54,107349569492786,5655.229,100.248,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3744,9.8441,0.1619,-0.0042,0.0080,0.0053
55,107349671110348,5756.847,101.618,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3678,9.8433,0.1628,-0.0065,0.0075,0.0054
56,107349768882062,5854.618,97.772,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3628,9.8404,0.1667,-0.0081,0.0063,0.0063
57,107349868928837,5954.665,100.047,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3573,9.8346,0.1721,-0.0098,0.0045,0.0076
58,107349970303699,6056.040,101.375,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3456,9.8315,0.1723,-0.0140,0.0041,0.0069
59,107350070067671,6155.804,99.764,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3445,9.8319,0.1668,-0.0142,0.0053,0.0045
60,107350171549887,6257.286,101.482,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3444,9.8332,0.1624,-0.0140,0.0063,0.0029
61,107350271336160,6357.072,99.786,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3439,9.8342,0.1640,-0.0141,0.0070,0.0035
62,107350374339827,6460.076,103.004,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3436,9.8338,0.1700,-0.0140,0.0069,0.0054
63,107350470993683,6556.730,96.654,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3444,9.8302,0.1677,-0.0132,0.0053,0.0045
64,107350569780637,6655.517,98.787,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3464,9.8269,0.1644,-0.0117,0.0038,0.0027
65,107350671753375,6757.490,101.973,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3529,9.8246,0.1576,-0.0088,0.0028,0.0002
66,107350771046054,6856.782,99.293,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3613,9.8215,0.1459,-0.0052,0.0012,-0.0037
67,107350873426578,6959.163,102.381,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3670,9.8173,0.1341,-0.0029,-0.0011,-0.0074
68,107350970157428,7055.894,96.731,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3705,9.8131,0.1310,-0.0016,-0.0034,-0.0085
69,107351068888933,7154.625,98.732,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3720,9.8122,0.1335,-0.0014,-0.0042,-0.0078
70,107351171366272,7257.103,102.477,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3712,9.8125,0.1371,-0.0023,-0.0041,-0.0066
71,107351270636929,7356.373,99.271,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3685,9.8137,0.1403,-0.0042,-0.0036,-0.0058
72,107351372509882,7458.246,101.873,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3650,9.8158,0.1417,-0.0064,-0.0027,-0.0062
73,107351469677759,7555.414,97.168,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3626,9.8176,0.1378,-0.0076,-0.0021,-0.0074
74,107351570265921,7656.002,100.588,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3610,9.8185,0.1379,-0.0083,-0.0028,-0.0071
75,107351672512511,7758.249,102.247,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3598,9.8171,0.1389,-0.0089,-0.0076,-0.0087
76,107351770112020,7855.848,97.600,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3589,9.8129,0.1435,-0.0093,-0.0145,-0.0097
77,107351868802752,7954.539,98.691,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3586,9.8053,0.1573,-0.0095,-0.0241,-0.0077
78,107351971557381,8057.294,102.755,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3641,9.8008,0.1650,-0.0075,-0.0321,-0.0073
79,107352070987512,8156.724,99.430,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3689,9.7960,0.1679,-0.0066,-0.0443,-0.0068
80,107352173390128,8259.126,102.403,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3689,9.7891,0.1730,-0.0137,-0.0697,-0.0028
81,107352270652200,8356.389,97.262,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3667,9.7791,0.1791,-0.0268,-0.0929,-0.0129
82,107352369596933,8455.333,98.945,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3706,9.7658,0.1780,-0.0414,-0.1070,-0.0362
83,107352472271720,8558.008,102.675,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3698,9.7541,0.1669,-0.0534,-0.1105,-0.0597
84,107352569392811,8655.129,97.121,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3657,9.7388,0.1568,-0.0618,-0.1096,-0.0770
85,107352669153065,8754.889,99.760,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3595,9.7221,0.1503,-0.0664,-0.1041,-0.0903
86,107352771282810,8857.019,102.130,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3529,9.7093,0.1486,-0.0671,-0.0941,-0.1026
87,107352870757455,8956.494,99.475,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3444,9.7007,0.1445,-0.0656,-0.0784,-0.1194
88,107352973232067,9058.968,102.475,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3302,9.6905,0.1390,-0.0641,-0.0645,-0.1356
89,107353070373480,9156.110,97.141,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3186,9.6842,0.1252,-0.0593,-0.0489,-0.1517
90,107353169827917,9255.564,99.454,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3128,9.6797,0.1096,-0.0493,-0.0314,-0.1615
91,107353271593652,9357.330,101.766,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3133,9.6764,0.0998,-0.0372,-0.0162,-0.1650
92,107353371439947,9457.176,99.846,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3142,9.6809,0.0893,-0.0248,0.0019,-0.1678
93,107353473440254,9559.177,102.000,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3195,9.6833,0.0810,-0.0128,0.0153,-0.1714
94,107353569803567,9655.540,96.363,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3204,9.6855,0.0714,-0.0050,0.0259,-0.1755
95,107353669952928,9755.689,100.149,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3141,9.6871,0.0567,-0.0018,0.0349,-0.1807
96,107353771967214,9857.704,102.014,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.3009,9.6878,0.0379,-0.0021,0.0418,-0.1824
97,107353870763684,9956.500,98.796,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2854,9.6894,0.0212,-0.0012,0.0492,-0.1779
98,107353973594470,10059.331,102.831,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.2783,9.6942,0.0030,0.0048,0.0570,-0.1745
