monotonic_ns,elapsed_ms,state,event,detail
107343916982047,2.718,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_FI_MODE_R1
107343921390989,7.127,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107344264165266,349.902,PRECHECK,ARMING_STATE,1
107344264253880,349.990,PRECHECK,NAV_STATE,4
107344264274599,350.011,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107344264489815,350.226,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107344264718361,350.455,PRECHECK,ROUTE,"start=(0.347653865814209, 9.793488502502441, 0.13905936479568481, 1.5019989013671875) takeoff=(0.347653865814209, 9.793488502502441, -0.3609406352043152) goal=(0.6913697037344556, 14.781660454506781, -0.3609406352043152) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107344264753750,350.490,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107344264782345,350.519,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107344264807372,350.544,STREAM_PREROLL,TRANSITION,
107346265357429,2351.094,REQUEST_OFFBOARD,TRANSITION,
107346268392247,2354.129,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107346268621979,2354.358,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107346300723906,2386.460,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107346301295769,2387.032,REQUEST_OFFBOARD,NAV_STATE,14
107346301382459,2387.119,REQUEST_ARM,TRANSITION,
107346301615178,2387.351,REQUEST_ARM,COMMAND_BEGIN,command=400
107346301828685,2387.565,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107346313347224,2399.084,REQUEST_ARM,ARMING_STATE,2
107346313440085,2399.176,TAKEOFF,TRANSITION,
107355916863768,12002.600,HOLD_AFTER_TAKEOFF,TRANSITION,
107355947346951,12033.083,HOLD_AFTER_TAKEOFF,NAV_STATE,2
107355947407216,12033.144,HOLD_AFTER_TAKEOFF,CONTROL_RELINQUISHED,"PX4 left Offboard nav_state=2; no further Offboard, setpoint, Land, Arm, or Disarm publication"
107355947421991,12033.158,FAILED,TRANSITION,PX4 left Offboard nav_state=2
107355947457757,12033.194,FAILED,HEARTBEAT_SUMMARY,publishes=117 max_gap_ms=105.118 over_150ms=0 over_250ms=0 over_500ms=0
