sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,106969609403791,419.800,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1640,-0.3507,0.2768,-0.0092,-0.0050,0.0211
2,106969712228750,522.625,102.825,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1642,-0.3490,0.2809,-0.0090,-0.0048,0.0215
3,106969810457756,620.854,98.229,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1624,-0.3432,0.2859,-0.0082,-0.0029,0.0221
4,106969913472125,723.868,103.014,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1613,-0.3372,0.2910,-0.0077,-0.0007,0.0228
5,106970012009519,822.405,98.537,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1628,-0.3339,0.2948,-0.0079,0.0004,0.0225
6,106970114792582,925.189,102.783,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1626,-0.3305,0.2895,-0.0080,0.0017,0.0195
7,106970211172614,1021.569,96.380,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1661,-0.3336,0.2853,-0.0095,0.0004,0.0171
8,106970311030146,1121.426,99.858,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1685,-0.3387,0.2809,-0.0104,-0.0019,0.0149
9,106970413631319,1224.027,102.601,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1686,-0.3442,0.2777,-0.0107,-0.0046,0.0136
10,106970510102620,1320.499,96.471,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1677,-0.3519,0.2764,-0.0109,-0.0080,0.0135
11,106970609933365,1420.329,99.831,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1662,-0.3503,0.2755,-0.0113,-0.0069,0.0132
12,106970710715105,1521.111,100.782,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1634,-0.3471,0.2761,-0.0111,-0.0045,0.0131
13,106970809602549,1619.999,98.887,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1598,-0.3443,0.2762,-0.0104,-0.0021,0.0130
14,106970909639580,1720.036,100.037,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1569,-0.3434,0.2750,-0.0098,-0.0007,0.0128
15,106971011703046,1822.099,102.063,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1588,-0.3448,0.2738,-0.0108,-0.0016,0.0126
16,106971111391856,1921.788,99.689,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1578,-0.3463,0.2656,-0.0107,-0.0028,0.0097
17,106971213765890,2024.162,102.374,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1560,-0.3462,0.2609,-0.0105,-0.0033,0.0074
18,106971311546463,2121.942,97.781,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1501,-0.3461,0.2582,-0.0090,-0.0033,0.0058
19,106971409809816,2220.206,98.263,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1397,-0.3460,0.2571,-0.0060,-0.0027,0.0050
20,106971512487758,2322.884,102.678,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1301,-0.3434,0.2598,-0.0030,-0.0006,0.0049
21,106971612150353,2422.546,99.663,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.1266,-0.3442,0.2571,-0.0017,-0.0010,0.0032
22,106971713916736,2524.313,101.766,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.1237,-0.3446,0.2595,-0.0009,-0.0014,0.0029
23,106971810851418,2621.247,96.935,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.1236,-0.3442,0.2585,-0.0014,-0.0012,0.0017
24,106971909963208,2720.359,99.112,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.1292,-0.3434,0.2523,-0.0040,-0.0005,-0.0006
25,106972011262142,2821.658,101.299,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.1379,-0.3452,0.2628,-0.0077,-0.0008,0.0025
