monotonic_ns,elapsed_ms,state,event,detail
107017748389588,2.712,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260825_DESKTOP_SITL_SIM_F2
107017749565790,3.888,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
107017773625238,27.947,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107017773853800,28.176,PRECHECK,ARMING_STATE,1
107017773861017,28.183,PRECHECK,NAV_STATE,4
107017773864773,28.187,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
107018288167765,542.490,PRECHECK,ROUTE,"start=(-0.045947588980197906, -0.276027113199234, 0.10585754364728928, 1.533229112625122) takeoff=(-0.045947588980197906, -0.276027113199234, -0.8941424563527107) goal=(0.14184430295015849, 4.720445062779055, -0.8941424563527107) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
107018288252375,542.575,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
107018288286734,542.609,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
107018288312644,542.635,STREAM_PREROLL,TRANSITION,
107020288585105,2542.907,REQUEST_OFFBOARD,TRANSITION,
107020291539833,2545.862,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
107020291853597,2546.176,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
107020315671614,2569.994,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
107020317467816,2571.790,REQUEST_OFFBOARD,NAV_STATE,14
107020317700403,2572.023,REQUEST_ARM,TRANSITION,
107020323366455,2577.689,REQUEST_ARM,COMMAND_BEGIN,command=400
107020323807421,2578.130,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
107020343911821,2598.234,REQUEST_ARM,ARMING_STATE,2
107020344640984,2598.963,TAKEOFF,TRANSITION,
107029856528042,12110.850,HOLD_AFTER_TAKEOFF,TRANSITION,
107031860560787,14114.883,HOLD_AFTER_TAKEOFF,ROUTE_REFRESH,"origin=(-0.05904848501086235,-0.22496701776981354,-0.8759328722953796) heading=1.5339869260787964 goal=(0.12495695952336061, 4.7716460347270235, -0.8941424563527107)"
107031860684035,14115.006,MOVE_FORWARD,TRANSITION,
107038297099794,20551.422,REQUEST_LAND,TRANSITION,
107038300172191,20554.494,REQUEST_LAND,COMMAND_BEGIN,command=21
107038300414101,20554.736,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
107038323972142,20578.294,REQUEST_LAND,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
107038324663564,20578.986,REQUEST_LAND,NAV_STATE,18
107038324770681,20579.093,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
107038324792327,20579.114,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
107038324815467,20579.138,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
107043327602351,25581.924,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
107043327774348,25582.096,COMPLETE,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
107043327887535,25582.210,COMPLETE,HEARTBEAT_SUMMARY,publishes=201 max_gap_ms=105.141 over_150ms=0 over_250ms=0 over_500ms=0
