sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,106787813301201,409.131,,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0489,-0.2842,0.0241,0.0186,0.0011,-0.0255
2,106787914829023,510.659,101.528,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0495,-0.2905,0.0045,0.0180,-0.0009,-0.0308
3,106788014035744,609.865,99.207,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0509,-0.2956,-0.0147,0.0169,-0.0025,-0.0352
4,106788115668774,711.498,101.633,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0517,-0.2992,-0.0295,0.0158,-0.0036,-0.0381
5,106788213456684,809.286,97.788,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0537,-0.3022,-0.0441,0.0138,-0.0044,-0.0408
6,106788317638908,913.469,104.182,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0469,-0.3036,-0.0596,0.0147,-0.0051,-0.0437
7,106788414897458,1010.727,97.259,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0479,-0.3043,-0.0644,0.0131,-0.0057,-0.0441
8,106788513932235,1109.762,99.035,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0535,-0.3039,-0.0590,0.0102,-0.0054,-0.0419
9,106788616122795,1211.952,102.191,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0599,-0.3032,-0.0493,0.0074,-0.0048,-0.0388
10,106788715245568,1311.075,99.123,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0642,-0.3034,-0.0443,0.0053,-0.0051,-0.0370
11,106788817311791,1413.141,102.066,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0663,-0.2952,-0.0320,0.0039,-0.0022,-0.0335
12,106788914117897,1509.948,96.806,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0618,-0.2848,-0.0229,0.0050,0.0012,-0.0311
13,106789013416704,1609.246,99.299,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0582,-0.2765,-0.0124,0.0059,0.0032,-0.0283
14,106789115412012,1711.242,101.995,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0564,-0.2738,-0.0003,0.0065,0.0029,-0.0249
15,106789214856018,1810.686,99.444,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0450,-0.2755,0.0191,0.0108,0.0010,-0.0188
16,106789317466743,1913.296,102.611,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0301,-0.2792,0.0336,0.0157,-0.0017,-0.0147
17,106789413423501,2009.253,95.957,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0175,-0.2844,0.0434,0.0199,-0.0047,-0.0121
18,106789517768690,2113.598,104.345,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,-0.0043,-0.2912,0.0492,0.0238,-0.0081,-0.0109
19,106789615545873,2211.376,97.777,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,0.0081,-0.2981,0.0521,0.0270,-0.0112,-0.0103
20,106789714746791,2310.576,99.201,STREAM_PREROLL,1,1,1,1,2,0,0,0,0,0,2,2,1,0.0194,-0.3058,0.0602,0.0300,-0.0148,-0.0075
21,106789817264786,2413.094,102.518,REQUEST_OFFBOARD,1,1,1,1,2,0,0,0,0,0,2,2,1,0.0202,-0.3130,0.0742,0.0294,-0.0175,-0.0030
22,106789914283325,2510.113,97.019,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0215,-0.3186,0.0837,0.0293,-0.0197,-0.0001
23,106790013675864,2609.506,99.393,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0189,-0.3226,0.0886,0.0276,-0.0208,0.0013
24,106790115606837,2711.436,101.931,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0116,-0.3248,0.0894,0.0240,-0.0206,0.0016
25,106790215110478,2810.940,99.504,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0075,-0.3271,0.0866,0.0219,-0.0207,0.0009
26,106790317127983,2912.958,102.018,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0062,-0.3254,0.0865,0.0212,-0.0190,0.0009
27,106790414267037,3010.097,97.139,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0048,-0.3211,0.0868,0.0202,-0.0160,0.0008
28,106790513589856,3109.420,99.323,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,0.0023,-0.3173,0.0862,0.0183,-0.0135,-0.0002
29,106790615711150,3211.541,102.121,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,2,1,-0.0017,-0.3181,0.0845,0.0155,-0.0132,-0.0020
