monotonic_ns,elapsed_ms,state,event,detail
106787406710123,2.540,PRECHECK,START,artifact=V4 mode=ground-sequence test_id=P450_20260825_DESKTOP_SITL_SIM_G
106787408792652,4.622,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
106787593961793,189.791,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
106787596460530,192.290,PRECHECK,ARMING_STATE,1
106787596518274,192.348,PRECHECK,NAV_STATE,2
106787596535814,192.365,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
106787812453013,408.283,PRECHECK,ROUTE,"start=(-0.04938887059688568, -0.28367307782173157, 0.025136305019259453, 1.5685831308364868) takeoff=(-0.04938887059688568, -0.28367307782173157, -0.47486369498074055) goal=(-0.04938887059688568, -0.28367307782173157, -0.47486369498074055) reset_counters={'xy': 2, 'z': 2, 'vxy': 2, 'vz': 2, 'heading': 1}"
106787812539325,408.369,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
106787812570515,408.400,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
106787812596050,408.426,STREAM_PREROLL,TRANSITION,
106789817194448,2413.024,REQUEST_OFFBOARD,TRANSITION,
106789820529339,2416.359,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
106789821141149,2416.971,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
106789856272791,2452.102,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
106789857591963,2453.422,REQUEST_OFFBOARD,NAV_STATE,14
106789857820969,2453.651,REQUEST_ARM,TRANSITION,
106789860710377,2456.540,REQUEST_ARM,COMMAND_BEGIN,command=400
106789861140718,2456.970,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
106789880973867,2476.804,REQUEST_ARM,ARMING_STATE,2
106789881150057,2476.980,GROUND_ARMED_HOLD,TRANSITION,
106792882260294,5478.090,REQUEST_LAND,TRANSITION,
106792885150020,5480.980,REQUEST_LAND,COMMAND_BEGIN,command=21
106792885419220,5481.249,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
106792917496759,5513.326,REQUEST_LAND,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
106792919200380,5515.030,REQUEST_LAND,NAV_STATE,18
106792919360935,5515.191,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
106792919384623,5515.214,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
106792919406807,5515.236,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
106796470396743,9066.226,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
106796470531994,9066.362,WAIT_AUTO_DISARM_FALLBACK,UNEXPECTED_DISARM_REASON,reason=6 expected=7
106796470555587,9066.385,FAILED,TRANSITION,disarm was not PX4 auto-disarm-land
106796470612765,9066.442,FAILED,HEARTBEAT_SUMMARY,publishes=52 max_gap_ms=104.822 over_150ms=0 over_250ms=0 over_500ms=0
