sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,106934383100961,434.286,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0247,-0.3076,0.0885,0.0240,0.0069,-0.0160
2,106934483932304,535.118,100.831,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0191,-0.3031,0.0880,0.0247,0.0095,-0.0174
3,106934583179191,634.365,99.247,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0189,-0.3001,0.0835,0.0242,0.0109,-0.0192
4,106934685162488,736.348,101.983,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0191,-0.2990,0.0802,0.0236,0.0119,-0.0204
5,106934784079645,835.265,98.917,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0220,-0.3003,0.0740,0.0219,0.0118,-0.0226
6,106934886261900,937.447,102.182,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0280,-0.3033,0.0655,0.0193,0.0108,-0.0255
7,106934983711591,1034.897,97.450,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0369,-0.3025,0.0635,0.0161,0.0109,-0.0264
8,106935087510171,1138.695,103.799,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0417,-0.2990,0.0762,0.0145,0.0129,-0.0224
9,106935184169288,1235.355,96.659,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0463,-0.2937,0.0871,0.0136,0.0160,-0.0187
10,106935283880182,1335.065,99.711,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0503,-0.2869,0.0926,0.0129,0.0196,-0.0167
11,106935386015349,1437.201,102.135,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0531,-0.2807,0.0915,0.0122,0.0225,-0.0166
12,106935485814376,1537.000,99.799,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0634,-0.2749,0.0877,0.0080,0.0243,-0.0167
13,106935588213046,1639.398,102.399,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0686,-0.2722,0.0835,0.0058,0.0245,-0.0172
14,106935685676104,1736.861,97.463,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0708,-0.2679,0.0839,0.0049,0.0253,-0.0163
15,106935784299620,1835.485,98.624,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0717,-0.2631,0.0865,0.0042,0.0261,-0.0146
16,106935886238898,1937.424,101.939,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0724,-0.2605,0.0878,0.0034,0.0259,-0.0136
17,106935985873035,2037.058,99.634,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0795,-0.2564,0.0948,0.0004,0.0266,-0.0110
18,106936088094098,2139.279,102.221,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0878,-0.2498,0.0926,-0.0025,0.0287,-0.0109
19,106936185144943,2236.330,97.051,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0932,-0.2420,0.0847,-0.0041,0.0316,-0.0121
20,106936284124765,2335.310,98.980,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0949,-0.2327,0.0753,-0.0043,0.0351,-0.0135
21,106936386613490,2437.799,102.489,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0941,-0.2244,0.0713,-0.0036,0.0382,-0.0136
22,106936485743281,2536.929,99.130,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0904,-0.2108,0.0645,-0.0017,0.0442,-0.0150
23,106936588129989,2639.315,102.387,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0854,-0.2047,0.0555,0.0007,0.0469,-0.0173
24,106936685355983,2736.541,97.226,GROUND_ARMED_HOLD,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0840,-0.1997,0.0463,0.0015,0.0490,-0.0190
