monotonic_ns,elapsed_ms,state,event,detail
106933951550603,2.736,PRECHECK,START,artifact=V4 mode=ground-sequence test_id=P450_20260825_DESKTOP_SITL_SIM_G_R2
106933954787491,5.973,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
106934305111574,356.297,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
106934307766203,358.952,PRECHECK,ARMING_STATE,1
106934307830434,359.016,PRECHECK,NAV_STATE,4
106934307849268,359.035,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
106934382055793,433.241,PRECHECK,ROUTE,"start=(-0.025209326297044754, -0.30803269147872925, 0.08855204284191132, 1.5751200914382935) takeoff=(-0.025209326297044754, -0.30803269147872925, -0.4114479571580887) goal=(-0.025209326297044754, -0.30803269147872925, -0.4114479571580887) reset_counters={'xy': 2, 'z': 6, 'vxy': 2, 'vz': 2, 'heading': 1}"
106934382136421,433.322,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
106934382177334,433.363,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
106934382208026,433.393,STREAM_PREROLL,TRANSITION,
106936386533723,2437.719,REQUEST_OFFBOARD,TRANSITION,
106936388726432,2439.912,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
106936388958910,2440.144,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
106936420896020,2472.081,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
106936421576178,2472.761,REQUEST_OFFBOARD,NAV_STATE,14
106936421685077,2472.870,REQUEST_ARM,TRANSITION,
106936421977978,2473.163,REQUEST_ARM,COMMAND_BEGIN,command=400
106936422228491,2473.414,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
106936437745469,2488.931,REQUEST_ARM,ARMING_STATE,2
106936437886292,2489.072,GROUND_ARMED_HOLD,TRANSITION,
106939439290272,5490.476,REQUEST_LAND,TRANSITION,
106939444822025,5496.007,REQUEST_LAND,COMMAND_BEGIN,command=21
106939445140693,5496.326,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
106939475389356,5526.575,REQUEST_LAND,NAV_STATE,18
106939475594235,5526.780,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
106939475627565,5526.813,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
106939475657627,5526.843,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
106939475868854,5527.054,WAIT_AUTO_DISARM_FALLBACK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
106943072228430,9123.414,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
106943072380963,9123.566,COMPLETE,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
106943072437814,9123.623,COMPLETE,HEARTBEAT_SUMMARY,publishes=51 max_gap_ms=104.589 over_150ms=0 over_250ms=0 over_500ms=0
