monotonic_ns,elapsed_ms,state,event,detail
106777433778982,2.669,PRECHECK,START,artifact=V4 mode=preflight-only test_id=P450_20260825_DESKTOP_SITL_SIM_P_R1
106777434142935,3.033,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
106777437885627,6.776,PRECHECK,ARMING_STATE,1
106777437904324,6.795,PRECHECK,NAV_STATE,2
106777437909125,6.799,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
106777437970987,6.861,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
106777478063685,46.954,PRECHECK,ROUTE,"start=(-0.08031018078327179, -0.30456045269966125, 0.19156453013420105, 1.572813868522644) takeoff=(-0.08031018078327179, -0.30456045269966125, -0.30843546986579895) goal=(-0.08031018078327179, -0.30456045269966125, -0.30843546986579895) reset_counters={'xy': 2, 'z': 2, 'vxy': 2, 'vz': 2, 'heading': 1}"
106777478090669,46.981,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
106777478098920,46.989,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
106777478103891,46.994,PRECHECK,PREFLIGHT_ONLY,publishes=0 commands=0
