monotonic_ns,elapsed_ms,state,event,detail
176798369086455,3.417,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260826_SITL_INTEGRATED_1440P60_R1
176798370703137,5.034,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
176798769963695,404.294,PRECHECK,ARMING_STATE,1
176798770022233,404.353,PRECHECK,NAV_STATE,2
176798770035500,404.366,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
176798770163313,404.494,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
176798770320113,404.651,PRECHECK,ROUTE,"start=(-0.10933683067560196, -0.10100807994604111, -0.11466535180807114, 1.569975733757019) takeoff=(-0.10933683067560196, -0.10100807994604111, -1.1146653518080711) goal=(-0.10523386594668502, 4.898990236621719, -1.1146653518080711) reset_counters={'xy': 2, 'z': 3, 'vxy': 2, 'vz': 2, 'heading': 1}"
176798770342764,404.673,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
176798770359290,404.690,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
176798770371783,404.702,STREAM_PREROLL,TRANSITION,
176800770929261,2405.260,REQUEST_OFFBOARD,TRANSITION,
176800776336967,2410.668,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
176800776599742,2410.930,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
176800799353213,2433.684,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
176800799905993,2434.237,REQUEST_OFFBOARD,NAV_STATE,14
176800799955762,2434.286,REQUEST_ARM,TRANSITION,
176800803149887,2437.481,REQUEST_ARM,COMMAND_BEGIN,command=400
176800803251274,2437.582,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
176800811648009,2445.979,REQUEST_ARM,ARMING_STATE,2
176800815124756,2449.455,TAKEOFF,TRANSITION,
176810413862615,12048.193,HOLD_AFTER_TAKEOFF,TRANSITION,
176812415549133,14049.880,HOLD_AFTER_TAKEOFF,ROUTE_REFRESH,"origin=(-0.09339288622140884,-0.13132613897323608,-1.0792920589447021) heading=1.5699999332427979 goal=(-0.08941091888183732, 4.868672275420123, -1.1146653518080711)"
176812415595381,14049.926,MOVE_FORWARD,TRANSITION,
176817882857894,19517.189,MOVE_FORWARD,ABORT,PX4 reports Offboard control signal lost
176817882894136,19517.225,REQUEST_LAND_ABORT,TRANSITION,PX4 reports Offboard control signal lost
176817882908658,19517.239,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
176817882999719,19517.330,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
176817895400301,19529.731,REQUEST_LAND_ABORT,NAV_STATE,2
176817895501320,19529.832,REQUEST_LAND_ABORT,CONTROL_RELINQUISHED,"PX4/RC selected another mode before AUTO_LAND confirmation nav_state=2; no further Offboard, setpoint, Land, Arm, or Disarm publication"
176817895518942,19529.850,FAILED,TRANSITION,PX4/RC selected another mode before AUTO_LAND confirmation nav_state=2
176817895574375,19529.905,FAILED,HEARTBEAT_SUMMARY,publishes=192 max_gap_ms=104.812 over_150ms=0 over_250ms=0 over_500ms=0
