monotonic_ns,elapsed_ms,state,event,detail
176936539939156,3.365,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260826_SITL_INTEGRATED_1440P60_R2
176936547433829,10.860,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
176936763717863,227.144,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
176936764175187,227.601,PRECHECK,ARMING_STATE,1
176936764189388,227.615,PRECHECK,NAV_STATE,2
176936764195425,227.621,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
176936764286587,227.712,PRECHECK,ROUTE,"start=(-0.06683800369501114, 0.1419515758752823, -0.19358062744140625, 1.560685396194458) takeoff=(-0.06683800369501114, 0.1419515758752823, -1.1935806274414062) goal=(-0.01628421206317608, 5.141696000758583, -1.1935806274414062) reset_counters={'xy': 2, 'z': 2, 'vxy': 2, 'vz': 2, 'heading': 1}"
176936764298306,227.724,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
176936764308581,227.734,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
176936764317595,227.743,STREAM_PREROLL,TRANSITION,
176938766026492,2229.452,REQUEST_OFFBOARD,TRANSITION,
176938769024188,2232.450,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
176938769174538,2232.600,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
176938793035607,2256.461,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
176938793270879,2256.697,REQUEST_OFFBOARD,NAV_STATE,14
176938793294749,2256.720,REQUEST_ARM,TRANSITION,
176938793386337,2256.812,REQUEST_ARM,COMMAND_BEGIN,command=400
176938793465775,2256.892,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
176938817504843,2280.931,REQUEST_ARM,ARMING_STATE,2
176938817562187,2280.988,TAKEOFF,TRANSITION,
176947673327101,11136.753,HOLD_AFTER_TAKEOFF,TRANSITION,
176949674340860,13137.767,HOLD_AFTER_TAKEOFF,ROUTE_REFRESH,"origin=(-0.06337666511535645,0.11408928781747818,-1.1492459774017334) heading=1.5606261491775513 goal=(-0.01252665362995145, 5.113830708764359, -1.1935806274414062)"
176949674382305,13137.808,MOVE_FORWARD,TRANSITION,
176956261035169,19724.461,REQUEST_LAND,TRANSITION,
176956263747550,19727.173,REQUEST_LAND,COMMAND_BEGIN,command=21
176956263912882,19727.339,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
176956287605878,19751.032,REQUEST_LAND,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
176956288049719,19751.475,REQUEST_LAND,NAV_STATE,18
176956288103459,19751.529,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
176956288116283,19751.542,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
176956288129353,19751.555,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
176961241536967,24704.963,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
176961241590802,24705.017,COMPLETE,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
176961241614067,24705.040,COMPLETE,HEARTBEAT_SUMMARY,publishes=196 max_gap_ms=104.925 over_150ms=0 over_250ms=0 over_500ms=0
