monotonic_ns,elapsed_ms,state,event,detail
1389286287276,388.458,PRECHECK,START,artifact=V6 mode=v6-flight test_id=P450_20260826_OUTDOOR_V6_FLIGHT_1M_5M_A
1389325571044,427.742,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
1389382332363,484.503,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
1389384264783,486.435,PRECHECK,ARMING_STATE,1
1389384441611,486.612,PRECHECK,NAV_STATE,15
1389384544044,486.715,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
1389463918897,566.089,PRECHECK,PREFLIGHT_REFUSED,failsafe flag local_position_invalid=true
1389464226580,566.397,PRECHECK,PREFLIGHT_REFUSED,failsafe flag local_velocity_invalid=true
1389464335727,566.506,PRECHECK,PREFLIGHT_REFUSED,failsafe flag global_position_invalid=true
1389464485157,566.656,PRECHECK,PREFLIGHT_REFUSED,failsafe flag home_position_invalid=true
1389464598812,566.769,PRECHECK,PREFLIGHT_REFUSED,local/global position or finite heading is not flight-valid
