monotonic_ns,elapsed_ms,state,event,detail
833770419008,20.594,PRECHECK,START,artifact=V6 mode=v6-flight test_id=P450_20260826_OUTDOOR_V6_FLIGHT_1M_5M_C
835148585888,1398.761,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
835271633824,1521.809,PRECHECK,ARMING_STATE,1
835272050912,1522.226,PRECHECK,NAV_STATE,15
835272205472,1522.381,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
835274060704,1524.236,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
835513302784,1763.478,PRECHECK,ROUTE,"start=(-85.97161102294922, 2.3199379444122314, 13.029838562011719, 0.7588479518890381) takeoff=(-85.97161102294922, 2.3199379444122314, 12.029838562011719) goal=(-82.34346502190783, 5.760367655237225, 12.029838562011719) reset_counters={'xy': 4, 'z': 5, 'vxy': 4, 'vz': 2, 'heading': 2}"
835513554336,1763.730,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
835513679360,1763.855,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
835513779744,1763.955,STREAM_PREROLL,TRANSITION,
837521013408,3771.189,REQUEST_OFFBOARD,TRANSITION,
837527486464,3777.662,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
837528606464,3778.782,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
838035233600,4285.409,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=2
838082129792,4332.305,REQUEST_OFFBOARD,NAV_STATE,14
838083647648,4333.823,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
838084270720,4334.446,REQUEST_OFFBOARD,EKF_SETTLE_WAIT,require reset counters stable for 5.0s before Arm
838084689216,4334.865,WAIT_EKF_SETTLE,TRANSITION,
838091245440,4341.421,WAIT_EKF_SETTLE,EKF_SETTLE_RESET,"counters=(4, 5, 4, 2, 2); restart 5.0s window"
843094943424,9345.119,WAIT_EKF_SETTLE,EKF_SETTLE_CONFIRMED,"stable_for=5.0s counters=(4, 5, 4, 2, 2)"
843095541664,9345.717,REQUEST_ARM,TRANSITION,
843101448576,9351.624,REQUEST_ARM,COMMAND_BEGIN,command=400
843102064928,9352.240,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
843145768384,9395.944,REQUEST_ARM,ARMING_STATE,2
843147316032,9397.491,TAKEOFF,TRANSITION,
854454574496,20704.750,HOLD_AFTER_TAKEOFF,TRANSITION,
855150752640,21400.928,HOLD_AFTER_TAKEOFF,EKF_Z_RESET,counter=6 dz=-0.589111 magnitude=0.589111
855152319616,21402.495,HOLD_AFTER_TAKEOFF,ABORT,material EKF Z reset 0.589 m exceeded 0.20 m
855153455328,21403.631,REQUEST_LAND_ABORT,TRANSITION,material EKF Z reset 0.589 m exceeded 0.20 m
855154431200,21404.607,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
855156860512,21407.036,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
855223159168,21473.335,REQUEST_LAND_ABORT,NAV_STATE,18
855224554176,21474.730,REQUEST_LAND_ABORT,LAND_MODE_CONFIRMED,nav_state=18 ack=None
855225205600,21475.381,REQUEST_LAND_ABORT,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
855225489664,21475.665,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
855236649984,21486.825,WAIT_AUTO_DISARM_FALLBACK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
855257748256,21507.924,WAIT_AUTO_DISARM_FALLBACK,EKF_HEADING_RESET,counter=3 delta_rad=0.101484
856247581856,22497.757,WAIT_AUTO_DISARM_FALLBACK,HEADING_GOOD_DIAGNOSTIC,value=1
857647286560,23897.462,WAIT_AUTO_DISARM_FALLBACK,HEADING_GOOD_DIAGNOSTIC,value=0
859543449600,25793.625,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
859544101312,25794.277,FAILED,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
859544683776,25794.859,FAILED,HEARTBEAT_SUMMARY,publishes=197 max_gap_ms=156.709 over_150ms=1 over_250ms=0 over_500ms=0
