sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,1582400178112,475.846,,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4098,7.3299,18.9124,-0.0144,-0.0019,-0.0007
2,1582500642368,576.310,100.464,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4158,7.3354,18.9120,-0.0152,-0.0016,-0.0005
3,1582601148768,676.817,100.506,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4211,7.3424,18.9103,-0.0167,-0.0011,0.0001
4,1582701716448,777.384,100.568,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4256,7.3491,18.9090,-0.0163,-0.0001,0.0001
5,1582804263712,879.932,102.547,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4311,7.3584,18.9071,-0.0173,0.0017,-0.0002
6,1582908722720,984.391,104.459,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4363,7.3673,18.9049,-0.0165,0.0037,-0.0001
7,1583001394176,1077.062,92.671,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4426,7.3779,18.9021,-0.0173,0.0057,-0.0010
8,1583106053760,1181.722,104.660,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4483,7.3869,18.9007,-0.0174,0.0068,-0.0022
9,1583204083776,1279.752,98.030,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4546,7.3985,18.8980,-0.0176,0.0092,-0.0027
10,1583303442496,1379.110,99.359,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4601,7.4087,18.8956,-0.0186,0.0117,-0.0022
11,1583407842048,1483.510,104.400,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4657,7.4175,18.8918,-0.0195,0.0125,-0.0020
12,1583501918304,1577.586,94.076,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4711,7.4250,18.8889,-0.0202,0.0125,-0.0032
13,1583601341120,1677.009,99.423,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4769,7.4348,18.8860,-0.0200,0.0139,-0.0034
14,1583700638112,1776.306,99.297,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4817,7.4428,18.8851,-0.0196,0.0138,-0.0021
15,1583807167296,1882.835,106.529,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4860,7.4507,18.8836,-0.0183,0.0147,-0.0011
16,1583905815936,1981.484,98.649,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,14,3,-90.4897,7.4574,18.8822,-0.0189,0.0142,-0.0004
