kind,wall_time,elapsed_s,arrival_gap_ms,source_gap_ms,px4_timestamp_us,agent_pid,agent_restarts,agent_active,load1,wlan_rx_packets,wlan_rx_dropped,wlan_tx_packets,wlan_tx_dropped,softnet_dropped_total,status,failsafe
sensor_combined,2026-08-07T14:58:17.962+08:00,0.506,,,1036978540,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.008+08:00,0.558,52.0010899999761,9.049,1036987589,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.041+08:00,0.592,33.99498799990397,31.459,1037019048,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.074+08:00,0.626,33.74369099992691,9.0,1037028048,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.107+08:00,0.658,32.392000000072585,18.004,1037046052,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.142+08:00,0.692,33.552658999951745,9.049,1037055101,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.178+08:00,0.727,35.24420300004749,22.504,1037077605,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.212+08:00,0.762,35.30341100008627,8.954,1037086559,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.249+08:00,0.796,33.801138999933755,31.506,1037118065,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:18.283+08:00,0.833,37.168320000091626,9.001,1037127066,1667,0,active,1.3,,,,,0,,
failsafe_flags,2026-08-07T14:58:18.881+08:00,1.433,,,1037726724,1667,0,active,1.3,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:18.917+08:00,1.467,633.7307699998291,1008.228,1038135294,1667,0,active,1.3,,,,,0,,
vehicle_status,2026-08-07T14:58:18.951+08:00,1.501,,,1037892102,1667,0,active,1.3,,,,,0,"{'arming_state': 1, 'nav_state': 4, 'failsafe': True}",
sensor_combined,2026-08-07T14:58:18.983+08:00,1.535,68.05481500009591,40.459,1038175753,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:19.017+08:00,1.568,32.70944800010511,4.549,1038180302,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:19.051+08:00,1.601,33.619707999832826,4.453,1038184755,1667,0,active,1.3,,,,,0,,
sensor_combined,2026-08-07T14:58:19.084+08:00,1.635,33.41488199998821,13.502,1038198257,1667,0,active,1.3,,,,,0,,
