sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,711709342565,503.355,,1787195323579934,reliable,1,1,15,15,0
2,711796161706,590.174,86.819,1787195323666754,reliable,1,1,15,15,0
3,711908461148,702.474,112.299,1787195323779103,reliable,1,1,15,15,0
4,711990994842,785.007,82.534,1787195323861580,reliable,1,1,15,15,0
5,712108931415,902.944,117.937,1787195323979522,reliable,1,1,15,15,0
6,712191346587,985.359,82.415,1787195324061935,reliable,1,1,15,15,0
7,712308620149,1102.633,117.274,1787195324179215,reliable,1,1,15,15,0
8,712390866368,1184.879,82.246,1787195324261457,reliable,1,1,15,15,0
9,712488713350,1282.726,97.847,1787195324359295,reliable,1,1,15,15,0
10,712591393178,1385.406,102.680,1787195324461988,reliable,1,1,15,15,0
11,712708425406,1502.438,117.032,1787195324579036,reliable,1,1,15,15,0
12,712790785893,1584.798,82.360,1787195324661375,reliable,1,1,15,15,0
13,712908919545,1702.932,118.134,1787195324779511,reliable,1,1,15,15,0
14,712992170553,1786.183,83.251,1787195324862768,reliable,1,1,15,15,0
15,713088848209,1882.861,96.678,1787195324959430,reliable,1,1,15,15,0
16,713191451432,1985.464,102.603,1787195325062042,reliable,1,1,15,15,0
17,713308512876,2102.525,117.061,1787195325179104,reliable,1,1,15,15,0
18,713390776182,2184.789,82.263,1787195325261374,reliable,1,1,15,15,0
19,713489267232,2283.280,98.491,1787195325359848,reliable,1,1,15,15,0
20,713591994482,2386.007,102.727,1787195325462643,reliable,1,1,15,15,0
21,713708643527,2502.656,116.649,1787195325579232,reliable,1,1,15,15,0
22,713790825397,2584.838,82.182,1787195325661410,reliable,1,1,15,15,0
23,713908727828,2702.740,117.902,1787195325779317,reliable,1,1,15,15,0
24,713990841829,2784.854,82.114,1787195325861423,reliable,1,1,15,15,0
25,714108342933,2902.355,117.501,1787195325978929,reliable,1,1,15,15,0
26,714190391978,2984.404,82.049,1787195326060981,reliable,1,1,15,15,0
27,714308706326,3102.719,118.314,1787195326179295,reliable,1,1,15,15,0
28,714390808008,3184.820,82.102,1787195326261391,reliable,1,1,15,15,0
29,714507662805,3301.675,116.855,1787195326378251,reliable,1,1,15,15,0
30,714589724072,3383.736,82.061,1787195326460299,reliable,1,1,15,15,0
31,714688755963,3482.768,99.032,1787195326559340,reliable,1,1,15,15,0
32,714791175098,3585.187,102.419,1787195326661761,reliable,1,1,15,15,0
33,714908986621,3702.999,117.812,1787195326779574,reliable,1,1,15,15,0
34,714990884504,3784.897,81.898,1787195326861462,reliable,1,1,15,15,0
35,715088906710,3882.919,98.022,1787195326959488,reliable,1,1,15,15,0
36,715191232857,3985.245,102.326,1787195327061817,reliable,1,1,15,15,0
37,715308933409,4102.946,117.701,1787195327179524,reliable,1,1,15,15,0
38,715391036403,4185.049,82.103,1787195327261621,reliable,1,1,15,15,0
39,715489137518,4283.150,98.101,1787195327359721,reliable,1,1,15,15,0
40,715591599212,4385.612,102.462,1787195327462185,reliable,1,1,15,15,0
41,715689241307,4483.254,97.642,1787195327559825,reliable,1,1,15,15,0
42,715791772661,4585.785,102.531,1787195327662359,reliable,1,1,15,15,0
43,715888759585,4682.772,96.987,1787195327759347,reliable,1,1,15,15,0
44,715991744776,4785.757,102.985,1787195327862339,reliable,1,1,15,15,0
45,716108890663,4902.903,117.146,1787195327979482,reliable,1,1,15,15,0
46,716191069974,4985.082,82.179,1787195328061650,reliable,1,1,15,15,0
47,716289228495,5083.241,98.159,1787195328159816,reliable,1,1,15,15,0
48,716391684589,5185.697,102.456,1787195328262266,reliable,1,1,15,15,0
49,716507951795,5301.964,116.267,1787195328378533,reliable,1,1,15,15,0
50,716589989256,5384.002,82.037,1787195328460575,reliable,1,1,15,15,0
51,716689312814,5483.325,99.324,1787195328559900,reliable,1,1,15,15,0
52,716791743437,5585.756,102.431,1787195328662323,reliable,1,1,15,15,0
53,716908529501,5702.542,116.786,1787195328779111,reliable,1,1,15,15,0
54,716990487445,5784.500,81.958,1787195328861073,reliable,1,1,15,15,0
55,717089729246,5883.742,99.242,1787195328960320,reliable,1,1,15,15,0
56,717192505615,5986.518,102.776,1787195329063087,reliable,1,1,15,15,0
57,717295248288,6089.261,102.743,1787195329165840,reliable,1,1,15,15,0
58,717398201161,6192.214,102.953,1787195329268797,reliable,1,1,15,15,0
59,717508719913,6302.732,110.519,1787195329379305,reliable,1,1,15,15,0
60,717590777053,6384.789,82.057,1787195329461369,reliable,1,1,15,15,0
61,717689855406,6483.868,99.078,1787195329560449,reliable,1,1,15,15,0
62,717792455654,6586.468,102.600,1787195329663034,reliable,1,1,15,15,0
63,717908235489,6702.248,115.780,1787195329778853,reliable,1,1,15,15,0
64,717990918266,6784.931,82.683,1787195329861724,reliable,1,1,15,15,0
65,718089764853,6883.777,98.847,1787195329960355,reliable,1,1,15,15,0
66,718192476712,6986.489,102.712,1787195330063064,reliable,1,1,15,15,0
67,718289306939,7083.319,96.830,1787195330159894,reliable,1,1,15,15,0
68,718392629331,7186.642,103.322,1787195330263221,reliable,1,1,15,15,0
69,718508761919,7302.774,116.133,1787195330379351,reliable,1,1,15,15,0
70,718591143910,7385.156,82.382,1787195330461736,reliable,1,1,15,15,0
71,718708597304,7502.610,117.453,1787195330579181,reliable,1,1,15,15,0
72,718790720298,7584.733,82.123,1787195330661309,reliable,1,1,15,15,0
73,718909064918,7703.077,118.345,1787195330779653,reliable,1,1,15,15,0
74,718991410110,7785.422,82.345,1787195330861998,reliable,1,1,15,15,0
75,719089287843,7883.300,97.878,1787195330959878,reliable,1,1,15,15,0
76,719192209741,7986.222,102.922,1787195331062802,reliable,1,1,15,15,0
77,719308997469,8103.010,116.788,1787195331179584,reliable,1,1,15,15,0
78,719391187467,8185.200,82.190,1787195331261774,reliable,1,1,15,15,0
79,719489367427,8283.380,98.180,1787195331359957,reliable,1,1,15,15,0
