sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,311206277819,576.432,,1787197481386030,reliable,1,1,15,15,0
2,311290952582,661.107,84.675,1787197481470710,reliable,1,1,15,15,0
3,311405889190,776.043,114.937,1787197481585641,reliable,1,1,15,15,0
4,311488447645,858.602,82.558,1787197481668193,reliable,1,1,15,15,0
5,311586216392,956.370,97.769,1787197481765965,reliable,1,1,15,15,0
6,311689707514,1059.861,103.491,1787197481869461,reliable,1,1,15,15,0
7,311785965147,1156.119,96.258,1787197481965714,reliable,1,1,15,15,0
8,311888696490,1258.850,102.731,1787197482068439,reliable,1,1,15,15,0
9,312005378580,1375.533,116.682,1787197482185122,reliable,1,1,15,15,0
10,312087807080,1457.961,82.428,1787197482267552,reliable,1,1,15,15,0
11,312185707029,1555.861,97.900,1787197482365456,reliable,1,1,15,15,0
12,312289510900,1659.665,103.804,1787197482469265,reliable,1,1,15,15,0
13,312406051020,1776.205,116.540,1787197482585866,reliable,1,1,15,15,0
14,312489070455,1859.224,83.019,1787197482668882,reliable,1,1,15,15,0
15,312604750055,1974.904,115.680,1787197482784494,reliable,1,1,15,15,0
16,312687222968,2057.377,82.473,1787197482866967,reliable,1,1,15,15,0
17,312806191358,2176.345,118.968,1787197482985944,reliable,1,1,15,15,0
18,312889613933,2259.768,83.423,1787197483069370,reliable,1,1,15,15,0
19,313004538557,2374.692,114.925,1787197483184282,reliable,1,1,15,15,0
20,313086984124,2457.138,82.446,1787197483266728,reliable,1,1,15,15,0
21,313204738196,2574.892,117.754,1787197483384481,reliable,1,1,15,15,0
22,313287002414,2657.156,82.264,1787197483466749,reliable,1,1,15,15,0
23,313405919349,2776.073,118.917,1787197483585677,reliable,1,1,15,15,0
24,313488702384,2858.856,82.783,1787197483668457,reliable,1,1,15,15,0
25,313603844780,2973.999,115.142,1787197483783589,reliable,1,1,15,15,0
26,313685946100,3056.100,82.101,1787197483865697,reliable,1,1,15,15,0
27,313790494755,3160.649,104.549,1787197483970518,reliable,1,1,15,15,0
28,313891933264,3262.087,101.439,1787197484071689,reliable,1,1,15,15,0
29,314005806041,3375.960,113.873,1787197484185569,reliable,1,1,15,15,0
30,314089415485,3459.569,83.609,1787197484269177,reliable,1,1,15,15,0
31,314204173850,3574.328,114.758,1787197484383922,reliable,1,1,15,15,0
32,314286705562,3656.859,82.532,1787197484466458,reliable,1,1,15,15,0
33,314405209651,3775.364,118.504,1787197484584959,reliable,1,1,15,15,0
34,314488085128,3858.239,82.875,1787197484667835,reliable,1,1,15,15,0
35,314603921320,3974.075,115.836,1787197484783673,reliable,1,1,15,15,0
36,314686450602,4056.605,82.529,1787197484866202,reliable,1,1,15,15,0
37,314805159305,4175.313,118.709,1787197484984909,reliable,1,1,15,15,0
38,314887803202,4257.957,82.644,1787197485067547,reliable,1,1,15,15,0
39,315020116460,4390.270,132.313,1787197485199888,reliable,1,1,15,15,0
40,315086915141,4457.069,66.799,1787197485266667,reliable,1,1,15,15,0
41,315202668257,4572.822,115.753,1787197485382420,reliable,1,1,15,15,0
42,315305573584,4675.728,102.905,1787197485485323,reliable,1,1,15,15,0
43,315405156372,4775.310,99.583,1787197485584911,reliable,1,1,15,15,0
44,315572149237,4942.303,166.993,1787197485751900,reliable,1,1,15,15,0
45,315605469994,4975.624,33.321,1787197485785219,reliable,1,1,15,15,0
46,315687781327,5057.935,82.311,1787197485867523,reliable,1,1,15,15,0
47,315804148206,5174.302,116.367,1787197485983920,reliable,1,1,15,15,0
48,315886189329,5256.343,82.041,1787197486065939,reliable,1,1,15,15,0
49,316004230685,5374.385,118.041,1787197486184045,reliable,1,1,15,15,0
50,316086754892,5456.909,82.524,1787197486266503,reliable,1,1,15,15,0
51,316205104621,5575.259,118.350,1787197486384852,reliable,1,1,15,15,0
52,316287406177,5657.560,82.302,1787197486467163,reliable,1,1,15,15,0
53,316403988482,5774.142,116.582,1787197486583820,reliable,1,1,15,15,0
54,316486499254,5856.653,82.511,1787197486666247,reliable,1,1,15,15,0
55,316602720059,5972.874,116.221,1787197486782469,reliable,1,1,15,15,0
56,316705091640,6075.246,102.372,1787197486884832,reliable,1,1,15,15,0
57,316802667726,6172.822,97.576,1787197486982419,reliable,1,1,15,15,0
58,316905434102,6275.588,102.766,1787197487085183,reliable,1,1,15,15,0
59,317002569546,6372.723,97.135,1787197487182317,reliable,1,1,15,15,0
60,317106098651,6476.253,103.529,1787197487285867,reliable,1,1,15,15,0
61,317202910479,6573.064,96.812,1787197487382661,reliable,1,1,15,15,0
62,317285977699,6656.132,83.067,1787197487465729,reliable,1,1,15,15,0
63,317402967045,6773.121,116.989,1787197487582719,reliable,1,1,15,15,0
64,317485858527,6856.012,82.891,1787197487665607,reliable,1,1,15,15,0
65,317603481894,6973.636,117.623,1787197487783232,reliable,1,1,15,15,0
66,317686074198,7056.228,82.592,1787197487865825,reliable,1,1,15,15,0
67,317802410202,7172.564,116.336,1787197487982159,reliable,1,1,15,15,0
68,317904828643,7274.983,102.418,1787197488084592,reliable,1,1,15,15,0
69,318002009614,7372.164,97.181,1787197488181756,reliable,1,1,15,15,0
70,318104333189,7474.487,102.324,1787197488284084,reliable,1,1,15,15,0
71,318202099557,7572.253,97.766,1787197488381847,reliable,1,1,15,15,0
72,318304550672,7674.705,102.451,1787197488484298,reliable,1,1,15,15,0
73,318401749717,7771.904,97.199,1787197488581495,reliable,1,1,15,15,0
74,318491458300,7861.612,89.709,1787197488671228,reliable,1,1,15,15,0
75,318601682722,7971.837,110.224,1787197488781436,reliable,1,1,15,15,0
76,318704873900,8075.028,103.191,1787197488884624,reliable,1,1,15,15,0
77,318801747138,8171.901,96.873,1787197488981494,reliable,1,1,15,15,0
78,318904840789,8274.995,103.094,1787197489084594,reliable,1,1,15,15,0
79,319002811105,8372.965,97.970,1787197489182588,reliable,1,1,15,15,0
80,319105831251,8475.985,103.020,1787197489285583,reliable,1,1,15,15,0
81,319203267873,8573.422,97.437,1787197489383022,reliable,1,1,15,15,0
82,319306021572,8676.176,102.754,1787197489485768,reliable,1,1,15,15,0
83,319402839949,8772.994,96.818,1787197489582591,reliable,1,1,15,15,0
84,319505462775,8875.617,102.623,1787197489685213,reliable,1,1,15,15,0
85,319602765102,8972.919,97.302,1787197489782513,reliable,1,1,15,15,0
86,319705347492,9075.501,102.582,1787197489885095,reliable,1,1,15,15,0
87,319803016875,9173.171,97.669,1787197489982771,reliable,1,1,15,15,0
88,319886302161,9256.456,83.285,1787197490066053,reliable,1,1,15,15,0
89,320003399853,9373.554,117.098,1787197490183155,reliable,1,1,15,15,0
90,320087240955,9457.395,83.841,1787197490266997,reliable,1,1,15,15,0
91,320202476069,9572.630,115.235,1787197490382229,reliable,1,1,15,15,0
92,320306060640,9676.215,103.585,1787197490485828,reliable,1,1,15,15,0
93,320402497986,9772.652,96.437,1787197490582248,reliable,1,1,15,15,0
94,320505784588,9875.939,103.287,1787197490685539,reliable,1,1,15,15,0
95,320601567804,9971.722,95.783,1787197490781310,reliable,1,1,15,15,0
96,320689357522,10059.511,87.790,1787197490869119,reliable,1,1,15,15,0
97,320801331133,10171.485,111.974,1787197490981079,reliable,1,1,15,15,0
98,320904207350,10274.361,102.876,1787197491083961,reliable,1,1,15,15,0
99,321002818684,10372.973,98.611,1787197491182571,reliable,1,1,15,15,0
100,321085691109,10455.845,82.872,1787197491265443,reliable,1,1,15,15,0
101,321202632303,10572.786,116.941,1787197491382383,reliable,1,1,15,15,0
102,321305555693,10675.710,102.923,1787197491485307,reliable,1,1,15,15,0
103,321402503637,10772.658,96.948,1787197491582254,reliable,1,1,15,15,0
104,321505274134,10875.428,102.770,1787197491685035,reliable,1,1,15,15,0
105,321602571469,10972.725,97.297,1787197491782324,reliable,1,1,15,15,0
106,321705842459,11075.996,103.271,1787197491885595,reliable,1,1,15,15,0
107,321802760522,11172.914,96.918,1787197491982516,reliable,1,1,15,15,0
108,321886095047,11256.249,83.335,1787197492065850,reliable,1,1,15,15,0
109,322003937434,11374.091,117.842,1787197492183695,reliable,1,1,15,15,0
110,322088361739,11458.516,84.424,1787197492268114,reliable,1,1,15,15,0
111,322201279525,11571.433,112.918,1787197492381030,reliable,1,1,15,15,0
112,322303732908,11673.887,102.453,1787197492483482,reliable,1,1,15,15,0
113,322401167500,11771.321,97.435,1787197492580915,reliable,1,1,15,15,0
114,322503999306,11874.153,102.832,1787197492684058,reliable,1,1,15,15,0
115,322601414926,11971.569,97.416,1787197492781166,reliable,1,1,15,15,0
116,322703997104,12074.151,102.582,1787197492883808,reliable,1,1,15,15,0
