monotonic_ns,elapsed_ms,state,event,detail
3711336151336,16.605,PRECHECK,START,mode=preflight-only test_id=P450_20260820_INDOOR_BENCH_GATE_PREFLIGHT_A
3711649017402,329.471,PRECHECK,ARMING_STATE,1
3711649206607,329.660,PRECHECK,NAV_STATE,14
3711649611257,330.065,PRECHECK,PREFLIGHT_REFUSED,vehicle is already in Offboard
3711649713363,330.167,PRECHECK,PREFLIGHT_REFUSED,PX4 pre_flight_checks_pass is false
3711649769712,330.223,PRECHECK,PREFLIGHT_REFUSED,failsafe flag local_position_invalid=true
3711649850220,330.304,PRECHECK,PREFLIGHT_REFUSED,failsafe flag local_velocity_invalid=true
3711649897929,330.352,PRECHECK,PREFLIGHT_REFUSED,failsafe flag global_position_invalid=true
3711649945990,330.400,PRECHECK,PREFLIGHT_REFUSED,failsafe flag home_position_invalid=true
3711649994116,330.448,PRECHECK,PREFLIGHT_REFUSED,local/global position or heading is not flight-valid
