sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,1000735463574,74.607,,1787195612606055,reliable,1,1,15,15,0
2,1000828755366,167.899,93.292,1787195612699352,reliable,1,1,15,15,0
3,1000934992612,274.136,106.237,1787195612805587,reliable,1,1,15,15,0
4,1001017396812,356.540,82.404,1787195612887992,reliable,1,1,15,15,0
5,1001134042310,473.186,116.645,1787195613004676,reliable,1,1,15,15,0
6,1001216317268,555.461,82.275,1787195613086909,reliable,1,1,15,15,0
7,1001333885862,673.029,117.569,1787195613204475,reliable,1,1,15,15,0
8,1001415934077,755.077,82.048,1787195613286523,reliable,1,1,15,15,0
9,1001518742992,857.886,102.809,1787195613389337,reliable,1,1,15,15,0
10,1001624756439,963.900,106.013,1787195613495353,reliable,1,1,15,15,0
11,1001734167628,1073.311,109.411,1787195613604777,reliable,1,1,15,15,0
12,1001816899621,1156.043,82.732,1787195613687494,reliable,1,1,15,15,0
13,1001934154277,1273.298,117.255,1787195613804743,reliable,1,1,15,15,0
14,1002016273338,1355.417,82.119,1787195613886900,reliable,1,1,15,15,0
15,1002134961051,1474.104,118.688,1787195614005549,reliable,1,1,15,15,0
16,1002217572890,1556.716,82.612,1787195614088167,reliable,1,1,15,15,0
17,1002334336399,1673.480,116.764,1787195614204926,reliable,1,1,15,15,0
18,1002417172133,1756.315,82.836,1787195614287771,reliable,1,1,15,15,0
19,1002515496986,1854.640,98.325,1787195614386082,reliable,1,1,15,15,0
20,1002619126985,1958.270,103.630,1787195614489715,reliable,1,1,15,15,0
21,1002734329858,2073.473,115.203,1787195614604919,reliable,1,1,15,15,0
22,1002816529426,2155.673,82.200,1787195614687123,reliable,1,1,15,15,0
23,1002935054555,2274.198,118.525,1787195614805646,reliable,1,1,15,15,0
24,1003017725080,2356.868,82.671,1787195614888320,reliable,1,1,15,15,0
25,1003134558506,2473.702,116.833,1787195615005149,reliable,1,1,15,15,0
26,1003216769466,2555.913,82.211,1787195615087364,reliable,1,1,15,15,0
27,1003314845434,2653.989,98.076,1787195615185430,reliable,1,1,15,15,0
28,1003417093125,2756.236,102.248,1787195615287681,reliable,1,1,15,15,0
29,1003534434817,2873.578,117.342,1787195615405024,reliable,1,1,15,15,0
30,1003616775404,2955.919,82.341,1787195615487399,reliable,1,1,15,15,0
31,1003735062015,3074.205,118.287,1787195615605652,reliable,1,1,15,15,0
32,1003816998875,3156.142,81.937,1787195615687584,reliable,1,1,15,15,0
33,1003914899363,3254.043,97.900,1787195615785481,reliable,1,1,15,15,0
34,1004017088848,3356.232,102.189,1787195615887691,reliable,1,1,15,15,0
35,1004134215157,3473.358,117.126,1787195616004801,reliable,1,1,15,15,0
36,1004216366249,3555.510,82.151,1787195616086950,reliable,1,1,15,15,0
37,1004314841143,3653.984,98.475,1787195616185420,reliable,1,1,15,15,0
38,1004416870764,3756.014,102.030,1787195616287454,reliable,1,1,15,15,0
39,1004534125579,3873.269,117.255,1787195616404710,reliable,1,1,15,15,0
40,1004615790867,3954.934,81.665,1787195616486365,reliable,1,1,15,15,0
41,1004715216697,4054.360,99.426,1787195616585793,reliable,1,1,15,15,0
42,1004817385319,4156.529,102.169,1787195616687973,reliable,1,1,15,15,0
43,1004934162300,4273.306,116.777,1787195616804748,reliable,1,1,15,15,0
44,1005015827204,4354.971,81.665,1787195616886402,reliable,1,1,15,15,0
45,1005134065241,4473.209,118.238,1787195617004642,reliable,1,1,15,15,0
46,1005215486796,4554.630,81.422,1787195617086073,reliable,1,1,15,15,0
47,1005315181925,4654.325,99.695,1787195617185770,reliable,1,1,15,15,0
48,1005417999384,4757.143,102.817,1787195617288600,reliable,1,1,15,15,0
49,1005534980739,4874.124,116.981,1787195617405576,reliable,1,1,15,15,0
50,1005617094392,4956.238,82.114,1787195617487680,reliable,1,1,15,15,0
51,1005735033850,5074.177,117.939,1787195617605628,reliable,1,1,15,15,0
52,1005817640249,5156.784,82.606,1787195617688225,reliable,1,1,15,15,0
53,1005934032126,5273.175,116.392,1787195617804614,reliable,1,1,15,15,0
54,1006017481017,5356.624,83.449,1787195617888069,reliable,1,1,15,15,0
55,1006135202437,5474.346,117.721,1787195618005791,reliable,1,1,15,15,0
56,1006217448627,5556.592,82.246,1787195618088026,reliable,1,1,15,15,0
57,1006333896054,5673.039,116.447,1787195618204475,reliable,1,1,15,15,0
58,1006416313054,5755.456,82.417,1787195618286962,reliable,1,1,15,15,0
59,1006534476566,5873.620,118.164,1787195618405060,reliable,1,1,15,15,0
60,1006616717797,5955.861,82.241,1787195618487307,reliable,1,1,15,15,0
61,1006715030491,6054.174,98.313,1787195618585619,reliable,1,1,15,15,0
62,1006817443743,6156.587,102.413,1787195618688030,reliable,1,1,15,15,0
63,1006933563440,6272.707,116.120,1787195618804142,reliable,1,1,15,15,0
64,1007015505196,6354.648,81.942,1787195618886092,reliable,1,1,15,15,0
65,1007114876148,6454.019,99.371,1787195618985461,reliable,1,1,15,15,0
66,1007217665799,6556.809,102.790,1787195619088259,reliable,1,1,15,15,0
67,1007314985224,6654.129,97.319,1787195619185574,reliable,1,1,15,15,0
68,1007417350286,6756.494,102.365,1787195619287938,reliable,1,1,15,15,0
69,1007534198431,6873.342,116.848,1787195619404776,reliable,1,1,15,15,0
70,1007615977762,6955.121,81.779,1787195619486615,reliable,1,1,15,15,0
71,1007735079154,7074.222,119.101,1787195619605656,reliable,1,1,15,15,0
72,1007817191655,7156.335,82.113,1787195619687783,reliable,1,1,15,15,0
73,1007934048824,7273.192,116.857,1787195619804633,reliable,1,1,15,15,0
74,1008016134254,7355.278,82.085,1787195619886727,reliable,1,1,15,15,0
