monotonic_ns,elapsed_ms,phase,event,detail
3164220557675,13.859,PRECHECK,START,test_id=P450_20260820_INDOOR_NO_USB_WAN_DISARMED_OFFBOARD_SOAK_15M_A duration=900.0 rate=10.0
3164709136950,502.438,PRECHECK,PREFLIGHT_PASS,"start=(0.0016937401378527284, 0.00024480954743921757, 0.3133629560470581, 2.4983978271484375) heading_good=0 xy_valid=0 z_valid=1"
3166721203818,2514.505,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=0
3167222306283,3015.607,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=1
3167726933967,3520.235,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=2
3168227666970,4020.968,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=3
3168728098299,4521.399,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=4
3169232505615,5025.806,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=5
3171720350370,7513.651,REQUEST_OFFBOARD_DISARMED,COMMAND_NO_ACK,command=176 attempts=6
3171720507672,7513.809,FAILED,ABORT,Offboard command was not accepted ack_result=None
3171720952028,7514.253,FAILED,SUMMARY,publishes=71 max_gap_ms=105.330 over_150ms=0 over_250ms=0 over_500ms=0 over_1000ms=0
