sequence,monotonic_ns,elapsed_ms,publish_gap_ms,phase,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,failsafe,target_x,target_y,target_z,actual_x,actual_y,actual_z
1,3164714778063,508.079,,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0017,0.0002,0.3134
2,3164820108440,613.409,105.330,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0017,0.0005,0.3136
3,3164919287598,712.588,99.179,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0018,0.0003,0.3137
4,3165019643032,812.944,100.355,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0017,0.0004,0.3139
5,3165116657016,909.958,97.014,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0017,0.0002,0.3138
6,3165216827886,1010.129,100.171,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0018,0.0005,0.3144
7,3165317387499,1110.688,100.560,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0019,0.0002,0.3146
8,3165419171355,1212.472,101.784,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0021,-0.0002,0.3148
9,3165515480647,1308.781,96.309,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0021,-0.0003,0.3154
10,3165616792181,1410.093,101.312,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0023,-0.0005,0.3158
11,3165716530631,1509.831,99.738,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0025,-0.0007,0.3159
12,3165815963148,1609.264,99.433,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0025,-0.0007,0.3156
13,3165915251710,1708.553,99.289,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0028,-0.0009,0.3151
14,3166015422264,1808.723,100.171,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0029,-0.0009,0.3148
15,3166115144334,1908.445,99.722,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0032,-0.0007,0.3151
16,3166215600278,2008.901,100.456,PREROLL,1,1,1,1,15,0,0.0017,0.0002,0.3134,0.0057,-0.0029,0.3144
