monotonic_ns,elapsed_ms,phase,event,detail
4046337373553,11.984,PRECHECK,START,test_id=P450_20260820_INDOOR_NO_USB_WAN_DISARMED_OFFBOARD_SOAK_15M_B duration=900.0 rate=10.0
4048821405917,2496.016,PRECHECK,PREFLIGHT_PASS,"start=(-0.0006566641386598349, -6.558700988534838e-05, 0.17688624560832977, 2.5029306411743164) heading_good=0 xy_valid=0 z_valid=1"
4050829068876,4503.679,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=0
4051330986875,5005.597,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=1
4051421510249,5096.120,REQUEST_OFFBOARD_DISARMED,COMMAND_STATE_CONFIRMED,command=176 nav_state=14
4051421810637,5096.421,REQUEST_OFFBOARD_DISARMED,OFFBOARD_CONFIRMED,vehicle remains disarmed
4051421988418,5096.599,VIRTUAL_TAKEOFF,PHASE_TARGET,"target=(-0.0006566641386598349, -6.558700988534838e-05, -0.8231137543916702)"
4276422250518,230096.861,HOLD_AFTER_TAKEOFF,PHASE_TARGET,"target=(-0.0006566641386598349, -6.558700988534838e-05, -0.8231137543916702)"
4366423884239,320098.494,VIRTUAL_FORWARD,PHASE_TARGET,"target=(-4.015127062997827, 2.980542977810984, -0.8231137543916702)"
4951430500728,905105.111,REQUEST_LAND_DISARMED,COMMAND_SEND,command=21 confirmation=0
4951934326322,905608.936,REQUEST_LAND_DISARMED,COMMAND_SEND,command=21 confirmation=1
4952171888320,905846.498,REQUEST_LAND_DISARMED,COMMAND_STATE_CONFIRMED,command=21 nav_state=18
4952172242044,905846.852,COMPLETE,PASS,mission-order soak complete; Offboard held while disarmed; PX4 Land ACK accepted
4952182717004,905857.327,COMPLETE,SUMMARY,publishes=9034 max_gap_ms=147.641 over_150ms=0 over_250ms=0 over_500ms=0 over_1000ms=0
