sequence,monotonic_ns,elapsed_ms,publish_gap_ms,phase,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,failsafe,target_x,target_y,target_z,actual_x,actual_y,actual_z
1,4048822926677,2497.537,,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0005,0.0001,0.1767
2,4048922941823,2597.552,100.015,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0004,0.0004,0.1766
3,4049027103901,2701.714,104.162,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0003,0.0005,0.1770
4,4049123773938,2798.384,96.670,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0002,0.0007,0.1771
5,4049228469168,2903.079,104.695,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0002,0.0008,0.1768
6,4049322916121,2997.526,94.447,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0001,0.0007,0.1764
7,4049427372442,3101.983,104.456,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0002,0.0008,0.1750
8,4049524992931,3199.603,97.620,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0002,0.0005,0.1738
9,4049627524924,3302.135,102.532,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0003,0.0005,0.1729
10,4049728243770,3402.854,100.719,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0004,0.0003,0.1719
11,4049827398969,3502.009,99.155,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0005,0.0002,0.1702
12,4049923896998,3598.507,96.498,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0007,0.0002,0.1687
13,4050028373841,3702.984,104.477,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0006,-0.0000,0.1676
14,4050127845411,3802.456,99.472,PREROLL,1,1,1,1,15,0,-0.0007,-0.0001,0.1769,-0.0007,0.0001,0.1669
