sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,1635424363275,279.244,,1787198805604145,reliable,1,1,15,15,0
2,1635512507956,367.389,88.145,1787198805692260,reliable,1,1,15,15,0
3,1635605727493,460.608,93.220,1787198805785485,reliable,1,1,15,15,0
4,1635711607609,566.489,105.880,1787198805891361,reliable,1,1,15,15,0
5,1635804324154,659.205,92.717,1787198805984072,reliable,1,1,15,15,0
6,1635973468157,828.349,169.144,1787198806153219,reliable,1,1,15,15,0
7,1636005523757,860.405,32.056,1787198806185276,reliable,1,1,15,15,0
8,1636109119975,964.001,103.596,1787198806288870,reliable,1,1,15,15,0
9,1636205572177,1060.453,96.452,1787198806385329,reliable,1,1,15,15,0
10,1636310009532,1164.891,104.437,1787198806489764,reliable,1,1,15,15,0
11,1636404982616,1259.864,94.973,1787198806584725,reliable,1,1,15,15,0
12,1636508256883,1363.138,103.274,1787198806688005,reliable,1,1,15,15,0
13,1636605109251,1459.990,96.852,1787198806784850,reliable,1,1,15,15,0
14,1636707832521,1562.714,102.723,1787198806887578,reliable,1,1,15,15,0
15,1636804937938,1659.819,97.105,1787198806984696,reliable,1,1,15,15,0
16,1636910206927,1765.088,105.269,1787198807089962,reliable,1,1,15,15,0
17,1637005454790,1860.336,95.248,1787198807185203,reliable,1,1,15,15,0
18,1637108566195,1963.447,103.111,1787198807288322,reliable,1,1,15,15,0
19,1637205373985,2060.255,96.808,1787198807385150,reliable,1,1,15,15,0
20,1637308650814,2163.532,103.277,1787198807488404,reliable,1,1,15,15,0
21,1637406005921,2260.887,97.355,1787198807585763,reliable,1,1,15,15,0
22,1637518358952,2373.240,112.353,1787198807698111,reliable,1,1,15,15,0
23,1637604520404,2459.401,86.161,1787198807784264,reliable,1,1,15,15,0
24,1637708454129,2563.335,103.934,1787198807888202,reliable,1,1,15,15,0
25,1637804756622,2659.638,96.302,1787198807984502,reliable,1,1,15,15,0
26,1637907600770,2762.482,102.844,1787198808087353,reliable,1,1,15,15,0
27,1638006205439,2861.086,98.605,1787198808185962,reliable,1,1,15,15,0
28,1638109378227,2964.259,103.173,1787198808289128,reliable,1,1,15,15,0
29,1638203882821,3058.764,94.505,1787198808383633,reliable,1,1,15,15,0
30,1638307372984,3162.254,103.490,1787198808487126,reliable,1,1,15,15,0
31,1638405890860,3260.772,98.518,1787198808585637,reliable,1,1,15,15,0
32,1638509247346,3364.128,103.356,1787198808689003,reliable,1,1,15,15,0
33,1638606711201,3461.592,97.464,1787198808786466,reliable,1,1,15,15,0
34,1638710150671,3565.032,103.439,1787198808889904,reliable,1,1,15,15,0
35,1638805844595,3660.726,95.694,1787198808985589,reliable,1,1,15,15,0
36,1638908702795,3763.584,102.858,1787198809088455,reliable,1,1,15,15,0
37,1639005675308,3860.556,96.973,1787198809185420,reliable,1,1,15,15,0
38,1639108206660,3963.088,102.531,1787198809287955,reliable,1,1,15,15,0
39,1639206237419,4061.118,98.031,1787198809385993,reliable,1,1,15,15,0
40,1639309060031,4163.941,102.823,1787198809488809,reliable,1,1,15,15,0
41,1639406517295,4261.398,97.457,1787198809586292,reliable,1,1,15,15,0
42,1639509763660,4364.645,103.246,1787198809689519,reliable,1,1,15,15,0
43,1639604697128,4459.578,94.933,1787198809784450,reliable,1,1,15,15,0
44,1639707386096,4562.267,102.689,1787198809887149,reliable,1,1,15,15,0
45,1639805286794,4660.168,97.901,1787198809985060,reliable,1,1,15,15,0
46,1639909850215,4764.731,104.563,1787198810089604,reliable,1,1,15,15,0
47,1640005696477,4860.577,95.846,1787198810185450,reliable,1,1,15,15,0
48,1640108979199,4963.860,103.283,1787198810288732,reliable,1,1,15,15,0
49,1640205725484,5060.606,96.746,1787198810385479,reliable,1,1,15,15,0
50,1640310837215,5165.718,105.112,1787198810490585,reliable,1,1,15,15,0
51,1640405665970,5260.547,94.829,1787198810585421,reliable,1,1,15,15,0
52,1640509033693,5363.915,103.368,1787198810688786,reliable,1,1,15,15,0
53,1640605357376,5460.238,96.324,1787198810785111,reliable,1,1,15,15,0
54,1640709546266,5564.427,104.189,1787198810889297,reliable,1,1,15,15,0
55,1640806427508,5661.309,96.881,1787198810986183,reliable,1,1,15,15,0
56,1640910484674,5765.366,104.057,1787198811090231,reliable,1,1,15,15,0
57,1641005793381,5860.674,95.309,1787198811185539,reliable,1,1,15,15,0
58,1641108572825,5963.454,102.779,1787198811288315,reliable,1,1,15,15,0
59,1641205878012,6060.759,97.305,1787198811385631,reliable,1,1,15,15,0
60,1641309935979,6164.817,104.058,1787198811489689,reliable,1,1,15,15,0
61,1641405493831,6260.375,95.558,1787198811586763,reliable,1,1,15,15,0
62,1641511231063,6366.112,105.737,1787198811690979,reliable,1,1,15,15,0
63,1641605469139,6460.350,94.238,1787198811785220,reliable,1,1,15,15,0
64,1641710725557,6565.607,105.256,1787198811890480,reliable,1,1,15,15,0
65,1641805381850,6660.263,94.656,1787198811985137,reliable,1,1,15,15,0
66,1641908102025,6762.983,102.720,1787198812087848,reliable,1,1,15,15,0
67,1642005488694,6860.370,97.387,1787198812185272,reliable,1,1,15,15,0
68,1642109004818,6963.886,103.516,1787198812288784,reliable,1,1,15,15,0
69,1642205653560,7060.535,96.649,1787198812385408,reliable,1,1,15,15,0
70,1642308754732,7163.636,103.101,1787198812488502,reliable,1,1,15,15,0
71,1642405413267,7260.294,96.659,1787198812585187,reliable,1,1,15,15,0
72,1642508181319,7363.062,102.768,1787198812687934,reliable,1,1,15,15,0
73,1642606489261,7461.370,98.308,1787198812786243,reliable,1,1,15,15,0
74,1642709735919,7564.617,103.247,1787198812889483,reliable,1,1,15,15,0
75,1642804413911,7659.295,94.678,1787198812984164,reliable,1,1,15,15,0
76,1642907099460,7761.980,102.686,1787198813086848,reliable,1,1,15,15,0
77,1643005817459,7860.698,98.718,1787198813185609,reliable,1,1,15,15,0
78,1643109526115,7964.407,103.709,1787198813289281,reliable,1,1,15,15,0
79,1643206307288,8061.188,96.781,1787198813386056,reliable,1,1,15,15,0
80,1643309467379,8164.348,103.160,1787198813489214,reliable,1,1,15,15,0
81,1643407077303,8261.958,97.610,1787198813586835,reliable,1,1,15,15,0
82,1643510402178,8365.283,103.325,1787198813690149,reliable,1,1,15,15,0
83,1643605677221,8460.558,95.275,1787198813785429,reliable,1,1,15,15,0
84,1643708510433,8563.391,102.833,1787198813888261,reliable,1,1,15,15,0
85,1643805831849,8660.713,97.321,1787198813985583,reliable,1,1,15,15,0
86,1643908706250,8763.587,102.874,1787198814088457,reliable,1,1,15,15,0
87,1644005549478,8860.430,96.843,1787198814185302,reliable,1,1,15,15,0
88,1644108543731,8963.425,102.994,1787198814288293,reliable,1,1,15,15,0
89,1644205832281,9060.713,97.289,1787198814385589,reliable,1,1,15,15,0
90,1644309854281,9164.735,104.022,1787198814489611,reliable,1,1,15,15,0
91,1644405630366,9260.511,95.776,1787198814585383,reliable,1,1,15,15,0
92,1644508777914,9363.659,103.148,1787198814688550,reliable,1,1,15,15,0
93,1644606333242,9461.214,97.555,1787198814786120,reliable,1,1,15,15,0
94,1644710393326,9565.274,104.060,1787198814890143,reliable,1,1,15,15,0
95,1644805375734,9660.257,94.982,1787198814985124,reliable,1,1,15,15,0
96,1644907960604,9762.842,102.585,1787198815087715,reliable,1,1,15,15,0
97,1645006151228,9861.032,98.191,1787198815185908,reliable,1,1,15,15,0
98,1645111286648,9966.168,105.135,1787198815291038,reliable,1,1,15,15,0
99,1645206044556,10060.926,94.758,1787198815385800,reliable,1,1,15,15,0
100,1645310518761,10165.400,104.474,1787198815490279,reliable,1,1,15,15,0
101,1645405810385,10260.691,95.292,1787198815585563,reliable,1,1,15,15,0
102,1645509601420,10364.482,103.791,1787198815689401,reliable,1,1,15,15,0
103,1645605645404,10460.526,96.044,1787198815785396,reliable,1,1,15,15,0
104,1645708939143,10563.820,103.294,1787198815888692,reliable,1,1,15,15,0
105,1645805595731,10660.477,96.657,1787198815985345,reliable,1,1,15,15,0
106,1645908161241,10763.042,102.566,1787198816087906,reliable,1,1,15,15,0
107,1646005750399,10860.631,97.589,1787198816185503,reliable,1,1,15,15,0
108,1646108882844,10963.764,103.132,1787198816288636,reliable,1,1,15,15,0
109,1646206556555,11061.438,97.674,1787198816386312,reliable,1,1,15,15,0
110,1646310237277,11165.118,103.681,1787198816489988,reliable,1,1,15,15,0
111,1646406774494,11261.655,96.537,1787198816586525,reliable,1,1,15,15,0
112,1646509526199,11364.407,102.752,1787198816689286,reliable,1,1,15,15,0
113,1646606865957,11461.747,97.340,1787198816786615,reliable,1,1,15,15,0
114,1646710338179,11565.219,103.472,1787198816890090,reliable,1,1,15,15,0
115,1646806886277,11661.767,96.548,1787198816986635,reliable,1,1,15,15,0
116,1646911042534,11765.924,104.156,1787198817090795,reliable,1,1,15,15,0
117,1647007036308,11861.917,95.994,1787198817186791,reliable,1,1,15,15,0
118,1647110982402,11965.863,103.946,1787198817290740,reliable,1,1,15,15,0
119,1647206009586,12060.891,95.027,1787198817385762,reliable,1,1,15,15,0
120,1647308784079,12163.665,102.774,1787198817488537,reliable,1,1,15,15,0
121,1647406041078,12260.922,97.257,1787198817585794,reliable,1,1,15,15,0
122,1647512694377,12367.575,106.653,1787198817692454,reliable,1,1,15,15,0
123,1647606093789,12460.975,93.399,1787198817785849,reliable,1,1,15,15,0
124,1647709935648,12564.817,103.842,1787198817889716,reliable,1,1,15,15,0
125,1647806137890,12661.019,96.202,1787198817985903,reliable,1,1,15,15,0
126,1647908927681,12763.809,102.790,1787198818088682,reliable,1,1,15,15,0
127,1648006504041,12861.385,97.576,1787198818186260,reliable,1,1,15,15,0
128,1648110061426,12964.942,103.557,1787198818289816,reliable,1,1,15,15,0
129,1648206156587,13061.038,96.095,1787198818385908,reliable,1,1,15,15,0
130,1648308725941,13163.607,102.569,1787198818488476,reliable,1,1,15,15,0
131,1648406256473,13261.137,97.531,1787198818586005,reliable,1,1,15,15,0
132,1648508790527,13363.672,102.534,1787198818688539,reliable,1,1,15,15,0
133,1648606260637,13461.142,97.470,1787198818786008,reliable,1,1,15,15,0
134,1648709387069,13564.268,103.126,1787198818889133,reliable,1,1,15,15,0
135,1648806921953,13661.803,97.535,1787198818986667,reliable,1,1,15,15,0
136,1648909505517,13764.387,102.584,1787198819089274,reliable,1,1,15,15,0
137,1649006662862,13861.544,97.157,1787198819186405,reliable,1,1,15,15,0
