sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
1,2209443610778,522.407,,1787194058489851,reliable,1,1,15,15,0
2,2209530130896,608.927,86.520,1787194058576380,reliable,1,1,15,15,0
3,2209643219061,722.015,113.088,1787194058689459,reliable,1,1,15,15,0
4,2209727475965,806.272,84.257,1787194058773735,reliable,1,1,15,15,0
5,2209834845483,913.641,107.370,1787194058881232,reliable,1,1,15,15,0
6,2209938723695,1017.519,103.878,1787194058984972,reliable,1,1,15,15,0
7,2210023245954,1102.042,84.522,1787194059069511,reliable,1,1,15,15,0
8,2210129018013,1207.814,105.772,1787194059175327,reliable,1,1,15,15,0
9,2210222852628,1301.648,93.835,1787194059269539,reliable,1,1,15,15,0
10,2210332373926,1411.170,109.521,1787194059378748,reliable,1,1,15,15,0
11,2210443360992,1522.157,110.987,1787194059489763,reliable,1,1,15,15,0
12,2210528726874,1607.523,85.366,1787194059575344,reliable,1,1,15,15,0
13,2210628669914,1707.466,99.943,1787194059674938,reliable,1,1,15,15,0
14,2210722878243,1801.674,94.208,1787194059769134,reliable,1,1,15,15,0
15,2210843251782,1922.048,120.374,1787194059889497,reliable,1,1,15,15,0
16,2210927031155,2005.827,83.779,1787194059973278,reliable,1,1,15,15,0
17,2211024817447,2103.613,97.786,1787194060071067,reliable,1,1,15,15,0
18,2211135487053,2214.283,110.670,1787194060181747,reliable,1,1,15,15,0
19,2211222782689,2301.578,87.296,1787194060269017,reliable,1,1,15,15,0
20,2211327444995,2406.241,104.662,1787194060373693,reliable,1,1,15,15,0
21,2211422786143,2501.582,95.341,1787194060469026,reliable,1,1,15,15,0
22,2211529393918,2608.190,106.608,1787194060575631,reliable,1,1,15,15,0
23,2211643782809,2722.579,114.389,1787194060690023,reliable,1,1,15,15,0
24,2211728803679,2807.599,85.021,1787194060775046,reliable,1,1,15,15,0
25,2211823888622,2902.684,95.085,1787194060870144,reliable,1,1,15,15,0
26,2211930411850,3009.208,106.523,1787194060976651,reliable,1,1,15,15,0
27,2212023124963,3101.921,92.713,1787194061069382,reliable,1,1,15,15,0
28,2212130001612,3208.797,106.877,1787194061176269,reliable,1,1,15,15,0
29,2212224764263,3303.560,94.763,1787194061271013,reliable,1,1,15,15,0
30,2212340802541,3419.598,116.038,1787194061387051,reliable,1,1,15,15,0
31,2212423312789,3502.109,82.510,1787194061469564,reliable,1,1,15,15,0
32,2212531352534,3610.148,108.040,1787194061577594,reliable,1,1,15,15,0
33,2212643745867,3722.542,112.393,1787194061690004,reliable,1,1,15,15,0
34,2212730672906,3809.469,86.927,1787194061776928,reliable,1,1,15,15,0
35,2212822774852,3901.571,92.102,1787194061869026,reliable,1,1,15,15,0
36,2212929943323,4008.739,107.168,1787194061976196,reliable,1,1,15,15,0
37,2213024573005,4103.369,94.630,1787194062070825,reliable,1,1,15,15,0
38,2213134419521,4213.215,109.847,1787194062180782,reliable,1,1,15,15,0
39,2213222834533,4301.630,88.415,1787194062269073,reliable,1,1,15,15,0
40,2213328832190,4407.628,105.998,1787194062375077,reliable,1,1,15,15,0
41,2213422812304,4501.608,93.980,1787194062469053,reliable,1,1,15,15,0
42,2213529196412,4607.992,106.384,1787194062575441,reliable,1,1,15,15,0
43,2213622580561,4701.376,93.384,1787194062668822,reliable,1,1,15,15,0
44,2213732133687,4810.929,109.553,1787194062778388,reliable,1,1,15,15,0
45,2213827320163,4906.116,95.186,1787194062873578,reliable,1,1,15,15,0
46,2213937708657,5016.504,110.388,1787194062983985,reliable,1,1,15,15,0
47,2214022840243,5101.636,85.132,1787194063069078,reliable,1,1,15,15,0
48,2214131378403,5210.174,108.538,1787194063177826,reliable,1,1,15,15,0
49,2214223782596,5302.578,92.404,1787194063270023,reliable,1,1,15,15,0
50,2214331322819,5410.119,107.540,1787194063377561,reliable,1,1,15,15,0
51,2214443384606,5522.180,112.062,1787194063489627,reliable,1,1,15,15,0
52,2214529726810,5608.523,86.342,1787194063575968,reliable,1,1,15,15,0
53,2214623285043,5702.081,93.558,1787194063669516,reliable,1,1,15,15,0
54,2214727310216,5806.106,104.025,1787194063773547,reliable,1,1,15,15,0
55,2214823311160,5902.107,96.001,1787194063869544,reliable,1,1,15,15,0
56,2214927193638,6005.989,103.882,1787194063973433,reliable,1,1,15,15,0
57,2215042241166,6121.037,115.048,1787194064088485,reliable,1,1,15,15,0
58,2215126929269,6205.725,84.688,1787194064173169,reliable,1,1,15,15,0
59,2215242828133,6321.624,115.899,1787194064289066,reliable,1,1,15,15,0
60,2215326009220,6404.805,83.181,1787194064372254,reliable,1,1,15,15,0
