monotonic_ns,elapsed_ms,phase,event,detail
947015932352,565.075,PRECHECK,START,test_id=P450_20260820_OUTDOOR_OFFLINE_DISARMED_SOAK_5M_A duration=300.0 rate=10.0
947349958240,899.101,PRECHECK,PREFLIGHT_PASS,"start=(-14.653192520141602, 10.461546897888184, -17.073301315307617, 0.902247428894043) heading_good=0 xy_valid=1 z_valid=1"
949361669216,2910.812,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=0
949861580960,3410.724,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=1
950363555520,3912.698,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=2
950867169216,4416.312,REQUEST_OFFBOARD_DISARMED,COMMAND_SEND,command=176 confirmation=3
950940158176,4489.301,REQUEST_OFFBOARD_DISARMED,COMMAND_STATE_CONFIRMED,command=176 nav_state=14
950941016192,4490.159,REQUEST_OFFBOARD_DISARMED,OFFBOARD_CONFIRMED,vehicle remains disarmed
950941934144,4491.077,VIRTUAL_TAKEOFF,PHASE_TARGET,"target=(-14.653192520141602, 10.461546897888184, -18.073301315307617)"
1025945854112,79494.997,HOLD_AFTER_TAKEOFF,PHASE_TARGET,"target=(-14.653192520141602, 10.461546897888184, -18.073301315307617)"
1055943637536,109492.780,VIRTUAL_FORWARD,PHASE_TARGET,"target=(-11.553952878307244, 14.385156669830653, -18.073301315307617)"
1250949772640,304498.916,REQUEST_LAND_DISARMED,COMMAND_SEND,command=21 confirmation=0
1251452656896,305001.800,REQUEST_LAND_DISARMED,COMMAND_SEND,command=21 confirmation=1
1251546523808,305095.667,REQUEST_LAND_DISARMED,COMMAND_STATE_CONFIRMED,command=21 nav_state=18
1251546884352,305096.027,COMPLETE,PASS,mission-order soak complete; Offboard held while disarmed; PX4 Land ACK accepted
1251550386432,305099.529,COMPLETE,SUMMARY,publishes=3042 max_gap_ms=181.068 over_150ms=8 over_250ms=0 over_500ms=0 over_1000ms=0
