sequence,monotonic_ns,elapsed_ms,publish_gap_ms,phase,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,failsafe,target_x,target_y,target_z,actual_x,actual_y,actual_z
1,947357005376,906.148,,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6532,10.4615,-17.0733
2,947459322208,1008.465,102.317,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6520,10.4504,-17.0695
3,947562830528,1111.973,103.508,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6512,10.4402,-17.0657
4,947659423584,1208.566,96.593,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6484,10.4272,-17.0617
5,947761401408,1310.544,101.978,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6457,10.4157,-17.0590
6,947858392096,1407.535,96.991,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6440,10.4033,-17.0575
7,947958937312,1508.080,100.545,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6430,10.3921,-17.0572
8,948059992576,1609.135,101.055,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6419,10.3798,-17.0567
9,948158284352,1707.427,98.292,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6412,10.3698,-17.0564
10,948262322240,1811.465,104.038,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6382,10.3600,-17.0559
11,948357846080,1906.989,95.524,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6350,10.3522,-17.0554
12,948460949088,2010.092,103.103,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6321,10.3400,-17.0543
13,948558546784,2107.690,97.598,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6299,10.3286,-17.0538
14,948663273056,2212.416,104.726,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6270,10.3178,-17.0540
15,948761267744,2310.411,97.995,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6244,10.3092,-17.0537
16,948859462592,2408.606,98.195,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6219,10.2983,-17.0543
17,948960465376,2509.608,101.003,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6202,10.2894,-17.0547
18,949060936608,2610.080,100.471,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6183,10.2787,-17.0554
19,949157779456,2706.922,96.843,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6167,10.2696,-17.0552
20,949257219360,2806.362,99.440,PREROLL,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6150,10.2608,-17.0562
21,949359141344,2908.284,101.922,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6134,10.2529,-17.0566
22,949458208128,3007.351,99.067,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6134,10.2529,-17.0566
23,949561289568,3110.432,103.081,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6079,10.2351,-17.0559
24,949658659104,3207.802,97.370,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6051,10.2261,-17.0562
25,949766986880,3316.130,108.328,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.6023,10.2161,-17.0568
26,949859166464,3408.309,92.180,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5999,10.2056,-17.0589
27,949962682560,3511.825,103.516,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5979,10.1957,-17.0612
28,950061893472,3611.036,99.211,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5952,10.1862,-17.0643
29,950157304416,3706.447,95.411,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5926,10.1782,-17.0672
30,950261501568,3810.644,104.197,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5888,10.1677,-17.0699
31,950358555840,3907.699,97.054,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5854,10.1585,-17.0722
32,950461991808,4011.135,103.436,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5817,10.1483,-17.0723
33,950557490208,4106.633,95.498,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5784,10.1390,-17.0710
34,950668150144,4217.293,110.660,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5751,10.1289,-17.0691
35,950759855712,4308.999,91.706,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5723,10.1203,-17.0676
36,950858823040,4407.966,98.967,REQUEST_OFFBOARD_DISARMED,1,1,1,1,15,0,-14.6532,10.4615,-17.0733,-14.5685,10.1076,-17.0668
37,950965887168,4515.030,107.064,VIRTUAL_TAKEOFF,1,1,1,1,14,0,-14.6532,10.4615,-18.0733,-14.5652,10.0960,-17.0658
38,951063443744,4612.587,97.557,VIRTUAL_TAKEOFF,1,1,1,1,14,0,-14.6532,10.4615,-18.0733,-14.5628,10.0849,-17.0644
39,951161414592,4710.558,97.971,VIRTUAL_TAKEOFF,1,1,1,1,14,0,-14.6532,10.4615,-18.0733,-14.5614,10.0754,-17.0630
40,951259254208,4808.397,97.840,VIRTUAL_TAKEOFF,1,1,1,1,14,0,-14.6532,10.4615,-18.0733,-14.5590,10.0643,-17.0621
41,951357964832,4907.108,98.711,VIRTUAL_TAKEOFF,1,1,1,1,14,0,-14.6532,10.4615,-18.0733,-14.5562,10.0527,-17.0618
42,951458410944,5007.554,100.446,VIRTUAL_TAKEOFF,1,1,1,1,14,0,-14.6532,10.4615,-18.0733,-14.5535,10.0397,-17.0606
