sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,993047414688,166.765,,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2254,4.6055,3.7972,0.0052,-0.0025,0.0234
2,993059386432,178.737,11.972,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2254,4.6055,3.7972,0.0052,-0.0025,0.0234
3,993085155648,204.506,25.769,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2239,4.6049,3.7942,0.0060,-0.0011,0.0224
4,993185259264,304.610,100.104,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2226,4.6047,3.7903,0.0070,-0.0001,0.0209
5,993280866912,400.218,95.608,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2213,4.6027,3.7857,0.0078,0.0009,0.0200
6,993386610560,505.961,105.744,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2201,4.5988,3.7817,0.0083,0.0012,0.0189
7,993483645696,602.996,97.035,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2174,4.5941,3.7792,0.0095,0.0008,0.0179
8,993588552992,707.904,104.907,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2138,4.5893,3.7771,0.0112,0.0011,0.0172
9,993684315904,803.667,95.763,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2108,4.5830,3.7765,0.0120,0.0007,0.0169
10,993782228032,901.579,97.912,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2080,4.5755,3.7763,0.0125,-0.0012,0.0162
11,993882745792,1002.096,100.518,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2063,4.5668,3.7768,0.0124,-0.0023,0.0166
12,993982559488,1101.910,99.814,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2052,4.5583,3.7773,0.0120,-0.0041,0.0168
13,994085088384,1204.439,102.529,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.2019,4.5508,3.7777,0.0127,-0.0052,0.0170
14,994186353984,1305.705,101.266,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1979,4.5448,3.7784,0.0140,-0.0053,0.0175
15,994289519552,1408.870,103.166,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1948,4.5366,3.7786,0.0141,-0.0064,0.0180
16,994390462624,1509.813,100.943,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1926,4.5272,3.7780,0.0140,-0.0088,0.0177
17,994486251424,1605.602,95.789,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1893,4.5184,3.7775,0.0140,-0.0091,0.0180
18,994583049408,1702.400,96.798,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1864,4.5124,3.7773,0.0144,-0.0096,0.0180
19,994690332544,1809.683,107.283,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1810,4.5049,3.7783,0.0156,-0.0105,0.0180
20,994782011168,1901.362,91.679,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1754,4.4986,3.7782,0.0172,-0.0102,0.0180
21,994883105120,2002.456,101.094,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1697,4.4922,3.7768,0.0182,-0.0105,0.0178
22,994984510112,2103.861,101.405,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1642,4.4859,3.7752,0.0192,-0.0110,0.0176
23,995083663424,2203.014,99.153,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1586,4.4798,3.7743,0.0197,-0.0104,0.0176
24,995185102880,2304.454,101.439,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,7,7,3,-2.1531,4.4742,3.7741,0.0202,-0.0098,0.0177
