sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,2780947342176,140.845,,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0744,-5.6696,7.4354,0.0044,0.0131,-0.0039
2,2780962217952,155.721,14.876,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0744,-5.6696,7.4354,0.0044,0.0131,-0.0039
3,2781018030208,211.533,55.812,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0744,-5.6696,7.4354,0.0044,0.0131,-0.0039
4,2781112353408,305.856,94.323,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0770,-5.6602,7.4352,0.0058,0.0149,-0.0031
5,2781207906304,401.409,95.553,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0782,-5.6566,7.4332,0.0032,0.0155,-0.0026
6,2781307291680,500.795,99.385,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0793,-5.6541,7.4308,0.0025,0.0146,-0.0022
7,2781423758976,617.262,116.467,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0777,-5.6508,7.4289,0.0091,0.0152,-0.0023
8,2781507689024,701.192,83.930,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0777,-5.6508,7.4289,0.0091,0.0152,-0.0023
9,2781610056960,803.560,102.368,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0744,-5.6464,7.4231,0.0141,0.0148,-0.0028
10,2781714011104,907.514,103.954,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0732,-5.6457,7.4203,0.0139,0.0137,-0.0029
11,2781809386624,1002.890,95.376,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0725,-5.6426,7.4183,0.0121,0.0138,-0.0024
12,2781913408160,1106.911,104.022,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0725,-5.6426,7.4183,0.0121,0.0138,-0.0024
13,2782013051264,1206.554,99.643,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0726,-5.6344,7.4140,0.0121,0.0163,-0.0004
14,2782112682080,1306.185,99.631,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0750,-5.6302,7.4120,0.0158,0.0169,-0.0006
15,2782218915072,1412.418,106.233,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,10,8,2,-7.0784,-5.6263,7.4095,0.0119,0.0167,-0.0011
