monotonic_ns,elapsed_ms,state,event,detail
2780833266464,26.769,PRECHECK,START,artifact=V4 mode=ground-sequence test_id=P450_20260826_OUTDOOR_V5_GROUND_E
2780898741632,92.245,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
2780936492352,129.995,PRECHECK,ARMING_STATE,1
2780936746560,130.250,PRECHECK,NAV_STATE,15
2780936938144,130.441,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
2780938580608,132.084,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
2780939503328,133.006,PRECHECK,ROUTE,"start=(-7.074440002441406, -5.669563293457031, 7.435386657714844, -3.1209676265716553) takeoff=(-7.074440002441406, -5.669563293457031, 6.935386657714844) goal=(-7.074440002441406, -5.669563293457031, 6.935386657714844) reset_counters={'xy': 10, 'z': 8, 'vxy': 10, 'vz': 2, 'heading': 2}"
2780939703264,133.206,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
2780939879776,133.383,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
2780940258912,133.762,STREAM_PREROLL,TRANSITION,
2782940183104,2133.686,REQUEST_OFFBOARD,TRANSITION,
2782946264064,2139.767,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
2782947223616,2140.727,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
2783020048448,2213.551,REQUEST_OFFBOARD,NAV_STATE,14
2783022026784,2215.530,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
2783024488576,2217.992,REQUEST_OFFBOARD,EKF_SETTLE_WAIT,require reset counters stable for 5.0s before Arm
2783024765440,2218.268,WAIT_EKF_SETTLE,TRANSITION,
2783031214400,2224.717,WAIT_EKF_SETTLE,EKF_SETTLE_RESET,"counters=(10, 8, 10, 2, 2); restart 5.0s window"
2788033251296,7226.754,WAIT_EKF_SETTLE,EKF_SETTLE_CONFIRMED,"stable_for=5.0s counters=(10, 8, 10, 2, 2)"
2788033709920,7227.213,REQUEST_ARM,TRANSITION,
2788040889472,7234.392,REQUEST_ARM,COMMAND_BEGIN,command=400
2788043327808,7236.831,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
2788078690912,7272.194,REQUEST_ARM,ARMING_STATE,2
2788079320480,7272.823,GROUND_ARMED_HOLD,TRANSITION,
2791082690976,10276.194,REQUEST_LAND,TRANSITION,
2791088835648,10282.339,REQUEST_LAND,COMMAND_BEGIN,command=21
2791089960288,10283.463,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
2791596983968,10790.487,REQUEST_LAND,COMMAND_SEND,command=21 attempt=2
2792102183840,11295.687,REQUEST_LAND,COMMAND_SEND,command=21 attempt=3
2792172923968,11366.427,REQUEST_LAND,NAV_STATE,18
2792173546560,11367.050,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
2792173699680,11367.203,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
2792173839008,11367.342,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
2792175651008,11369.154,WAIT_AUTO_DISARM_FALLBACK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
2798117319424,17310.822,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
2798117862784,17311.366,WAIT_AUTO_DISARM_FALLBACK,NAV_STATE,14
2798119146368,17312.649,WAIT_AUTO_DISARM_FALLBACK,UNEXPECTED_DISARM_REASON,reason=7 expected=6
2798119589728,17313.093,FAILED,TRANSITION,disarm was not PX4 auto-disarm-land
2798120658368,17314.161,FAILED,HEARTBEAT_SUMMARY,publishes=114 max_gap_ms=150.153 over_150ms=1 over_250ms=0 over_500ms=0
