monotonic_ns,elapsed_ms,state,event,detail
87801338230446,175.765,PRECHECK,START,artifact=V4 mode=preflight-only test_id=P450_20260826_OUTDOOR_V5_PREFLIGHT_D
87801398372663,235.907,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
87801399949033,237.483,PRECHECK,ARMING_STATE,1
87801400162731,237.697,PRECHECK,NAV_STATE,4
87801400250993,237.785,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=1
87801430182126,267.716,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
87801746251176,583.785,PRECHECK,PREFLIGHT_REFUSED,PX4 pre_flight_checks_pass is false
87801746445487,583.980,PRECHECK,PREFLIGHT_REFUSED,failsafe flag local_position_invalid=true
87801746544402,584.079,PRECHECK,PREFLIGHT_REFUSED,failsafe flag local_velocity_invalid=true
87801746622555,584.157,PRECHECK,PREFLIGHT_REFUSED,failsafe flag global_position_invalid=true
87801746697573,584.232,PRECHECK,PREFLIGHT_REFUSED,failsafe flag home_position_invalid=true
87801746772591,584.307,PRECHECK,PREFLIGHT_REFUSED,failsafe flag manual_control_signal_lost=true
87801746899562,584.434,PRECHECK,PREFLIGHT_REFUSED,failsafe flag gcs_connection_lost=true
87801747061947,584.596,PRECHECK,PREFLIGHT_REFUSED,local/global position or finite heading is not flight-valid
