monotonic_ns,elapsed_ms,state,event,detail
2547052809216,412.696,PRECHECK,START,artifact=V4 mode=preflight-only test_id=P450_20260826_OUTDOOR_V5_PREFLIGHT_E
2547097934624,457.821,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
2547211808736,571.695,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
2547218672064,578.559,PRECHECK,ARMING_STATE,1
2547218940608,578.827,PRECHECK,NAV_STATE,15
2547219241312,579.128,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
2547220336576,580.223,PRECHECK,ROUTE,"start=(-3.580345630645752, -5.932377338409424, 1.8985514640808105, -3.098487615585327) takeoff=(-3.580345630645752, -5.932377338409424, 1.3985514640808105) goal=(-3.580345630645752, -5.932377338409424, 1.3985514640808105) reset_counters={'xy': 10, 'z': 7, 'vxy': 10, 'vz': 2, 'heading': 2}"
2547220665536,580.552,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
2547220817088,580.704,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
2547220925888,580.812,PRECHECK,PREFLIGHT_ONLY,publishes=0 commands=0
