sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,649510329600,832.348,,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-3.9642,-4.6247,9.7412,-0.0353,0.0032,-0.1407
2,649620832192,942.850,110.503,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-3.9752,-4.6250,9.7249,-0.0352,0.0048,-0.1397
3,649714253568,1036.271,93.421,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-3.9856,-4.6254,9.7107,-0.0336,0.0049,-0.1382
4,649819978912,1141.997,105.725,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-3.9960,-4.6258,9.6959,-0.0317,0.0059,-0.1375
5,649913441664,1235.460,93.463,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0063,-4.6261,9.6802,-0.0316,0.0075,-0.1370
6,650010814112,1332.832,97.372,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0166,-4.6266,9.6652,-0.0313,0.0069,-0.1367
7,650113338592,1435.357,102.524,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0280,-4.6276,9.6498,-0.0309,0.0076,-0.1358
8,650220710240,1542.728,107.372,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0386,-4.6290,9.6348,-0.0308,0.0080,-0.1348
9,650311094784,1633.113,90.385,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0486,-4.6307,9.6207,-0.0304,0.0080,-0.1329
10,650412058592,1734.077,100.964,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0582,-4.6324,9.6078,-0.0291,0.0079,-0.1307
11,650510755840,1832.774,98.697,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0685,-4.6346,9.5946,-0.0287,0.0065,-0.1298
12,650610889792,1932.908,100.134,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0784,-4.6363,9.5826,-0.0291,0.0069,-0.1273
13,650714488544,2036.506,103.599,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0899,-4.6378,9.5692,-0.0301,0.0059,-0.1250
14,650810497952,2132.516,96.009,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.0995,-4.6395,9.5574,-0.0286,0.0060,-0.1228
15,650913344000,2235.362,102.846,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1086,-4.6413,9.5461,-0.0290,0.0056,-0.1206
16,651015908096,2337.926,102.564,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1171,-4.6434,9.5362,-0.0291,0.0046,-0.1181
17,651119630080,2441.648,103.722,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1252,-4.6457,9.5275,-0.0284,0.0049,-0.1150
18,651223218560,2545.236,103.588,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1324,-4.6477,9.5203,-0.0258,0.0046,-0.1119
19,651311586208,2633.604,88.368,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1393,-4.6497,9.5135,-0.0246,0.0038,-0.1087
20,651419560352,2741.578,107.974,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1445,-4.6508,9.5091,-0.0241,0.0054,-0.1057
21,651514895360,2836.913,95.335,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1522,-4.6534,9.5027,-0.0218,0.0050,-0.1027
22,651625933376,2947.951,111.038,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1606,-4.6568,9.4957,-0.0208,0.0049,-0.0993
23,651711166816,3033.185,85.233,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1684,-4.6603,9.4890,-0.0204,0.0043,-0.0971
24,651812432160,3134.450,101.265,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1766,-4.6639,9.4824,-0.0198,0.0037,-0.0943
25,651913610208,3235.628,101.178,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1852,-4.6675,9.4761,-0.0196,0.0037,-0.0920
26,652011600000,3333.618,97.990,REQUEST_OFFBOARD,1,1,1,1,15,0,0,0,0,0,4,4,2,-4.1942,-4.6718,9.4700,-0.0202,0.0033,-0.0895
27,652116707232,3438.725,105.107,WAIT_EKF_SETTLE,1,1,1,1,14,1,0,0,0,0,4,4,2,-4.2035,-4.6766,9.4640,-0.0210,0.0031,-0.0868
28,652217476864,3539.495,100.770,WAIT_EKF_SETTLE,1,1,1,1,14,1,0,0,0,0,4,4,2,-4.2122,-4.6812,9.4584,-0.0211,0.0019,-0.0848
29,652314483424,3636.501,97.007,WAIT_EKF_SETTLE,1,1,1,1,14,1,0,0,0,0,4,4,2,-4.2210,-4.6863,9.4535,-0.0204,0.0009,-0.0813
30,652415334528,3737.352,100.851,WAIT_EKF_SETTLE,1,1,1,1,14,1,0,0,0,0,4,4,2,-4.2284,-4.6906,9.4480,-0.0196,-0.0005,-0.0789
31,652510486016,3832.504,95.151,WAIT_EKF_SETTLE,1,1,1,1,14,1,0,0,0,0,4,4,2,-4.2351,-4.6946,9.4420,-0.0183,-0.0011,-0.0762
