monotonic_ns,elapsed_ms,state,event,detail
649260274432,582.292,PRECHECK,START,artifact=V6 mode=v6-flight test_id=P450_20260826_OUTDOOR_V6_FLIGHT_1M_5M_B
649360902720,682.921,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
649362031328,684.049,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
649363537344,685.555,PRECHECK,ARMING_STATE,1
649363728512,685.746,PRECHECK,NAV_STATE,15
649363819552,685.837,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
649498255648,820.274,PRECHECK,ROUTE,"start=(-3.964207172393799, -4.624656677246094, 9.741174697875977, -3.1064751148223877) takeoff=(-3.964207172393799, -4.624656677246094, 8.741174697875977) goal=(-8.961124385409047, -4.800208282969122, 8.741174697875977) reset_counters={'xy': 4, 'z': 4, 'vxy': 4, 'vz': 2, 'heading': 2}"
649498536704,820.555,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
649499048128,821.066,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
649499238240,821.256,STREAM_PREROLL,TRANSITION,
651501738944,2823.757,REQUEST_OFFBOARD,TRANSITION,
651507703328,2829.721,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
651508858816,2830.877,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
652011371744,3333.390,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=2
652068513184,3390.531,REQUEST_OFFBOARD,NAV_STATE,14
652069363488,3391.381,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
652069743360,3391.761,REQUEST_OFFBOARD,EKF_SETTLE_WAIT,require reset counters stable for 5.0s before Arm
652069855296,3391.873,WAIT_EKF_SETTLE,TRANSITION,
652075780128,3397.798,WAIT_EKF_SETTLE,EKF_SETTLE_RESET,"counters=(4, 4, 4, 2, 2); restart 5.0s window"
657077290624,8399.309,WAIT_EKF_SETTLE,EKF_SETTLE_CONFIRMED,"stable_for=5.0s counters=(4, 4, 4, 2, 2)"
657078334656,8400.353,REQUEST_ARM,TRANSITION,
657084408800,8406.427,REQUEST_ARM,COMMAND_BEGIN,command=400
657084951616,8406.970,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
657588859008,8910.877,REQUEST_ARM,COMMAND_SEND,command=400 attempt=2
657634422848,8956.441,REQUEST_ARM,ARMING_STATE,2
657634902464,8956.920,TAKEOFF,TRANSITION,
672634989856,23957.008,TAKEOFF,ABORT,takeoff timeout
672635285632,23957.304,REQUEST_LAND_ABORT,TRANSITION,takeoff timeout
672645090144,23967.108,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
672646262336,23968.280,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
672719948416,24041.966,REQUEST_LAND_ABORT,NAV_STATE,18
672720905152,24042.923,REQUEST_LAND_ABORT,LAND_MODE_CONFIRMED,nav_state=18 ack=None
672721063360,24043.081,REQUEST_LAND_ABORT,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
672721156832,24043.175,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
672722048256,24044.066,WAIT_AUTO_DISARM_FALLBACK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
676166326560,27488.344,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
676167590560,27489.608,FAILED,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
676168176736,27490.195,FAILED,HEARTBEAT_SUMMARY,publishes=233 max_gap_ms=113.421 over_150ms=0 over_250ms=0 over_500ms=0
