sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,835519822272,1769.998,,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9716,2.3199,13.0298,-0.0059,0.0340,0.0096
2,835624512288,1874.688,104.690,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9696,2.3261,13.0285,-0.0048,0.0336,0.0097
3,835726206016,1976.381,101.694,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9682,2.3342,13.0295,-0.0042,0.0347,0.0107
4,835821526976,2071.702,95.321,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9687,2.3445,13.0302,-0.0046,0.0360,0.0112
5,835920967968,2171.143,99.441,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9711,2.3554,13.0321,-0.0062,0.0376,0.0120
6,836027631872,2277.807,106.664,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9726,2.3631,13.0344,-0.0073,0.0382,0.0144
7,836127850048,2378.025,100.218,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9734,2.3682,13.0375,-0.0078,0.0367,0.0153
8,836220167328,2470.343,92.317,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9758,2.3739,13.0431,-0.0090,0.0355,0.0165
9,836325687616,2575.863,105.520,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9793,2.3787,13.0490,-0.0112,0.0345,0.0195
10,836427139264,2677.315,101.452,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9814,2.3845,13.0551,-0.0123,0.0331,0.0218
11,836524602144,2774.778,97.463,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9815,2.3912,13.0618,-0.0126,0.0321,0.0233
12,836620908256,2871.084,96.306,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9818,2.3985,13.0680,-0.0127,0.0314,0.0256
13,836721457728,2971.633,100.549,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9824,2.4080,13.0742,-0.0131,0.0318,0.0268
14,836820921216,3071.097,99.463,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9818,2.4173,13.0783,-0.0129,0.0318,0.0279
15,836921604576,3171.780,100.683,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,5,2,-85.9801,2.4271,13.0815,-0.0129,0.0317,0.0292
