monotonic_ns,elapsed_ms,state,event,detail
1425511046016,22.222,PRECHECK,START,artifact=V6 mode=v6-flight test_id=P450_20260826_OUTDOOR_V6_FLIGHT_1M_5M_D
1426166425760,677.602,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
1426516893408,1028.069,PRECHECK,ARMING_STATE,1
1426517099904,1028.276,PRECHECK,NAV_STATE,15
1426517219488,1028.395,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
1426518174944,1029.351,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
1426519400224,1030.576,PRECHECK,ROUTE,"start=(-87.25861358642578, 5.1844987869262695, 7.174842834472656, 0.9194157123565674) takeoff=(-87.25861358642578, 5.1844987869262695, 6.674842834472656) goal=(-84.22718901941775, 9.160736342020305, 6.674842834472656) reset_counters={'xy': 4, 'z': 12, 'vxy': 4, 'vz': 2, 'heading': 3}"
1426519594208,1030.770,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
1426519741280,1030.917,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
1426519823360,1030.999,STREAM_PREROLL,TRANSITION,
1428520812256,3031.988,REQUEST_OFFBOARD,TRANSITION,
1428527779232,3038.955,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
1428529143232,3040.319,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
1428578779584,3089.955,REQUEST_OFFBOARD,NAV_STATE,14
1428579726880,3090.903,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
1428580243456,3091.419,REQUEST_OFFBOARD,EKF_SETTLE_WAIT,require reset counters stable for 5.0s before Arm
1428580422528,3091.598,WAIT_EKF_SETTLE,TRANSITION,
1428581324480,3092.500,WAIT_EKF_SETTLE,EKF_SETTLE_RESET,"counters=(4, 12, 4, 2, 3); restart 5.0s window"
1433585647072,8096.823,WAIT_EKF_SETTLE,EKF_SETTLE_CONFIRMED,"stable_for=5.0s counters=(4, 12, 4, 2, 3)"
1433586125760,8097.302,REQUEST_ARM,TRANSITION,
1433592260384,8103.436,REQUEST_ARM,COMMAND_BEGIN,command=400
1433593756000,8104.932,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
1433624865568,8136.041,REQUEST_ARM,ARMING_STATE,2
1433625898048,8137.074,TAKEOFF,TRANSITION,
1444972329920,19483.506,HOLD_AFTER_TAKEOFF,TRANSITION,
1446974193632,21485.369,HOLD_AFTER_TAKEOFF,ROUTE_REFRESH,"origin=(-87.21243286132812,5.174169063568115,6.670780658721924) heading=0.8933029174804688 goal=(-84.07822289045806, 9.06990106904522, 6.674842834472656)"
1446974429728,21485.605,MOVE_FORWARD,TRANSITION,
1460370753824,34881.930,REQUEST_LAND,TRANSITION,
1460376322368,34887.498,REQUEST_LAND,COMMAND_BEGIN,command=21
1460377859168,34889.035,REQUEST_LAND,COMMAND_SEND,command=21 attempt=1
1460418825216,34930.001,REQUEST_LAND,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
1460421478432,34932.654,REQUEST_LAND,NAV_STATE,18
1460422249920,34933.426,REQUEST_LAND,LAND_MODE_CONFIRMED,nav_state=18 ack=None
1460422663520,34933.839,REQUEST_LAND,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
1460423092480,34934.268,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
1468118450144,42629.626,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
1468118964928,42630.141,WAIT_AUTO_DISARM_FALLBACK,NAV_STATE,14
1468123148672,42634.324,COMPLETE,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
1468124218720,42635.394,COMPLETE,HEARTBEAT_SUMMARY,publishes=339 max_gap_ms=152.969 over_150ms=1 over_250ms=0 over_500ms=0
