monotonic_ns,elapsed_ms,state,event,detail
1581948510592,24.178,PRECHECK,START,artifact=V6 mode=v6-flight test_id=P450_20260826_OUTDOOR_V6_FLIGHT_1M_5M_E
1582196501792,272.170,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
1582382458752,458.127,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
1582392852160,468.520,PRECHECK,ARMING_STATE,1
1582393119456,468.787,PRECHECK,NAV_STATE,15
1582393215936,468.884,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
1582393932032,469.600,PRECHECK,ROUTE,"start=(-90.40975189208984, 7.329860687255859, 18.912399291992188, 0.8262202143669128) takeoff=(-90.40975189208984, 7.329860687255859, 18.412399291992188) goal=(-87.02145111744149, 11.006736788039962, 18.412399291992188) reset_counters={'xy': 4, 'z': 14, 'vxy': 4, 'vz': 2, 'heading': 3}"
1582394087040,469.755,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
1582394214272,469.882,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
1582394310752,469.979,STREAM_PREROLL,TRANSITION,
1584398183488,2473.851,REQUEST_OFFBOARD,TRANSITION,
1584405782336,2481.450,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
1584407338080,2483.006,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
1584452717792,2528.386,REQUEST_OFFBOARD,NAV_STATE,14
1584453581472,2529.249,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
1584453978752,2529.647,REQUEST_OFFBOARD,EKF_SETTLE_WAIT,require reset counters stable for 5.0s before Arm
1584456041536,2531.709,WAIT_EKF_SETTLE,TRANSITION,
1584470269568,2545.937,WAIT_EKF_SETTLE,EKF_SETTLE_RESET,"counters=(4, 14, 4, 2, 3); restart 5.0s window"
1589489050656,7564.718,WAIT_EKF_SETTLE,EKF_SETTLE_CONFIRMED,"stable_for=5.0s counters=(4, 14, 4, 2, 3)"
1589489426144,7565.094,REQUEST_ARM,TRANSITION,
1589508915104,7584.583,REQUEST_ARM,COMMAND_BEGIN,command=400
1589509531712,7585.200,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
1590009710144,8085.378,REQUEST_ARM,COMMAND_SEND,command=400 attempt=2
1590052189792,8127.858,REQUEST_ARM,ARMING_STATE,2
1590058258656,8133.926,TAKEOFF,TRANSITION,
1605063381088,23139.049,TAKEOFF,ABORT,takeoff timeout
1605064131200,23139.799,REQUEST_LAND_ABORT,TRANSITION,takeoff timeout
1605073438496,23149.106,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
1605078728224,23154.396,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
1605124821344,23200.489,REQUEST_LAND_ABORT,NAV_STATE,18
1605137710240,23213.378,REQUEST_LAND_ABORT,LAND_MODE_CONFIRMED,nav_state=18 ack=None
1605138391936,23214.060,REQUEST_LAND_ABORT,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
1605138900512,23214.568,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
1605141379296,23217.047,WAIT_AUTO_DISARM_FALLBACK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
1608609296384,26684.964,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
1608609845568,26685.513,FAILED,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
1608610438528,26686.106,FAILED,HEARTBEAT_SUMMARY,publishes=228 max_gap_ms=155.566 over_150ms=2 over_250ms=0 over_500ms=0
